ValidationResultId,SessionId,ValidationRule,ValidationDescription,RouteId,BeginPoint,EndPoint,DataItemsImpacted,LastModifiedBy,LastModifiedOn,SpatialJoinRecordId,geometry
601335305,bc7d611f-1c62-4a17-9e9d-924e02866fe0,SJ-PM2-31,Rutting event segments must align with with the Begin and End points for IRI segments.,42202190000SB,48.7872,48.8,Road Events,MJORDAN13,2023-06-14T17:10:54,246601,POINT (-79.81358332000002 39.02847339099998)
601335306,bc7d611f-1c62-4a17-9e9d-924e02866fe0,SJ-PM2-31,Rutting event segments must align with with the Begin and End points for IRI segments.,42202190000SB,49.7,49.7267,Road Events,MJORDAN13,2023-06-14T17:10:54,246602,POINT (-79.81372700100002 39.04568329)
601335307,bc7d611f-1c62-4a17-9e9d-924e02866fe0,SJ-PM2-31,Rutting event segments must align with with the Begin and End points for IRI segments.,42202190000SB,51.3556,51.4,Road Events,MJORDAN13,2023-06-14T17:10:54,246603,POINT (-79.81012694600003 39.06979485099998)
601335308,bc7d611f-1c62-4a17-9e9d-924e02866fe0,SJ-PM2-31,Rutting event segments must align with with the Begin and End points for IRI segments.,42202190000SB,51.5,51.5319,Road Events,MJORDAN13,2023-06-14T17:10:54,246604,POINT (-79.80974242600001 39.07175450099999)
601335309,bc7d611f-1c62-4a17-9e9d-924e02866fe0,SJ-PM2-31,Rutting event segments must align with with the Begin and End points for IRI segments.,42202190000SB,51.0,51.02,Road Events,MJORDAN13,2023-06-14T17:10:54,246616,POINT (-79.80931990099998 39.06458245699997)
601335310,bc7d611f-1c62-4a17-9e9d-924e02866fe0,SJ-PM2-31,Rutting event segments must align with with the Begin and End points for IRI segments.,42202190000SB,51.2707,51.3,Road Events,MJORDAN13,2023-06-14T17:10:54,246617,POINT (-79.81008532599998 39.06847006300001)
601335311,bc7d611f-1c62-4a17-9e9d-924e02866fe0,SJ-PM2-31,Rutting event segments must align with with the Begin and End points for IRI segments.,42202190000SB,51.7,51.73,Road Events,MJORDAN13,2023-06-14T17:10:54,246618,POINT (-79.80937515800002 39.07459010600002)
601335312,bc7d611f-1c62-4a17-9e9d-924e02866fe0,SJ-PM2-31,Rutting event segments must align with with the Begin and End points for IRI segments.,42202190000SB,52.3531,52.4,Road Events,MJORDAN13,2023-06-14T17:10:54,246619,POINT (-79.80980201800003 39.08188548499999)
601335313,bc7d611f-1c62-4a17-9e9d-924e02866fe0,SJ-PM2-31,Rutting event segments must align with with the Begin and End points for IRI segments.,42202190000SB,49.6911,49.7,Road Events,MJORDAN13,2023-06-14T17:10:55,267695,POINT (-79.81358906000003 39.045356932)
601335314,bc7d611f-1c62-4a17-9e9d-924e02866fe0,SJ-PM2-31,Rutting event segments must align with with the Begin and End points for IRI segments.,42202190000SB,50.09,50.1,Road Events,MJORDAN13,2023-06-14T17:10:55,267703,POINT (-79.815125411 39.05291002899997)
601335315,bc7d611f-1c62-4a17-9e9d-924e02866fe0,SJ-PM2-31,Rutting event segments must align with with the Begin and End points for IRI segments.,42202190000SB,50.1,50.11,Road Events,MJORDAN13,2023-06-14T17:10:55,267704,POINT (-79.81512816700001 39.053061189)
601335316,bc7d611f-1c62-4a17-9e9d-924e02866fe0,SJ-PM2-31,Rutting event segments must align with with the Begin and End points for IRI segments.,42202190000SB,51.2,51.2093,Road Events,MJORDAN13,2023-06-14T17:10:55,267705,POINT (-79.80980534399998 39.06733354599999)
601335317,bc7d611f-1c62-4a17-9e9d-924e02866fe0,SJ-PM2-31,Rutting event segments must align with with the Begin and End points for IRI segments.,42202190000SB,52.8,52.8216,Road Events,MJORDAN13,2023-06-14T17:10:55,267706,POINT (-79.80626098699997 39.08550951799998)
601335318,bc7d611f-1c62-4a17-9e9d-924e02866fe0,SJ-PM2-31,Rutting event segments must align with with the Begin and End points for IRI segments.,42202190000SB,49.2,49.2082,Road Events,MJORDAN13,2023-06-14T17:10:55,278628,POINT (-79.81220722299997 39.03631629799997)
601335319,bc7d611f-1c62-4a17-9e9d-924e02866fe0,SJ-PM2-31,Rutting event segments must align with with the Begin and End points for IRI segments.,42202190000SB,51.9923,52.0,Road Events,MJORDAN13,2023-06-14T17:10:55,278631,POINT (-79.80947250499997 39.07772215300002)
601335320,bc7d611f-1c62-4a17-9e9d-924e02866fe0,SJ-PM2-31,Rutting event segments must align with with the Begin and End points for IRI segments.,42202190000SB,49.4,49.403,Road Events,MJORDAN13,2023-06-14T17:10:55,284890,POINT (-79.81220434199997 39.03991525100002)
601335321,bc7d611f-1c62-4a17-9e9d-924e02866fe0,SJ-PM2-31,Rutting event segments must align with with the Begin and End points for IRI segments.,42202190000SB,49.2991,49.3,Road Events,MJORDAN13,2023-06-14T17:10:55,288951,POINT (-79.81298363299999 39.038057025)
