RouteID|BeginPoint|EndPoint|ValueNumeric|Comments|ValueDate|StateCode|BeginDate|ValueText|DataItem
19203400005SB|0.371|0.6|8|same as 2020||54|01/01/2022||BASE_THICKNESS
19203400005SB|0.0|0.1|8|same as 2020||54|01/01/2022||BASE_THICKNESS
19203400005SB|0.1|0.17|8|same as 2020||54|01/01/2022||BASE_THICKNESS
1930009000000|0.0|1.45|11|New 2021||54|01/01/2022||BASE_THICKNESS
1930009000000|1.45|3.94|11|same as 2020||54|01/01/2022||BASE_THICKNESS
1930009000000|4.97|6.35|11|same as 2020||54|01/01/2022||BASE_THICKNESS
1930009000000|10.91|11.418|11|same as 2020||54|01/01/2022||BASE_THICKNESS
1930009000000|14.435|14.96|11|same as 2020||54|01/01/2022||BASE_THICKNESS
1930051000000|8.66|8.78|8|same as 2020||54|01/01/2022||BASE_THICKNESS
29202200000NB|12.61|13.26|6|same as 2020||54|01/01/2022||BASE_THICKNESS
2930093000000|0.0|3.42|6|same as 2020||54|01/01/2022||BASE_THICKNESS
3630028000000|24.07|25.57|5|||54|01/01/2022||BASE_THICKNESS
42202500000NB|9.71|12.45|5|||54|01/01/2022||BASE_THICKNESS
4730032000000|16.09|16.45|5|||54|01/01/2022||BASE_THICKNESS
38202190000NB|26.37|29.12|5|||54|01/01/2022||BASE_THICKNESS
42200330000EB|7.76|8.05|12|not all covered||54|01/01/2022||BASE_THICKNESS
42202190000NB|17.4|19.15|5|||54|01/01/2022||BASE_THICKNESS
4730093000000|2.34|7.42|6|||54|01/01/2022||BASE_THICKNESS
38202190000NB|34.47|34.78|5|||54|01/01/2022||BASE_THICKNESS
38202190000NB|0.0|3.69|5|||54|01/01/2022||BASE_THICKNESS
47202190000NB|22.16|25.83|5|||54|01/01/2022||BASE_THICKNESS
38202190000NB|34.79|37.89|5|||54|01/01/2022||BASE_THICKNESS
42202190000NB|27.85|30.16|5|||54|01/01/2022||BASE_THICKNESS
4240033070000|0.0|2.01|10|||54|01/01/2022||BASE_THICKNESS
42202190000NB|8.74|9.68|5|||54|01/01/2022||BASE_THICKNESS
4730032000000|14.79|16.09|5|||54|01/01/2022||BASE_THICKNESS
4240011000000|2.48|2.491|5|||54|01/01/2022||BASE_THICKNESS
47202190000NB|26.1|27.76|5|||54|01/01/2022||BASE_THICKNESS
38202190000NB|6.01|7.15|5|||54|01/01/2022||BASE_THICKNESS
3830039000000|27.78|28.08|5|||54|01/01/2022||BASE_THICKNESS
42200330000EB|10.26|10.99|5|||54|01/01/2022||BASE_THICKNESS
38202190000NB|4.37|6.01|5|||54|01/01/2022||BASE_THICKNESS
42202190000NB|19.15|21.44|5|||54|01/01/2022||BASE_THICKNESS
47202190000NB|5.57|7.37|5|||54|01/01/2022||BASE_THICKNESS
36200330000EB|5.49|5.92|5|||54|01/01/2022||BASE_THICKNESS
42200330000EB|9.5|9.74|5|||54|01/01/2022||BASE_THICKNESS
4730032000000|0.0|3.26|5|||54|01/01/2022||BASE_THICKNESS
3830092000000|0.0|5.83|5|||54|01/01/2022||BASE_THICKNESS
38202190000NB|14.15|14.67|5|||54|01/01/2022||BASE_THICKNESS
4272254001900|0.0|0.3|5|||54|01/01/2022||BASE_THICKNESS
42202190000NB|0.0|3.24|5|||54|01/01/2022||BASE_THICKNESS
42202190000NB|15.89|17.4|5|||54|01/01/2022||BASE_THICKNESS
47300320005SB|0.04|0.19|5|||54|01/01/2022||BASE_THICKNESS
38202190000NB|19.58|21.84|5|||54|01/01/2022||BASE_THICKNESS
4240031000000|0.0|1.81|5|||54|01/01/2022||BASE_THICKNESS
