BeginDate|StateID|RouteID|BMP|EMP|DataItem|ValueNumeric|ValueText|ValueDate|Comments
01/01/2024|54|10200190000NB|0.7|0.8|base_thickness|6.0|||
01/01/2024|54|10200190000NB|0.8|0.9|base_thickness|6.0|||
01/01/2024|54|10200190000NB|0.9|1.0|base_thickness|6.0|||
01/01/2024|54|10200190000NB|1.0|1.02|base_thickness|6.0|||
01/01/2024|54|10200190000NB|2.85|2.9|base_thickness|6.0|||
01/01/2024|54|10200190000NB|2.9|3.0|base_thickness|6.0|||
01/01/2024|54|10200190000NB|3.0|3.1|base_thickness|6.0|||
01/01/2024|54|10200190000NB|3.1|3.2|base_thickness|6.0|||
01/01/2024|54|10200190000NB|3.2|3.3|base_thickness|6.0|||
01/01/2024|54|10200190000NB|3.3|3.4|base_thickness|6.0|||
01/01/2024|54|10200190000NB|3.4|3.5|base_thickness|6.0|||
01/01/2024|54|10200190000NB|3.5|3.6|base_thickness|6.0|||
01/01/2024|54|10200190000NB|3.6|3.7|base_thickness|6.0|||
01/01/2024|54|10200190000NB|3.7|3.8|base_thickness|6.0|||
01/01/2024|54|10200190000NB|3.8|3.82|base_thickness|6.0|||
01/01/2024|54|10200190000NB|3.89|3.9|base_thickness|2.0|||
01/01/2024|54|10200190000NB|3.9|4.0|base_thickness|2.0|||
01/01/2024|54|10200190000NB|4.0|4.1|base_thickness|2.0|||
01/01/2024|54|10200190000NB|4.1|4.2|base_thickness|2.0|||
01/01/2024|54|10200190000NB|4.2|4.3|base_thickness|2.0|||
01/01/2024|54|10200190000NB|4.3|4.4|base_thickness|2.0|||
01/01/2024|54|10200190000NB|4.4|4.5|base_thickness|2.0|||
01/01/2024|54|10200190000NB|4.5|4.6|base_thickness|2.0|||
01/01/2024|54|10200190000NB|4.6|4.7|base_thickness|2.0|||
01/01/2024|54|10200190000NB|4.7|4.8|base_thickness|2.0|||
01/01/2024|54|10200190000NB|4.8|4.9|base_thickness|2.0|||
01/01/2024|54|10200190000NB|4.9|5.0|base_thickness|2.0|||
01/01/2024|54|10200190000NB|5.0|5.1|base_thickness|2.0|||
01/01/2024|54|10200190000NB|5.1|5.2|base_thickness|2.0|||
01/01/2024|54|10200190000NB|5.2|5.3|base_thickness|2.0|||
