RouteID|BMP|EMP|ValueDate|Comments|ValueNumeric|StateID|BeginDate|ValueText|DataItem
0230009000000|14.55|14.6|1950|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
0230009000000|14.6|14.7|1950|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
0230009000000|14.7|14.8|1950|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
0230009000000|14.8|14.9|1950|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
0230009000000|15.57|15.6|1950|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
0230009000000|15.6|15.7|1950|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
0230009000000|15.7|15.79|1950|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
0230009000000|15.79|15.8|1950|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
0230009000000|15.8|15.9|1950|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
0230009000000|15.9|16.0|1950|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
0230009000000|16.0|16.09|1950|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
0230009000000|17.07|17.1|2010|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
0230009000000|17.1|17.2|2010|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
0230009000000|17.2|17.3|2010|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
0230009000000|17.3|17.4|2010|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
0230009000000|17.4|17.48|2010|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
0230009000000|18.18|18.2|2010|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
0230009000000|18.2|18.3|2010|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
0230009000000|18.3|18.4|2010|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
0230009000000|18.4|18.5|2010|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
0230009000000|18.5|18.6|2010|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
0230009000000|18.6|18.7|2010|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
0230009000000|18.7|18.8|2010|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
0230009000000|18.8|18.9|2010|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
0230009000000|18.9|19.0|2010|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
0230009000000|19.0|19.1|2010|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
0230009000000|19.1|19.2|2010|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
0230009000000|19.2|19.3|2010|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
0230009000000|19.3|19.4|2010|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
