RouteID|BeginPoint|EndPoint|ValueDate|Comments|ValueNumeric|StateCode|BeginDate|ValueText|DataItem
0640021000000|2.947|2.98|2016|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
0640031000000|0.16|0.5|2013|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
0640031060000|0.0|0.38|2019|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
0640031060000|0.38|0.41|2018|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
0640031060000|0.41|0.48|2019|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
0640035000000|7.83|8.63|2015|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
3530002000000|1.9|2.0|2020|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
3530002000000|2.0|2.13|2019|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
3530002000000|2.36|2.84|2014|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
3530002000000|5.81|7.04|2014|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
3530002000000|7.35|7.57|2014|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
0640039000000|2.08|2.62|2020|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
46201190000NB|6.05|6.54|2019|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
46201190000NB|8.59|9.32|2014|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
0640052030000|0.0|0.22|2019|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
4140001000000|1.95|3.4|2014|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
0640060050000|0.0|0.88|2014|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
1771754001900|0.18|0.47|2014|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
