RouteID|BeginPoint|EndPoint|ValueNumeric|Comments|ValueDate|StateCode|BeginDate|ValueText|DataItem
0640060050000|0.88|1.68|1.5|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
0640060050000|1.68|1.97|1.5|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
0640060700000|0.0|0.18|1.5|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
0640060700000|0.18|0.56|1.5|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
0640060700000|0.56|0.76|1.5|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
0673272001900|0.35|1.04|1.5|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
0673272001900|1.08|1.28|1.5|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
0673272001900|1.28|1.44|1.5|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
0673274001900|1.46|1.56|1.5|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
0673281001900|0.19|0.48|1.5|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
0673285001900|0.0|0.32|1.5|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
0673287001900|0.0|0.28|1.5|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
0673287001900|0.51|0.86|1.5|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
0673287001900|1.03|1.14|1.5|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
0673288001900|0.78|0.89|1.5|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
0673289001900|1.72|2.02|1.5|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
0673295001900|0.0|1.08|1.5|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
0673317001900|0.0|0.24|1.5|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
2230003000000|5.71|6.1|1.5|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
2230010000000|17.81|19.07|1.5|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
23201190000NB|0.0|0.85|1.0|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
23201190000NB|1.44|2.2|1.0|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
0240013000000|0.43|1.03|1.0|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
0240013000000|1.03|1.5|1.0|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
23201190000NB|2.2|2.54|1.0|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
