County_Code,County,SignSys_Code,SignSysDescript,Miles,Miles_Percentage,Lane_Miles,Lanes_Percentage,Annual_Vehicle_Miles_Millions,Daily_Vehicle_Miles_Travel_Thousands,VMT_Percentage,RowOrder
29,Mineral,6,"State Park and Forest Roads                       ",0,0,0,0,0,0,0,1
29,Mineral,7,"Federal Aid Non-State (FANS)                      ",4.79,1.17,8,0.98,1.29,3.53,0.82,1
29,Mineral,8,"Harp Routes                                       ",22.21,5.44,44.42,5.45,0.51,1.4,0.33,1
29,Mineral,99,Total County,408.01,100,814.44,100,157.12,430.45,100,2
30,Mingo,1,"Interstates                                       ",0,0,0,0,0,0,0,1
30,Mingo,2,"US Routes                                         ",73.28,15.76,188.92,19.43,101.12,277.05,60.21,1
30,Mingo,3,"WV Routes                                         ",44.61,9.59,89.22,9.17,28.22,77.32,16.8,1
30,Mingo,4,"County Routes                                     ",341.45,73.42,682.89,70.22,38.55,105.61,22.95,1
30,Mingo,6,"State Park and Forest Roads                       ",0.18,0.04,0.36,0.04,0,0.01,0,1
30,Mingo,7,"Federal Aid Non-State (FANS)                      ",0,0,0,0,0,0,0,1
30,Mingo,8,"Harp Routes                                       ",5.56,1.2,11.12,1.14,0.05,0.15,0.03,1
30,Mingo,99,Total County,465.08,100,972.51,100,167.94,460.14,100,2
31,Monongalia,1,"Interstates                                       ",47.8,5.5,156.43,8.57,369.07,1011.16,43.79,1
31,Monongalia,2,"US Routes                                         ",44.01,5.07,98.95,5.42,146.72,401.96,17.41,1
31,Monongalia,3,"WV Routes                                         ",67.76,7.8,147.13,8.06,103.79,284.36,12.31,1
31,Monongalia,4,"County Routes                                     ",654.21,75.34,1313.38,71.97,198.93,545.01,23.6,1
31,Monongalia,6,"State Park and Forest Roads                       ",3.98,0.46,7.96,0.44,0.07,0.2,0.01,1
31,Monongalia,7,"Federal Aid Non-State (FANS)                      ",23.57,2.71,47.14,2.58,23.86,65.37,2.83,1
31,Monongalia,8,"Harp Routes                                       ",26.99,3.11,53.98,2.96,0.47,1.29,0.06,1
31,Monongalia,99,Total County,868.32,100,1824.97,100,842.91,2309.35,100,2
32,Monroe,1,"Interstates                                       ",0,0,0,0,0,0,0,1
32,Monroe,2,"US Routes                                         ",33.34,5.53,66.68,5.53,29.99,82.15,39.73,1
32,Monroe,3,"WV Routes                                         ",61.49,10.2,122.98,10.2,19.33,52.95,25.61,1
32,Monroe,4,"County Routes                                     ",502.24,83.28,1004.48,83.28,26.11,71.53,34.59,1
32,Monroe,6,"State Park and Forest Roads                       ",1.74,0.29,3.48,0.29,0.02,0.05,0.02,1
32,Monroe,7,"Federal Aid Non-State (FANS)                      ",0,0,0,0,0,0,0,1
32,Monroe,8,"Harp Routes                                       ",4.26,0.71,8.52,0.71,0.04,0.11,0.05,1
32,Monroe,99,Total County,603.07,100,1206.14,100,75.49,206.79,100,2
33,Morgan,1,"Interstates                                       ",0,0,0,0,0,0,0,1
33,Morgan,2,"US Routes                                         ",18.74,4.79,37.48,4.79,58.96,161.52,46.3,1
33,Morgan,3,"WV Routes                                         ",35.49,9.07,70.98,9.07,34.01,93.18,26.71,1
33,Morgan,4,"County Routes                                     ",303.67,77.59,607.34,77.59,33.79,92.59,26.54,1
33,Morgan,6,"State Park and Forest Roads                       ",9.7,2.48,19.4,2.48,0.16,0.43,0.12,1
33,Morgan,7,"Federal Aid Non-State (FANS)                      ",0,0,0,0,0,0,0,1
33,Morgan,8,"Harp Routes                                       ",23.8,6.08,47.6,6.08,0.42,1.14,0.33,1
33,Morgan,99,Total County,391.4,100,782.8,100,127.34,348.86,100,2
34,Nicholas,1,"Interstates                                       ",0,0,0,0,0,0,0,1
34,Nicholas,2,"US Routes                                         ",34.84,5.17,139.16,9.81,129.6,355.06,47.06,1
34,Nicholas,3,"WV Routes                                         ",131.83,19.56,264.34,18.64,115.22,315.66,41.84,1
34,Nicholas,4,"County Routes                                     ",495.73,73.55,991.46,69.91,30.43,83.36,11.05,1
34,Nicholas,6,"State Park and Forest Roads                       ",0,0,0,0,0,0,0,1
34,Nicholas,7,"Federal Aid Non-State (FANS)                      ",0,0,0,0,0,0,0,1
34,Nicholas,8,"Harp Routes                                       ",11.62,1.72,23.24,1.64,0.14,0.38,0.05,1
34,Nicholas,99,Total County,674.02,100,1418.2,100,275.39,754.46,100,2
35,Ohio,1,"Interstates                                       ",28.91,10.06,93.08,14.89,245.1,671.51,57.02,1
35,Ohio,2,"US Routes                                         ",21.86,7.61,58.57,9.37,60.25,165.08,14.02,1
35,Ohio,3,"WV Routes                                         ",24.88,8.66,51.22,8.19,50.38,138.03,11.72,1
35,Ohio,4,"County Routes                                     ",184.75,64.31,369.76,59.16,57.36,157.16,13.35,1
35,Ohio,6,"State Park and Forest Roads                       ",0.24,0.08,0.48,0.08,0,0,0,1
35,Ohio,7,"Federal Aid Non-State (FANS)                      ",18.52,6.45,35.64,5.7,16.63,45.56,3.87,1
35,Ohio,8,"Harp Routes                                       ",8.14,2.83,16.28,2.6,0.12,0.32,0.03,1
35,Ohio,99,Total County,287.3,100,625.03,100,429.84,1177.66,100,2
36,Pendleton,1,"Interstates                                       ",0,0,0,0,0,0,0,1
36,Pendleton,2,"US Routes                                         ",84.4,15.36,168.8,15.36,43.59,119.43,63.05,1
36,Pendleton,3,"WV Routes                                         ",21.89,3.98,43.78,3.98,6.86,18.79,9.92,1
36,Pendleton,4,"County Routes                                     ",441.84,80.39,883.67,80.39,18.61,51,26.92,1
36,Pendleton,6,"State Park and Forest Roads                       ",0,0,0,0,0,0,0,1
36,Pendleton,7,"Federal Aid Non-State (FANS)                      ",0.24,0.04,0.48,0.04,0.06,0.17,0.09,1
36,Pendleton,8,"Harp Routes                                       ",1.28,0.23,2.56,0.23,0.01,0.04,0.02,1
36,Pendleton,99,Total County,549.65,100,1099.29,100,69.13,189.43,100,2
37,Pleasants,1,"Interstates                                       ",0,0,0,0,0,0,0,1
37,Pleasants,2,"US Routes                                         ",0,0,0,0,0,0,0,1
37,Pleasants,3,"WV Routes                                         ",26.38,10.85,56.56,11.54,54.55,149.44,81.9,1
37,Pleasants,4,"County Routes                                     ",216.47,89,432.95,88.31,12.05,33.01,18.09,1
37,Pleasants,6,"State Park and Forest Roads                       ",0,0,0,0,0,0,0,1
37,Pleasants,7,"Federal Aid Non-State (FANS)                      ",0,0,0,0,0,0,0,1
37,Pleasants,8,"Harp Routes                                       ",0.38,0.16,0.76,0.16,0.01,0.02,0.01,1
37,Pleasants,99,Total County,243.23,100,490.27,100,66.61,182.47,100,2
38,Pocahontas,1,"Interstates                                       ",0,0,0,0,0,0,0,1
38,Pocahontas,2,"US Routes                                         ",59.22,9.02,118.44,9.02,25.73,70.5,33.95,1
38,Pocahontas,3,"WV Routes                                         ",133.04,20.27,266.08,20.27,35.36,96.88,46.65,1
38,Pocahontas,4,"County Routes                                     ",441.17,67.2,882.34,67.2,14.21,38.93,18.75,1
38,Pocahontas,6,"State Park and Forest Roads                       ",10.17,1.55,20.35,1.55,0.32,0.88,0.42,1
38,Pocahontas,7,"Federal Aid Non-State (FANS)                      ",0.21,0.03,0.42,0.03,0.02,0.04,0.02,1
38,Pocahontas,8,"Harp Routes                                       ",12.68,1.93,25.36,1.93,0.17,0.45,0.22,1
38,Pocahontas,99,Total County,656.49,100,1312.99,100,75.81,207.68,100,2
39,Preston,1,"Interstates                                       ",21.16,1.85,79.97,3.44,110.06,301.54,37.99,1
39,Preston,2,"US Routes                                         ",32.93,2.88,65.86,2.83,14.53,39.8,5.01,1
39,Preston,3,"WV Routes                                         ",113.95,9.96,227.9,9.8,98.32,269.37,33.94,1
39,Preston,4,"County Routes                                     ",953.4,83.3,1906.8,81.95,66.19,181.34,22.85,1
39,Preston,6,"State Park and Forest Roads                       ",0.28,0.02,0.56,0.02,0,0.01,0,1
39,Preston,7,"Federal Aid Non-State (FANS)                      ",0.6,0.05,1.2,0.05,0.09,0.25,0.03,1
39,Preston,8,"Harp Routes                                       ",22.18,1.94,44.36,1.91,0.51,1.4,0.18,1
39,Preston,99,Total County,1144.5,100,2326.65,100,289.7,793.71,100,2
40,Putnam,1,"Interstates                                       ",23.83,3.52,70.59,5.01,240.32,658.42,38.67,1
40,Putnam,2,"US Routes                                         ",28.73,4.25,88.59,6.28,103.71,284.15,16.69,1
