RouteID|BMP|EMP|ValueNumeric|DataItem|BeginDate|ValueText|ValueDate|StateID|Comments
4140019210000|3.73|5.14|0.224|Curves_C|01/01/2024|||54|
1740025120000|0.27|0.64|0.043|Curves_C|01/01/2024|||54|
2430083000000|0.0|6.42|0.628|Curves_C|01/01/2024|||54|
2430083000000|14.092|17.6|0.514|Curves_C|01/01/2024|||54|
2430083000000|17.6|18.01|0.067|Curves_C|01/01/2024|||54|
4940013000000|0.0|0.86|0.147|Curves_C|01/01/2024|||54|
1140007000000|6.97|8.67|0.295|Curves_C|01/01/2024|||54|
0274259001900|0.17|0.61|0.12|Curves_C|01/01/2024|||54|
2930093000000|0.0|3.42|0.302|Curves_C|01/01/2024|||54|
2776503001900|0.0|0.23|0.024|Curves_C|01/01/2024|||54|
1771754001900|0.18|0.47|0.034|Curves_C|01/01/2024|||54|
1740050160000|0.12|0.54|0.087|Curves_C|01/01/2024|||54|
3140007210000|0.0|1.11|0.216|Curves_C|01/01/2024|||54|
2870514001900|0.6|1.41|0.088|Curves_C|01/01/2024|||54|
41100770016NB|35.21|35.75|0.192|Curves_C|01/01/2024|||54|
41100770016NB|35.75|37.82|0.214|Curves_C|01/01/2024|||54|
41100770016NB|42.31|43.13|0.212|Curves_C|01/01/2024|||54|
41100770016NB|43.13|44.54|0.61|Curves_C|01/01/2024|||54|
41100770016NB|48.05|48.34|0.075|Curves_C|01/01/2024|||54|
1940009020000|0.2|0.35|0.033|Curves_C|01/01/2024|||54|
3040065050000|5.74|7.12|0.028|Curves_C|01/01/2024|||54|
0673272001900|0.35|1.04|0.077|Curves_C|01/01/2024|||54|
0673272001900|1.08|1.44|0.044|Curves_C|01/01/2024|||54|
17200500000EB|0.0|1.53|0.832|Curves_C|01/01/2024|||54|
17200500000EB|1.53|3.37|0.333|Curves_C|01/01/2024|||54|
17200500000EB|3.42|3.8|0.074|Curves_C|01/01/2024|||54|
17200500000EB|6.11|7.16|0.058|Curves_C|01/01/2024|||54|
17200500000EB|11.38|12.29|0.084|Curves_C|01/01/2024|||54|
17200500000EB|13.25|13.78|0.394|Curves_C|01/01/2024|||54|
17200500000EB|15.31|15.46|0.075|Curves_C|01/01/2024|||54|
17200500000EB|15.68|16.24|0.199|Curves_C|01/01/2024|||54|
17200500000EB|17.79|18.0|0.013|Curves_C|01/01/2024|||54|
17200500000EB|18.32|18.45|0.092|Curves_C|01/01/2024|||54|
17200500000EB|18.45|18.52|0.065|Curves_C|01/01/2024|||54|
17200500000EB|18.85|19.21|0.038|Curves_C|01/01/2024|||54|
1940003000000|1.403|1.82|0.242|Curves_C|01/01/2024|||54|
1940003000000|1.82|2.02|0.102|Curves_C|01/01/2024|||54|
3430041000000|0.03|2.59|0.093|Curves_C|01/01/2024|||54|
4240025030000|0.0|0.005|0.002|Curves_C|01/01/2024|||54|
0274256001900|0.0|0.66|0.05|Curves_C|01/01/2024|||54|
3540039000000|0.01|0.42|0.064|Curves_C|01/01/2024|||54|
3540039000000|0.42|1.56|0.056|Curves_C|01/01/2024|||54|
3540039000000|1.56|2.05|0.029|Curves_C|01/01/2024|||54|
3540015010000|2.48|2.77|0.049|Curves_C|01/01/2024|||54|
1577271001900|0.4|1.18|0.179|Curves_C|01/01/2024|||54|
2940008000000|0.0|0.24|0.035|Curves_C|01/01/2024|||54|
36200330000EB|33.184|33.783|0.021|Curves_C|01/01/2024|||54|
0630193000000|0.46|3.55|0.752|Curves_C|01/01/2024|||54|
0240013000000|0.43|1.03|0.059|Curves_C|01/01/2024|||54|
0240013000000|1.03|1.5|0.104|Curves_C|01/01/2024|||54|
3140857000000|0.5|1.41|0.402|Curves_C|01/01/2024|||54|
3140857000000|5.11|5.59|0.071|Curves_C|01/01/2024|||54|
3140857000000|10.85|11.35|0.059|Curves_C|01/01/2024|||54|
4140048000000|0.0|1.9|0.481|Curves_C|01/01/2024|||54|
5040003000000|3.94|4.06|0.032|Curves_C|01/01/2024|||54|
5440047040000|0.0|0.23|0.029|Curves_C|01/01/2024|||54|
5440047040000|0.23|0.93|0.13|Curves_C|01/01/2024|||54|
5440047040000|0.93|2.86|0.759|Curves_C|01/01/2024|||54|
29200500000EB|8.0|10.56|0.069|Curves_C|01/01/2024|||54|
2040012010000|0.0|0.6|0.063|Curves_C|01/01/2024|||54|
0640031000000|0.16|0.5|0.056|Curves_C|01/01/2024|||54|
1230042000000|16.97|21.26|0.544|Curves_C|01/01/2024|||54|
1230042000000|21.78|22.74|0.257|Curves_C|01/01/2024|||54|
3174813001900|0.0|1.24|0.283|Curves_C|01/01/2024|||54|
1740006000000|0.0|0.808|0.267|Curves_C|01/01/2024|||54|
2877012001900|0.0|0.96|0.23|Curves_C|01/01/2024|||54|
0940003000000|4.14|5.77|0.057|Curves_C|01/01/2024|||54|
3930072000000|18.42|20.44|0.274|Curves_C|01/01/2024|||54|
1640010000000|4.6|5.8|0.279|Curves_C|01/01/2024|||54|
4240031000000|0.0|1.81|0.065|Curves_C|01/01/2024|||54|
1740019290000|0.0|0.57|0.193|Curves_C|01/01/2024|||54|
2040025470000|0.1|0.36|0.097|Curves_C|01/01/2024|||54|
1340045010000|0.0|0.539|0.055|Curves_C|01/01/2024|||54|
2040060280000|0.0|0.55|0.171|Curves_C|01/01/2024|||54|
3140067000000|6.22|7.97|0.182|Curves_C|01/01/2024|||54|
3140067000000|7.97|8.36|0.158|Curves_C|01/01/2024|||54|
3140067000000|8.36|8.55|0.059|Curves_C|01/01/2024|||54|
2940014000000|4.19|4.6|0.021|Curves_C|01/01/2024|||54|
2040008000000|0.86|1.17|0.081|Curves_C|01/01/2024|||54|
2040008000000|2.72|3.24|0.034|Curves_C|01/01/2024|||54|
3540091010000|0.0|0.2|0.032|Curves_C|01/01/2024|||54|
4140019030000|0.387|0.5|0.013|Curves_C|01/01/2024|||54|
4140019030000|0.5|0.98|0.365|Curves_C|01/01/2024|||54|
0530002000000|3.88|6.35|0.366|Curves_C|01/01/2024|||54|
0530002000000|6.799|7.06|0.143|Curves_C|01/01/2024|||54|
0530002000000|7.06|7.47|0.066|Curves_C|01/01/2024|||54|
0530002000000|10.14|10.72|0.105|Curves_C|01/01/2024|||54|
0530002000000|15.08|15.4|0.145|Curves_C|01/01/2024|||54|
0530002000000|15.75|16.16|0.111|Curves_C|01/01/2024|||54|
28100770016NB|8.98|9.19|0.105|Curves_C|01/01/2024|||54|
28100770016NB|9.19|9.5|0.042|Curves_C|01/01/2024|||54|
28100770016NB|11.44|12.16|0.087|Curves_C|01/01/2024|||54|
28100770016NB|13.74|14.006|0.07|Curves_C|01/01/2024|||54|
3140070000000|0.0|0.38|0.005|Curves_C|01/01/2024|||54|
3140070000000|0.387|1.47|0.167|Curves_C|01/01/2024|||54|
4040050000000|13.38|14.06|0.2|Curves_C|01/01/2024|||54|
20100640006EB|0.0|0.3|0.045|Curves_C|01/01/2024|||54|
33205220000NB|0.0|6.35|1.029|Curves_C|01/01/2024|||54|
33205220000NB|6.35|7.81|0.304|Curves_C|01/01/2024|||54|
33205220000NB|12.67|13.11|0.095|Curves_C|01/01/2024|||54|
33205220000NB|14.68|15.97|0.214|Curves_C|01/01/2024|||54|
0540027040000|0.0|0.13|0.022|Curves_C|01/01/2024|||54|
54100770000NB|156.99|158.69|1.035|Curves_C|01/01/2024|||54|
54100770000NB|158.69|160.38|1.219|Curves_C|01/01/2024|||54|
54100770000NB|160.38|161.66|0.892|Curves_C|01/01/2024|||54|
54100770000NB|176.46|176.76|0.3|Curves_C|01/01/2024|||54|
54100770000NB|176.76|177.928|0.516|Curves_C|01/01/2024|||54|
54100770000NB|180.18|181.674|0.754|Curves_C|01/01/2024|||54|
54100770000NB|181.674|185.34|0.538|Curves_C|01/01/2024|||54|
54100770000NB|185.34|185.64|0.028|Curves_C|01/01/2024|||54|
54100770000NB|185.64|186.72|0.139|Curves_C|01/01/2024|||54|
19203400000NB|8.56|9.13|0.21|Curves_C|01/01/2024|||54|
19203400000NB|9.55|10.41|0.113|Curves_C|01/01/2024|||54|
19203400000NB|10.41|11.86|0.272|Curves_C|01/01/2024|||54|
19203400000NB|11.9|12.047|0.086|Curves_C|01/01/2024|||54|
19203400000NB|12.047|12.88|0.337|Curves_C|01/01/2024|||54|
19203400000NB|12.88|13.26|0.05|Curves_C|01/01/2024|||54|
19203400000NB|13.26|13.82|0.261|Curves_C|01/01/2024|||54|
2530310000000|7.16|7.808|0.357|Curves_C|01/01/2024|||54|
2530310000000|9.67|10.1|0.328|Curves_C|01/01/2024|||54|
0140046010000|0.0|1.62|0.177|Curves_C|01/01/2024|||54|
4140016160000|0.0|0.42|0.111|Curves_C|01/01/2024|||54|
5230007000000|0.2|0.36|0.113|Curves_C|01/01/2024|||54|
5230007000000|35.64|36.52|0.028|Curves_C|01/01/2024|||54|
3940003000000|4.6|7.27|0.491|Curves_C|01/01/2024|||54|
4830002000000|2.84|4.64|0.28|Curves_C|01/01/2024|||54|
4830002000000|9.93|10.25|0.12|Curves_C|01/01/2024|||54|
4830002000000|10.25|12.02|0.356|Curves_C|01/01/2024|||54|
4830002000000|12.02|13.02|0.138|Curves_C|01/01/2024|||54|
0240009050000|1.67|3.26|0.199|Curves_C|01/01/2024|||54|
2030006000000|0.0|0.1|0.06|Curves_C|01/01/2024|||54|
1740050760000|0.0|0.31|0.047|Curves_C|01/01/2024|||54|
1740050760000|0.31|1.34|0.098|Curves_C|01/01/2024|||54|
2040038000000|0.0|2.43|0.387|Curves_C|01/01/2024|||54|
0640035000000|7.83|8.63|0.252|Curves_C|01/01/2024|||54|
4730093000000|2.34|7.42|0.317|Curves_C|01/01/2024|||54|
2572529001900|0.0|0.15|0.051|Curves_C|01/01/2024|||54|
20100640000EB|45.39|47.44|0.619|Curves_C|01/01/2024|||54|
20100640000EB|47.44|48.4|0.088|Curves_C|01/01/2024|||54|
20100640000EB|48.4|49.75|0.406|Curves_C|01/01/2024|||54|
20100640000EB|49.75|50.11|0.08|Curves_C|01/01/2024|||54|
20100640000EB|53.75|54.37|0.389|Curves_C|01/01/2024|||54|
20100640000EB|54.37|54.8|0.148|Curves_C|01/01/2024|||54|
20100640000EB|57.02|57.48|0.207|Curves_C|01/01/2024|||54|
20100640000EB|57.48|57.92|0.269|Curves_C|01/01/2024|||54|
20200600007WB|7.93|8.1|0.024|Curves_C|01/01/2024|||54|
