RouteID|BMP|EMP|ValueNumeric|DataItem|BeginDate|ValueText|ValueDate|StateID|Comments
42200330000EB|8.05|9.5|0.669|Curves_A|01/01/2024|||54|
42200330000EB|9.5|9.74|0.029|Curves_A|01/01/2024|||54|
42200330000EB|10.26|10.99|0.216|Curves_A|01/01/2024|||54|
2540250180000|0.08|0.85|0.097|Curves_A|01/01/2024|||54|
1030006000000|0.0|0.12|0.011|Curves_A|01/01/2024|||54|
1030006000000|0.12|0.33|0.071|Curves_A|01/01/2024|||54|
0240051070000|2.28|3.56|0.113|Curves_A|01/01/2024|||54|
2330044000000|16.02|17.07|0.942|Curves_A|01/01/2024|||54|
06100640000EB|6.47|6.74|0.047|Curves_A|01/01/2024|||54|
06100640000EB|7.26|7.72|0.078|Curves_A|01/01/2024|||54|
06100640000EB|7.72|8.19|0.034|Curves_A|01/01/2024|||54|
06100640000EB|17.68|18.08|0.124|Curves_A|01/01/2024|||54|
06100640000EB|18.08|18.49|0.065|Curves_A|01/01/2024|||54|
06100640000EB|18.49|19.32|0.104|Curves_A|01/01/2024|||54|
06100640000EB|19.32|19.71|0.086|Curves_A|01/01/2024|||54|
06100640000EB|19.71|20.19|0.066|Curves_A|01/01/2024|||54|
06100640000EB|20.19|21.04|0.075|Curves_A|01/01/2024|||54|
06100640000EB|21.04|21.16|0.042|Curves_A|01/01/2024|||54|
06100640000EB|22.39|27.11|0.48|Curves_A|01/01/2024|||54|
06100640000EB|27.55|28.67|0.108|Curves_A|01/01/2024|||54|
06100640000EB|28.67|29.44|0.067|Curves_A|01/01/2024|||54|
06100640000EB|29.44|31.77|1.567|Curves_A|01/01/2024|||54|
28200520000EB|6.96|7.76|0.213|Curves_A|01/01/2024|||54|
1740012000000|0.14|0.9|0.054|Curves_A|01/01/2024|||54|
3140049000000|0.66|1.25|0.437|Curves_A|01/01/2024|||54|
4040012000000|4.71|8.19|0.314|Curves_A|01/01/2024|||54|
4040012000000|8.19|10.77|0.354|Curves_A|01/01/2024|||54|
4040012000000|10.77|12.37|0.326|Curves_A|01/01/2024|||54|
15200300000EB|0.53|0.61|0.08|Curves_A|01/01/2024|||54|
1030061000000|0.0|1.12|0.057|Curves_A|01/01/2024|||54|
1030061000000|22.53|25.56|0.077|Curves_A|01/01/2024|||54|
4130041000000|0.0|0.71|0.054|Curves_A|01/01/2024|||54|
5440021020000|0.0|0.39|0.151|Curves_A|01/01/2024|||54|
5440021020000|0.5|1.98|0.721|Curves_A|01/01/2024|||54|
35202500010SB|0.0|0.64|0.202|Curves_A|01/01/2024|||54|
4530003000000|9.56|10.91|0.618|Curves_A|01/01/2024|||54|
5430014000100|0.0|0.63|0.054|Curves_A|01/01/2024|||54|
5430014000100|0.92|1.31|0.162|Curves_A|01/01/2024|||54|
4730032000000|0.0|3.26|0.085|Curves_A|01/01/2024|||54|
4730032000000|3.26|4.88|0.045|Curves_A|01/01/2024|||54|
4730032000000|14.79|16.09|0.046|Curves_A|01/01/2024|||54|
4140008010000|1.02|1.6|0.033|Curves_A|01/01/2024|||54|
1940031000000|0.0|0.029|0.027|Curves_A|01/01/2024|||54|
44200330000EB|4.33|5.61|0.11|Curves_A|01/01/2024|||54|
44200330000EB|6.75|9.1|0.195|Curves_A|01/01/2024|||54|
44200330000EB|15.77|17.73|0.131|Curves_A|01/01/2024|||54|
5475762001900|1.16|1.47|0.093|Curves_A|01/01/2024|||54|
4940012010000|0.0|0.02|0.02|Curves_A|01/01/2024|||54|
2040039000000|7.15|8.83|0.344|Curves_A|01/01/2024|||54|
0540013000000|0.0|0.14|0.01|Curves_A|01/01/2024|||54|
12200480000EB|0.0|5.82|0.198|Curves_A|01/01/2024|||54|
2740035110000|0.0|0.37|0.305|Curves_A|01/01/2024|||54|
4140030000000|4.27|4.52|0.003|Curves_A|01/01/2024|||54|
1540208000000|3.21|3.55|0.043|Curves_A|01/01/2024|||54|
20200600000EB|2.44|2.86|0.053|Curves_A|01/01/2024|||54|
20200600000EB|6.2|6.92|0.65|Curves_A|01/01/2024|||54|
20200600000EB|9.19|10.9|1.71|Curves_A|01/01/2024|||54|
20200600000EB|14.84|16.0|0.45|Curves_A|01/01/2024|||54|
20200600000EB|16.07|16.48|0.176|Curves_A|01/01/2024|||54|
20200600000EB|18.64|20.08|0.991|Curves_A|01/01/2024|||54|
20200600000EB|23.08|23.52|0.031|Curves_A|01/01/2024|||54|
