ROUTE_ID,BMP,EMP,data
0140054020000,0.0,0.98,ARNOLD
0140056000000,0.156,1.88,ARNOLD
0140056000000,0.0,0.13,ARNOLD
0140056010000,0.0,1.9,ARNOLD
0140056020000,0.0,0.8,ARNOLD
0140056030000,0.0,0.4,ARNOLD
0140057010000,0.0,2.43,ARNOLD
0140057020000,0.0,1.85,ARNOLD
0140057040000,0.0,1.15,ARNOLD
0140057050000,0.0,0.28,ARNOLD
0140057060000,0.0,0.97,ARNOLD
0140057070000,0.0,1.91,ARNOLD
0140057080000,0.0,2.03,ARNOLD
0140057100000,0.0,1.79,ARNOLD
0140057110000,0.0,0.6,ARNOLD
0140057110000,1.21,1.36,ARNOLD
0140057120000,0.0,1.7,ARNOLD
0140057130000,0.0,1.09,ARNOLD
0140057140000,0.0,1.13,ARNOLD
0140057150000,0.0,0.03,ARNOLD
0140076020000,0.0,0.15,ARNOLD
0140076030000,0.0,0.35,ARNOLD
0140076040000,0.0,0.12,ARNOLD
0140076050000,0.0,0.07,ARNOLD
0140076060000,0.0,0.08,ARNOLD
0140076070000,0.0,0.02,ARNOLD
0140076080000,0.0,0.05,ARNOLD
0140076090000,0.0,0.21,ARNOLD
0140076100000,0.0,0.02,ARNOLD
0140076110000,0.0,0.17,ARNOLD
0140076120000,0.0,0.09,ARNOLD
0140077010000,0.0,1.44,ARNOLD
0140077020000,0.0,2.08,ARNOLD
0140077030000,0.0,0.99,ARNOLD
0140077040000,0.0,0.68,ARNOLD
0140077050000,0.0,1.05,ARNOLD
0140077060000,0.0,0.85,ARNOLD
0140077070000,0.0,0.94,ARNOLD
0140077080000,0.0,0.26,ARNOLD
0140092010000,0.0,1.7,ARNOLD
0140092020000,0.0,3.53,ARNOLD
0140092030000,0.0,1.22,ARNOLD
0140092040000,0.0,1.51,ARNOLD
0140092040000,1.53,3.07,ARNOLD
0140092050000,0.0,1.83,ARNOLD
0140092080000,0.0,2.06,ARNOLD
0140092120000,0.0,3.11,ARNOLD
0140092130000,0.0,1.59,ARNOLD
0140092140000,0.0,1.69,ARNOLD
0140092150000,0.0,0.8,ARNOLD
0140092160000,0.0,1.1,ARNOLD
0140092170000,0.0,0.96,ARNOLD
0140092180000,0.0,2.73,ARNOLD
0140092190000,0.0,2.14,ARNOLD
0140092200000,0.0,0.81,ARNOLD
0140092220000,0.0,0.24,ARNOLD
0140092230000,0.0,0.31,ARNOLD
0140092240000,0.0,0.43,ARNOLD
0140092250000,0.0,1.05,ARNOLD
0140092260000,0.0,0.15,ARNOLD
0140092270000,0.0,0.14,ARNOLD
0140092280000,0.0,0.15,ARNOLD
0140092290000,0.0,0.1,ARNOLD
0140093000000,0.0,3.95,ARNOLD
0140093010000,0.0,1.22,ARNOLD
0140093020000,0.0,0.79,ARNOLD
0140119010000,0.0,0.07,ARNOLD
0140119020000,0.0,0.22,ARNOLD
0140119040000,0.0,1.34,ARNOLD
0140119050000,0.0,1.98,ARNOLD
0140119060000,0.0,0.94,ARNOLD
0140119080000,0.0,0.56,ARNOLD
0140119090000,0.0,1.65,ARNOLD
0140119110000,0.0,0.81,ARNOLD
0140119120000,0.0,0.96,ARNOLD
0140119130000,0.0,0.99,ARNOLD
0140119150000,0.0,1.32,ARNOLD
0140119160000,0.0,0.97,ARNOLD
0140119170000,0.0,0.33,ARNOLD
0140119180000,0.0,1.23,ARNOLD
0140119190000,0.0,0.5,ARNOLD
0140119210000,0.0,0.27,ARNOLD
0140119220000,0.0,0.4,ARNOLD
0140119230000,0.0,0.3,ARNOLD
0140119240000,0.0,0.3,ARNOLD
0140119250000,0.0,0.3,ARNOLD
0140119260000,0.0,0.25,ARNOLD
0140119280000,0.0,0.12,ARNOLD
0140119290000,0.0,0.09,ARNOLD
0140119300000,0.0,0.12,ARNOLD
0140119310000,0.0,0.11,ARNOLD
0140119320000,0.0,0.11,ARNOLD
0140119330000,0.0,0.11,ARNOLD
0140119340000,0.0,0.08,ARNOLD
0140250010000,0.0,2.74,ARNOLD
0140250020000,0.0,1.92,ARNOLD
0140250030000,0.0,1.89,ARNOLD
0140250040000,0.0,0.24,ARNOLD
0140250040000,0.32,2.35,ARNOLD
0140250050000,0.0,2.27,ARNOLD
0140250060000,0.0,2.66,ARNOLD
0140250080000,0.0,2.87,ARNOLD
0140250090000,0.0,0.39,ARNOLD
0140250090000,0.75,2.04,ARNOLD
0140250100000,0.0,1.08,ARNOLD
0140250110000,0.0,1.08,ARNOLD
0140250120000,0.0,0.56,ARNOLD
0140250130000,0.0,0.51,ARNOLD
0140250140000,0.0,0.26,ARNOLD
0140250150000,0.0,0.48,ARNOLD
0140250160000,0.0,0.27,ARNOLD
0140250170000,0.0,0.23,ARNOLD
0140250180000,0.0,0.42,ARNOLD
0140250190000,0.0,0.33,ARNOLD
0140250200000,0.0,0.07,ARNOLD
0140250210000,0.0,0.12,ARNOLD
0140250220000,0.0,0.06,ARNOLD
0140250230000,0.0,0.06,ARNOLD
0140250240000,0.0,0.08,ARNOLD
0140250250000,0.0,0.22,ARNOLD
0140250260000,0.0,0.04,ARNOLD
0140250270000,0.0,0.272,ARNOLD
0140250270000,0.3,0.8,ARNOLD
0140250280000,0.0,0.14,ARNOLD
0140250290000,0.0,0.37,ARNOLD
0140250300000,0.0,0.05,ARNOLD
0140250310000,0.0,0.14,ARNOLD
0140250320000,0.0,0.09,ARNOLD
0140250330000,0.0,0.49,ARNOLD
0140250350000,0.0,0.055,ARNOLD
0140250370000,0.0,0.03,ARNOLD
0140250380000,0.0,0.05,ARNOLD
0140250390000,0.0,0.23,ARNOLD
0160801000000,0.0,1.89,ARNOLD
0160802000000,0.0,1.35,ARNOLD
0160803000000,0.0,0.34,ARNOLD
0160804000000,0.0,0.12,ARNOLD
0160805000000,0.0,0.44,ARNOLD
0160806000000,0.0,0.22,ARNOLD
0160813000000,0.0,0.04,ARNOLD
0160814000000,0.0,0.14,ARNOLD
0160815000000,0.0,1.07,ARNOLD
0160816000000,0.0,0.05,ARNOLD
0160817000000,0.0,0.34,ARNOLD
0160818000000,0.0,0.03,ARNOLD
0180901000000,0.0,0.09,ARNOLD
0180902000000,0.0,0.08,ARNOLD
0180903000000,0.0,0.07,ARNOLD
0180904000000,0.0,0.84,ARNOLD
0180905000000,0.0,0.08,ARNOLD
0180906000000,0.0,0.12,ARNOLD
0180907000000,0.0,0.25,ARNOLD
0180908000000,0.0,0.2,ARNOLD
0180909000000,0.0,0.09,ARNOLD
0180910000000,0.0,0.4,ARNOLD
0180911000000,0.0,0.22,ARNOLD
0180912000000,0.0,0.22,ARNOLD
0180913000000,0.0,0.22,ARNOLD
0180914000000,0.0,0.22,ARNOLD
0180915000000,0.0,0.22,ARNOLD
0180916000000,0.0,0.12,ARNOLD
0180918000000,0.0,0.06,ARNOLD
0180920000000,0.0,0.1,ARNOLD
0180921000000,0.0,0.1,ARNOLD
0180922000000,0.0,0.43,ARNOLD
0180923000000,0.0,0.19,ARNOLD
0180925000000,0.0,0.23,ARNOLD
0180926000000,0.0,1.24,ARNOLD
02100810000SB,0.0,26.0,ARNOLD
02100810017NB0005A,0.0,0.245,ARNOLD
02100810017NB0005B,0.0,0.188,ARNOLD
02100810017NB0008A,0.0,0.271,ARNOLD
02100810017NB0008B,0.0,0.298,ARNOLD
02100810017NB0012A,0.0,0.213,ARNOLD
02100810017NB0012B,0.0,0.334,ARNOLD
02100810017NB0013A,0.0,0.278,ARNOLD
02100810017NB0013B,0.0,0.285,ARNOLD
02100810017NB0014A,0.0,0.234,ARNOLD
02100810017NB0014B,0.0,0.238,ARNOLD
02100810017NB0016A,0.0,0.362,ARNOLD
02100810017NB0016B,0.0,0.557,ARNOLD
02100810017NB0016E,0.0,0.377,ARNOLD
02100810017NB0016F,0.0,0.325,ARNOLD
02100810017NB0020A,0.0,0.248,ARNOLD
02100810017NB0020B,0.0,0.288,ARNOLD
02100810017NB0020E,0.0,0.021,ARNOLD
02100810017NB0023A,0.0,0.273,ARNOLD
02100810017NB0023B,0.0,0.389,ARNOLD
02100810017SB0005C,0.0,0.223,ARNOLD
02100810017SB0005D,0.0,0.221,ARNOLD
02100810017SB0008C,0.0,0.306,ARNOLD
02100810017SB0008D,0.0,0.298,ARNOLD
02100810017SB0012C,0.0,0.274,ARNOLD
02100810017SB0012D,0.0,0.219,ARNOLD
02100810017SB0013C,0.0,0.29,ARNOLD
02100810017SB0013D,0.0,0.252,ARNOLD
02100810017SB0014C,0.0,0.265,ARNOLD
02100810017SB0014D,0.0,0.273,ARNOLD
02100810017SB0016C,0.0,0.529,ARNOLD
02100810017SB0016D,0.0,0.511,ARNOLD
02100810017SB0016G,0.0,0.37,ARNOLD
02100810017SB0016H,0.0,0.345,ARNOLD
02100810017SB0020C,0.0,0.238,ARNOLD
02100810017SB0020D,0.0,0.253,ARNOLD
02100810017SB0020H,0.0,0.029,ARNOLD
02100810017SB0023C,0.0,0.283,ARNOLD
02100810017SB0023D,0.0,0.412,ARNOLD
02100810017SB0023H,0.0,0.032,ARNOLD
02200110000SB,0.0,26.16,ARNOLD
02200110004NB,0.0,0.03,ARNOLD
02200110006EB,0.0,0.03,ARNOLD
0230009000000,0.0,12.45,ARNOLD
0230009000000,15.371,20.18,ARNOLD
02300090000WB,10.37,11.39,ARNOLD
02300090000WB,12.322,12.45,ARNOLD
02300090000WB,14.98,20.18,ARNOLD
02300090007WB,0.0,0.17,ARNOLD
02300090017EB0017A,0.0,0.224,ARNOLD
02300090017EB0017B,0.0,0.272,ARNOLD
02300090017EB0019A,0.0,0.191,ARNOLD
02300090017EB0019B,0.0,0.214,ARNOLD
02300090017WB0017C,0.0,0.284,ARNOLD
02300090017WB0017D,0.0,0.323,ARNOLD
02300090017WB0019C,0.0,0.197,ARNOLD
02300090017WB0019D,0.0,0.176,ARNOLD
0230045000000,0.0,15.31,ARNOLD
0230045000000,17.53,23.3,ARNOLD
02300450000SB,14.22,15.464,ARNOLD
02300450006EB,0.0,0.05,ARNOLD
02300450007WB,0.0,0.17,ARNOLD
0230051000000,0.0,5.18,ARNOLD
0230051000000,5.4,9.36,ARNOLD
0230115000000,0.0,2.434,ARNOLD
0230901000000,0.0,5.65,ARNOLD
02309010000WB,5.058,5.65,ARNOLD
0230901000200,0.0,0.04,ARNOLD
0240001000000,4.08,9.52,ARNOLD
0240001010000,0.0,2.53,ARNOLD
0240001020000,0.0,1.18,ARNOLD
0240001030000,0.0,1.15,ARNOLD
0240001040000,0.0,2.13,ARNOLD
0240001050000,0.0,1.78,ARNOLD
0240001060000,0.0,1.08,ARNOLD
0240001070000,0.0,0.17,ARNOLD
0240001080000,0.0,0.85,ARNOLD
0240001090000,0.0,0.57,ARNOLD
0240001100000,0.0,0.1,ARNOLD
0240001110000,0.0,0.12,ARNOLD
0240001120000,0.0,0.26,ARNOLD
0240001130000,0.0,0.42,ARNOLD
0240001140000,0.0,0.2,ARNOLD
0240001150000,0.0,0.22,ARNOLD
0240001160000,0.0,0.14,ARNOLD
0240002000000,0.0,3.39,ARNOLD
0240002010000,0.0,2.68,ARNOLD
0240002020000,0.0,2.6,ARNOLD
0240002030000,0.0,1.84,ARNOLD
0240002040000,0.0,0.75,ARNOLD
0240003010000,0.0,2.75,ARNOLD
0240003020000,0.0,4.96,ARNOLD
0240003030000,0.0,0.44,ARNOLD
0240004000000,0.0,5.36,ARNOLD
0240004010000,0.0,0.98,ARNOLD
0240005000000,0.0,1.49,ARNOLD
0240005000000,1.85,7.94,ARNOLD
0240005010000,0.0,0.47,ARNOLD
0240005020000,0.0,0.35,ARNOLD
0240005030000,0.0,4.16,ARNOLD
0240005040000,0.0,0.98,ARNOLD
0240005050000,0.0,0.5,ARNOLD
0240005060000,0.0,2.34,ARNOLD
0240005070000,0.0,0.57,ARNOLD
0240005080000,0.0,0.9,ARNOLD
0240005090000,0.0,0.74,ARNOLD
0240005100000,0.0,0.42,ARNOLD
0240005110000,0.0,0.57,ARNOLD
0240005110000,0.61,0.94,ARNOLD
0240005120000,0.0,0.22,ARNOLD
02400051200NB,0.0,0.22,ARNOLD
0240005130000,0.0,0.34,ARNOLD
0240005140000,0.0,0.47,ARNOLD
0240006000000,0.0,3.21,ARNOLD
0240006010000,0.0,2.15,ARNOLD
0240006010200,0.0,0.068,ARNOLD
0240007000000,0.0,15.42,ARNOLD
0240007000200,0.0,0.017,ARNOLD
0240007010000,0.0,0.87,ARNOLD
0240007020000,0.0,2.39,ARNOLD
0240007030000,0.0,3.03,ARNOLD
0240007040000,0.0,0.62,ARNOLD
0240007040200,0.0,0.061,ARNOLD
0240007050000,0.0,1.27,ARNOLD
0240007060000,0.0,2.67,ARNOLD
0240007070000,0.0,1.18,ARNOLD
0240007080000,0.0,2.23,ARNOLD
0240007090000,0.0,2.34,ARNOLD
0240007110000,0.0,1.29,ARNOLD
0240007120000,0.0,0.95,ARNOLD
0240007120000,2.79,3.91,ARNOLD
0240007130000,0.0,5.37,ARNOLD
0240007140000,0.0,1.01,ARNOLD
0240007150000,0.0,2.18,ARNOLD
0240007160000,0.0,2.36,ARNOLD
0240007180000,0.0,1.12,ARNOLD
0240007190000,0.0,2.15,ARNOLD
0240007200000,0.0,2.13,ARNOLD
0240007210000,0.0,3.2,ARNOLD
0240007220000,0.0,1.13,ARNOLD
0240007240000,0.0,0.62,ARNOLD
0240007250000,0.0,1.66,ARNOLD
0240007260000,0.0,0.46,ARNOLD
0240007270000,0.0,2.0,ARNOLD
0240007280000,0.0,0.82,ARNOLD
0240007290000,0.0,0.18,ARNOLD
0240007300000,0.0,1.15,ARNOLD
0240007310000,0.0,0.47,ARNOLD
