ValueDate,RouteID,BeginPoint,EndPoint,IRI,SURFACE_TYPE,RUTTING,FAULTING,CRACKING_PERCENT
2025,01201190000NB,8.3,8.4,101.0,ASP,0.1,0.0,4.0
2025,01201190000NB,8.4,8.5,79.9,ASP,0.09,0.0,0.0
2025,01201190000NB,8.5,8.6,65.7,ASP,0.07,0.0,0.0
2025,01201190000NB,8.6,8.7,67.0,ASP,0.11,0.0,0.0
2025,01201190000NB,8.7,8.8,69.9,ASP,0.11,0.0,0.0
2025,01201190000NB,8.8,8.9,223.5,ASP,0.1,0.0,0.5
2025,01201190000NB,8.9,9.0,107.4,ASP,0.09,0.0,0.0
2025,01201190000NB,9.0,9.1,123.5,ASP,0.09,0.0,0.0
2025,01201190000NB,9.1,9.2,100.7,ASP,0.12,0.0,0.0
2025,01201190000NB,9.2,9.3,142.4,ASP,0.11,0.0,0.0
2025,01201190000NB,9.3,9.4,145.0,ASP,0.17,0.0,3.9
2025,01201190000NB,9.4,9.5,134.7,ASP,0.13,0.0,5.7
2025,01201190000NB,9.5,9.6,138.4,ASP,0.14,0.0,3.3
2025,01201190000NB,9.6,9.7,99.3,ASP,0.18,0.0,4.0
2025,01201190000NB,9.7,9.8,99.9,ASP,0.17,0.0,25.6
2025,01201190000NB,9.8,9.9,89.6,ASP,0.18,0.0,10.8
2025,01201190000NB,9.9,10.0,99.7,ASP,0.18,0.0,16.4
2025,01201190000NB,10.0,10.1,113.8,ASP,0.25,0.0,1.2
2025,01201190000NB,10.1,10.2,104.2,ASP,0.23,0.0,2.1
2025,01201190000NB,10.2,10.3,128.3,ASP,0.25,0.0,21.9
2025,01201190000NB,10.3,10.4,173.2,ASP,0.2,0.0,11.9
2025,01201190000NB,10.4,10.5,122.6,ASP,0.32,0.0,6.8
2025,01201190000NB,10.5,10.6,117.5,ASP,0.21,0.0,6.3
2025,01201190000NB,10.6,10.7,196.0,ASP,0.17,0.0,2.6
2025,01201190000NB,10.7,10.8,224.3,ASP,0.16,0.0,5.3
2025,01201190000NB,10.8,10.9,131.8,ASP,0.17,0.0,8.8
2025,01201190000NB,10.9,11.0,137.0,ASP,0.22,0.0,12.2
2025,01201190000NB,11.0,11.1,149.1,ASP,0.22,0.0,17.4
2025,01201190000NB,11.1,11.2,170.3,ASP,0.22,0.0,13.2
2025,01201190000NB,11.2,11.3,247.2,ASP,0.19,0.0,12.5
2025,01201190000NB,11.3,11.4,195.5,ASP,0.17,0.0,18.3
2025,01201190000NB,11.4,11.5,227.4,ASP,0.16,0.0,4.4
2025,01201190000NB,11.5,11.6,189.5,ASP,0.28,0.0,16.6
2025,01201190000NB,11.6,11.7,172.3,ASP,0.3,0.0,10.0
2025,01201190000NB,11.7,11.8,153.5,ASP,0.19,0.0,2.5
2025,01201190000NB,11.8,11.9,127.6,ASP,0.23,0.0,9.8
