RouteID,BMP,EMP,base_type_4_ValueNumeric,base_type_5_ValueNumeric,base_type_6_ValueNumeric
21200190000NB,23.4,23.48,5,5.000,5.0
4840056000000,0,1.12,2,,
5240004000000,3.44,3.54,2,,
4840030010000,2.23,2.46,2,,
1740011000000,4.7,5.24,2,2.000,2.0
13200600000EB,16.48,16.5,2,2.000,2.0
13200600000EB,16.5,16.6,2,2.000,2.0
13200600000EB,16.6,16.7,2,2.000,2.0
13200600000EB,16.7,16.8,2,2.000,2.0
13200600000EB,16.8,16.9,2,2.000,2.0
13200600000EB,16.9,17,2,2.000,2.0
13200600000EB,17,17.1,2,2.000,2.0
13200600000EB,17.1,17.2,2,2.000,2.0
13200600000EB,17.2,17.3,2,2.000,2.0
13200600000EB,17.3,17.4,2,2.000,2.0
13200600000EB,17.4,17.43,2,2.000,2.0
13200600000EB,28.53,28.6,2,6.000,5.0
13200600000EB,28.6,28.7,2,6.000,5.0
13200600000EB,28.7,28.8,2,6.000,5.0
13200600000EB,28.8,28.9,2,6.000,5.0
13200600000EB,28.9,29,2,6.000,5.0
13200600000EB,29,29.1,2,6.000,5.0
13200600000EB,29.1,29.2,2,6.000,5.0
13200600000EB,29.2,29.3,2,6.000,5.0
13200600000EB,29.3,29.4,2,6.000,5.0
13200600000EB,29.4,29.5,2,6.000,5.0
13200600000EB,29.5,29.6,2,6.000,5.0
13200600000EB,29.6,29.61,2,6.000,5.0
13200600000EB,35.19,35.2,2,2.000,2.0
13200600000EB,35.2,35.3,2,2.000,2.0
13200600000EB,35.3,35.4,2,2.000,2.0
13200600000EB,35.4,35.5,2,2.000,2.0
13200600000EB,35.5,35.6,2,2.000,2.0
13200600000EB,35.6,35.7,2,2.000,2.0
13200600000EB,35.7,35.8,2,2.000,2.0
13200600000EB,35.8,35.9,2,2.000,2.0
13200600000EB,35.9,36,2,2.000,2.0
13200600000EB,36,36.1,2,2.000,2.0
13200600000EB,36.1,36.2,2,2.000,2.0
13200600000EB,36.2,36.3,2,2.000,2.0
13200600000EB,36.3,36.4,2,2.000,2.0
13200600000EB,36.4,36.5,2,2.000,2.0
13200600000EB,36.5,36.6,2,2.000,2.0
13200600000EB,36.6,36.7,2,2.000,2.0
13200600000EB,36.7,36.8,2,2.000,2.0
13200600000EB,36.8,36.9,2,2.000,2.0
13200600000EB,36.9,37,2,2.000,2.0
13200600000EB,37,37.1,2,2.000,2.0
13200600000EB,37.1,37.2,2,2.000,2.0
13200600000EB,37.2,37.3,2,2.000,2.0
13200600000EB,37.3,37.4,2,2.000,2.0
13200600000EB,37.4,37.5,2,2.000,2.0
13200600000EB,37.5,37.6,2,2.000,2.0
13200600000EB,37.6,37.65,2,2.000,2.0
3630028000000,24.07,24.33,5,5.000,5.0
3630028000000,24.33,25.57,5,5.000,5.0
1130005000000,10.83,12.51,3,3.000,3.0
1130005000000,14.58,14.89,3,3.000,3.0
42202190000NB,0,0.1,5,5.000,5.0
42202190000NB,0.1,0.2,5,5.000,5.0
42202190000NB,0.2,0.3,5,5.000,5.0
42202190000NB,0.3,0.4,5,5.000,5.0
42202190000NB,0.4,0.5,5,5.000,5.0
42202190000NB,0.5,0.6,5,5.000,5.0
42202190000NB,0.6,0.7,5,5.000,5.0
42202190000NB,0.7,0.8,5,5.000,5.0
42202190000NB,0.8,0.9,5,5.000,5.0
42202190000NB,0.9,1,5,5.000,5.0
42202190000NB,1,1.1,5,5.000,5.0
42202190000NB,1.1,1.2,5,5.000,5.0
42202190000NB,1.2,1.3,5,5.000,5.0
42202190000NB,1.3,1.4,5,5.000,5.0
42202190000NB,1.4,1.5,5,5.000,5.0
42202190000NB,1.5,1.6,5,5.000,5.0
42202190000NB,1.6,1.7,5,5.000,5.0
42202190000NB,1.7,1.8,5,5.000,5.0
42202190000NB,1.8,1.9,5,5.000,5.0
42202190000NB,1.9,2,5,5.000,5.0
42202190000NB,2,2.1,5,5.000,5.0
42202190000NB,2.1,2.2,5,5.000,5.0
42202190000NB,2.2,2.3,5,5.000,5.0
42202190000NB,2.3,2.4,5,5.000,5.0
42202190000NB,2.4,2.5,5,5.000,5.0
42202190000NB,2.5,2.6,5,5.000,5.0
42202190000NB,2.6,2.7,5,5.000,5.0
42202190000NB,2.7,2.8,5,5.000,5.0
42202190000NB,2.8,2.9,5,5.000,5.0
42202190000NB,2.9,3,5,5.000,5.0
42202190000NB,3,3.1,5,5.000,5.0
42202190000NB,3.1,3.16,5,5.000,5.0
42202190000NB,3.16,3.2,5,5.000,5.0
42202190000NB,3.2,3.24,5,5.000,5.0
42202190000NB,8.55,8.6,5,5.000,5.0
42202190000NB,8.6,8.7,5,5.000,5.0
42202190000NB,8.7,8.74,5,5.000,5.0
42202190000NB,8.74,8.8,5,5.000,5.0
42202190000NB,8.8,8.9,5,5.000,5.0
42202190000NB,8.9,9,5,5.000,5.0
42202190000NB,9,9.1,5,5.000,5.0
42202190000NB,9.1,9.2,5,5.000,5.0
42202190000NB,9.2,9.3,5,5.000,5.0
