RouteID,BMP,EMP,thickness_rigid_13_ValueNumeric,thickness_rigid_14_ValueNumeric,thickness_rigid_15_ValueNumeric
19203400000NB,10.2,10.3,,10.0,10.0
19203400000NB,10.3,10.4,,10.0,10.0
19203400000NB,10.4,10.41,,10.0,10.0
19203400000NB,10.41,10.5,,10.0,10.0
19203400000NB,10.5,10.6,,10.0,10.0
19203400000NB,10.6,10.7,,10.0,10.0
19203400000NB,10.7,10.8,,10.0,10.0
19203400000NB,10.8,10.9,,10.0,10.0
19203400000NB,10.9,11,,10.0,10.0
19203400000NB,11,11.1,,10.0,10.0
19203400000NB,11.1,11.2,,10.0,10.0
19203400000NB,11.2,11.3,,10.0,10.0
19203400000NB,11.3,11.4,,10.0,10.0
19203400000NB,11.4,11.5,,10.0,10.0
19203400000NB,11.5,11.6,,10.0,10.0
19203400000NB,11.6,11.7,,10.0,10.0
19203400000NB,11.7,11.8,,10.0,10.0
19203400000NB,11.8,11.86,,10.0,10.0
19203400000NB,11.9,12,,10.0,10.0
19203400000NB,12,12.047,,10.0,10.0
19203400000NB,12.047,12.1,,10.0,10.0
19203400000NB,12.1,12.2,,10.0,10.0
19203400000NB,12.2,12.3,,10.0,10.0
19203400000NB,12.3,12.4,,10.0,10.0
19203400000NB,12.4,12.5,,10.0,10.0
19203400000NB,12.5,12.6,,10.0,10.0
19203400000NB,12.6,12.7,,10.0,10.0
19203400000NB,12.7,12.8,,10.0,10.0
19203400000NB,12.8,12.88,,10.0,10.0
19203400000NB,12.88,12.9,,10.0,10.0
19203400000NB,12.9,13,,10.0,10.0
19203400000NB,13,13.1,,10.0,10.0
19203400000NB,13.1,13.2,,10.0,10.0
19203400000NB,13.2,13.26,,10.0,10.0
19203400000NB,13.26,13.3,,10.0,10.0
19203400000NB,13.3,13.4,,10.0,10.0
19203400000NB,13.4,13.5,,10.0,10.0
19203400000NB,13.5,13.6,,10.0,10.0
19203400000NB,13.6,13.7,,10.0,10.0
19203400000NB,13.7,13.8,,10.0,10.0
19203400000NB,13.8,13.82,,10.0,10.0
19203400000NB,14.66,14.7,,10.0,10.0
19203400000NB,14.7,14.8,,10.0,10.0
19203400000NB,14.8,14.86,,10.0,10.0
19203400000NB,14.86,14.9,,10.0,10.0
19203400000NB,14.9,15,,10.0,10.0
19203400000NB,15,15.1,,10.0,10.0
19203400000NB,15.1,15.2,,10.0,10.0
19203400000NB,15.2,15.3,,10.0,10.0
19203400000NB,15.3,15.31,,10.0,10.0
05200220000EB,3.17,3.35,,,12.0
05200220000EB,3.35,3.45,,,12.0
05200220000EB,3.45,4.73,,,12.0
05200220000EB,4.73,5.19,,,12.0
05200220000EB,5.19,5.89,,,12.0
02100810000NB,0,1.39,,,10.0
02100810000NB,1.39,6.27,,,10.0
02100810000NB,11.63,12,,,10.0
02100810000NB,12,13.54,,,10.0
02100810000NB,13.54,14.26,,,10.0
02100810000NB,14.26,15.22,,,10.0
02100810000NB,15.22,15.62,,,10.0
02100810000NB,15.62,15.95,,,10.0
02100810000NB,15.95,16.23,,,10.0
02100810000NB,16.23,17.3,,,10.0
02100810000NB,17.3,18.13,,,10.0
02100810000NB,18.13,20.37,,,10.0
02100810000NB,20.37,23,,,10.0
02100810000NB,23,23.46,,,10.0
02100810000NB,23.46,24.53,,,10.0
02100810000NB,24.53,26,,,10.0
03201190000NB,11.49,12.36,9,,9.0
03201190000NB,12.36,12.83,9,,
03201190000NB,12.83,13.54,10,,10.0
03201190000NB,16.97,17.83,10,,10.0
31200190000NB,8.99,9.16,10,,10.0
07200330000EB,3.68,5.03,5,,
07200330000EB,6.62,8.3,5,,
4730032000000,14.79,16.09,,,7.0
4730032000000,16.09,16.45,,,7.0
41100640000EB,120,120.1,,11.0,11.0
41100640000EB,120.1,120.5,,,11.0
41100640000EB,120.69,120.7,11,11.0,11.0
41100640000EB,120.7,120.8,11,11.0,11.0
41100640000EB,120.8,120.9,11,11.0,11.0
41100640000EB,120.9,121,11,11.0,11.0
41100640000EB,121,121.1,11,11.0,11.0
41100640000EB,121.1,121.2,11,11.0,11.0
41100640000EB,121.2,121.3,11,11.0,11.0
41100640000EB,121.3,121.4,11,11.0,11.0
41100640000EB,121.4,121.5,11,11.0,11.0
41100640000EB,121.5,121.6,11,11.0,11.0
41100640000EB,121.6,121.7,11,11.0,11.0
41100640000EB,121.7,121.8,11,11.0,11.0
41100640000EB,121.8,121.9,11,11.0,11.0
41100640000EB,121.9,122,11,11.0,11.0
41100640000EB,122,122.1,11,11.0,11.0
41100640000EB,122.1,122.2,11,11.0,11.0
41100640000EB,122.2,122.3,11,11.0,11.0
41100640000EB,122.3,122.4,11,11.0,11.0
41100640000EB,122.4,122.5,11,11.0,11.0
41100640000EB,122.5,122.6,11,11.0,11.0
41100640000EB,122.6,122.62,11,11.0,11.0
41100640000EB,122.62,122.71,,,11.0
41100640000EB,122.71,122.8,11,11.0,11.0
41100640000EB,122.8,122.9,11,11.0,11.0
41100640000EB,122.9,123,11,11.0,11.0
41100640000EB,123,123.1,11,11.0,11.0
41100640000EB,123.1,123.18,11,11.0,11.0
41100640000EB,123.18,123.3,,,11.0
41100640000EB,123.63,123.7,11,11.0,11.0
41100640000EB,123.7,123.8,11,11.0,11.0
41100640000EB,123.8,123.9,11,11.0,11.0
41100640000EB,123.9,124,11,11.0,11.0
41100640000EB,124,124.1,11,11.0,11.0
41100640000EB,124.1,124.2,11,11.0,11.0
41100640000EB,124.2,124.3,11,11.0,11.0
41100640000EB,124.3,124.4,11,11.0,11.0
41100640000EB,124.4,124.47,11,11.0,11.0
41100640000EB,124.9,125.65,,,11.0
41100640000EB,125.65,126.6,,,11.0
41100640000EB,126.65,126.7,11,11.0,11.0
41100640000EB,126.7,126.8,11,11.0,11.0
41100640000EB,126.8,126.9,11,11.0,11.0
41100640000EB,126.9,127,11,11.0,11.0
41100640000EB,127,127.1,11,11.0,11.0
41100640000EB,127.1,127.2,11,11.0,11.0
41100640000EB,127.2,127.3,11,11.0,11.0
41100640000EB,127.3,127.4,11,11.0,11.0
41100640000EB,127.4,127.5,11,11.0,11.0
41100640000EB,127.5,127.58,11,11.0,11.0
41100640000EB,128.91,129,11,11.0,11.0
41100640000EB,129,129.1,11,11.0,11.0
41100640000EB,129.1,129.2,11,11.0,11.0
41100640000EB,129.2,129.3,11,11.0,11.0
41100640000EB,129.3,129.4,11,11.0,11.0
41100640000EB,129.4,129.49,11,11.0,11.0
41100640000EB,129.49,129.5,11,11.0,11.0
41100640000EB,129.5,129.6,11,11.0,11.0
41100640000EB,129.6,129.7,11,11.0,11.0
41100640000EB,129.7,129.8,11,11.0,11.0
41100640000EB,129.8,129.9,11,11.0,11.0
41100640000EB,129.9,130,11,11.0,11.0
41100640000EB,130,130.1,11,11.0,11.0
41100640000EB,130.1,130.2,11,11.0,11.0
41100640000EB,130.2,130.3,11,11.0,11.0
41100640000EB,130.3,130.4,11,11.0,11.0
41100640000EB,130.4,130.5,11,11.0,11.0
41100640000EB,130.5,130.6,11,11.0,11.0
41100640000EB,130.6,130.7,11,11.0,11.0
41100640000EB,130.7,130.8,11,11.0,11.0
41100640000EB,130.8,130.9,11,11.0,11.0
41100640000EB,130.9,131,11,11.0,11.0
41100640000EB,131,131.1,11,11.0,11.0
41100640000EB,131.1,131.2,11,11.0,11.0
41100640000EB,131.2,131.3,11,11.0,11.0
41100640000EB,131.3,131.4,11,11.0,11.0
41100640000EB,131.4,131.5,11,11.0,11.0
41100640000EB,131.5,131.6,11,11.0,11.0
41100640000EB,131.6,131.7,11,11.0,11.0
41100640000EB,131.7,131.8,11,11.0,11.0
41100640000EB,131.8,131.9,11,11.0,11.0
41100640000EB,131.9,132,11,11.0,11.0
41100640000EB,132,132.1,11,11.0,11.0
41100640000EB,132.1,132.2,11,11.0,11.0
41100640000EB,132.2,132.3,11,11.0,11.0
41100640000EB,132.3,132.4,11,11.0,11.0
41100640000EB,132.4,132.5,11,11.0,11.0
41100640000EB,132.5,132.53,11,11.0,11.0
41100640000EB,132.84,132.9,11,11.0,11.0
41100640000EB,132.9,133,11,11.0,11.0
41100640000EB,133,133.1,11,11.0,11.0
41100640000EB,133.1,133.2,11,11.0,11.0
