RouteID,BMP,EMP,Sample_ID,LRS_SURFACE_TYPE
52202500000NB,9.2,9.63,522500000920,2.1
52202500000NB,9.63,11.07,522500000963,2.1
4840007020000,0.0,1.01,480070200000,2.2
5430014000100,0.0,0.63,54014A000000,2.1
5430014000100,0.92,1.31,54014A000092,2.1
5430014000100,1.72,1.98,54014A000172,2.1
1540011000000,2.31,2.9,150110000231,2.1
1540011000000,3.985,4.53,150110003985,2.1
1540011000000,5.16,5.35,150110000516,2.1
1540011000000,5.35,5.59,150110000535,2.1
1540011000000,5.59,5.61,150110000559,2.1
1930115000000,0.0,0.22,191150000000,6.0
1930115000000,0.64,1.15,191150000064,6.0
5475770001900,0.43,1.04,540577000043,2.1
4240025000000,1.36,1.73,420250000136,2.1
4240025000000,1.73,2.55,420250001730,2.1
4240025000000,2.55,3.21,420250002550,2.1
41100640017WB,0.0,0.47,41064R000000,3.0
41100640017WB,0.47,0.594,410064R00047,3.0
41100640017WB,0.594,0.82,41064R000059,3.0
4940005090000,0.0,0.28,490050900000,2.1
2040028000000,4.95,5.91,200280000495,2.1
2040028000000,5.91,7.37,200280000591,2.1
3540004000000,1.92,2.19,350040000192,2.1
2640003000000,0.0,1.31,260030000000,2.1
3578281001900,0.21,0.34,350828100021,2.1
4040046000000,2.55,3.42,400460000255,2.1
1040019430000,0.09,0.34,100194300009,2.1
1740009000000,0.05,0.52,170090000005,2.1
2071069001900,0.0,0.22,200106900000,2.1
3140067000000,6.22,7.97,310670000622,2.1
3140067000000,7.97,8.36,310670000797,2.1
3140067000000,8.36,8.55,310670000836,2.1
20100770023NB,0.0,0.462,20077C000000,2.1
20100770023NB,0.535,1.02,20077C000535,2.1
5430095000000,3.77,3.99,540950000377,2.1
5430095000000,4.2,6.12,540950000420,2.1
5430095000000,6.12,6.29,540950000612,2.1
5430095000000,6.44,6.58,540950000644,2.1
04100790000NB,44.6,46.18,040790004460,2.1
04100790000NB,46.18,46.22,040790004460,3.0
04100790000NB,46.22,49.73,040790004622,2.1
04100790000NB,49.73,50.35,040790004973,2.1
04100790000NB,50.35,51.61,040790005035,2.1
04100790000NB,51.61,52.61,040790005161,2.1
04100790000NB,52.61,53.27,040790005261,2.1
04100790000NB,53.27,54.18,040790005327,2.1
04100790000NB,54.18,57.51,040790005418,2.1
04100790000NB,57.51,59.0,040790005751,2.1
04100790000NB,59.0,61.47,040790005900,2.1
04100790000NB,61.47,62.04,040790006147,2.1
04100790000NB,62.04,63.46,040790006204,2.1
04100790000NB,63.46,64.83,040790006346,2.1
04100790000NB,64.83,67.52,040790006483,2.1
04100790000NB,67.52,69.32,040790006752,2.1
04100790000NB,69.32,70.83,040790006932,2.1
04100790000NB,70.83,78.41,040790007083,2.1
04100790000NB,78.41,79.08,040790007841,2.1
04100790000NB,79.08,83.15,040790007908,2.1
3540021000000,0.0,0.65,350210000000,2.1
0673285001900,0.0,0.32,060328500000,2.1
5475767001900,0.0,0.24,540576700000,2.1
5475767001900,0.88,1.08,540576700088,2.1
5475767001900,1.25,1.46,540576700125,2.1
1540005000000,1.86,3.674,150050000185,2.1
49201190000NB,5.38,5.6,491190000538,2.1
0240034000000,2.51,3.42,020340002510,6.0
1140007000000,6.97,8.67,110070000697,2.1
2675256001900,0.42,0.59,260525600042,2.1
20100770000NB,97.22,98.17,200770009722,2.1
20100770000NB,99.12,100.07,200770009912,2.1
20100770000NB,100.07,100.28,200770010007,2.1
20100770000NB,100.884,101.08,200770010088,2.1
20100770000NB,101.65,102.16,200770010165,2.1
20100770000NB,103.69,104.81,200770010369,2.1
20100770000NB,104.81,105.002,200770010481,2.1
20100770000NB,106.17,107.6,200770010617,2.1
20100770000NB,107.6,110.13,200770010760,2.1
20100770000NB,110.13,110.78,200770011013,2.1
20100770000NB,110.78,111.16,200770011078,2.1
20100770000NB,111.16,112.52,200770011116,2.1
20100770000NB,112.52,113.47,200770011252,2.1
20100770000NB,113.47,114.59,200770011347,2.1
20100770000NB,114.59,116.05,200770011459,2.1
20100770000NB,116.05,116.66,200770011605,2.1
20100770000NB,116.66,117.5,200770011666,2.1
2840007050000,0.0,0.324,280007050000,2.1
2840007050000,0.324,0.343,280070500324,2.1
2840007050000,0.343,1.11,280007050343,2.1
2840007050000,1.11,1.83,280070500111,2.1
2840007050000,1.836,2.1,280070501836,2.1
3540007000000,0.0,0.44,350070000000,2.1
2430016000000,0.06,1.73,240160000006,2.1
2430016000000,4.05,6.18,240160000405,2.1
2430016000000,9.47,10.14,240160000947,2.1
2430016000000,13.75,14.05,240160001375,2.1
2430016000000,16.06,19.56,240160001606,2.1
2430016000000,19.56,20.79,240160001956,2.1
2430016000000,20.79,22.05,240160002079,2.1
2430016000000,22.05,23.76,240160002205,2.1
2430016000000,23.76,24.86,240160002376,2.1
2430016000000,29.19,29.41,240160002919,2.1
2430016000000,32.7,35.38,240160003270,2.1
54100770000NB,156.99,158.69,540770015699,2.1
54100770000NB,158.69,160.38,540770015869,2.1
54100770000NB,160.38,161.66,540770016038,2.1
54100770000NB,161.66,162.73,540770016166,2.1
54100770000NB,162.73,168.205,540770016273,2.1
54100770000NB,168.361,168.37,540770016836,2.1
54100770000NB,168.37,172.29,540770016837,2.1
54100770000NB,173.2,173.21,540770017320,2.1
54100770000NB,176.46,176.76,540770017646,2.1
54100770000NB,176.76,177.928,540770017676,2.1
54100770000NB,180.05,180.511,540770018005,2.1
54100770000NB,181.674,185.34,540770018167,2.1
54100770000NB,185.34,185.64,540770018534,2.1
54100770000NB,185.694,186.72,540770018569,2.1
54100770000NB,186.72,187.21,540770018672,2.1
47202190000NB,5.57,7.37,472190000557,2.1
47202190000NB,13.1,17.49,472190001310,2.1
47202190000NB,17.49,18.0,472190001749,2.1
47202190000NB,22.16,23.12,472190002216,6.0
47202190000NB,23.12,25.83,472190002216,2.1
47202190000NB,25.83,26.1,472190002583,2.1
47202190000NB,26.1,27.76,472190002610,2.1
3540013000000,0.0,0.99,350130000000,2.1
5230002000000,4.442,5.29,520020004442,2.1
5230002000000,5.29,5.69,520020000529,2.1
5230002000000,5.69,6.08,520020000569,2.1
5230002000000,6.08,6.5,520020000608,2.1
5230002000000,6.95,7.09,520020000695,2.1
5230002000000,7.29,7.84,520020000729,2.1
5230002000000,8.35,8.6,520020000835,2.1
5230002000000,8.6,9.24,520020000860,2.1
5230002000000,11.11,11.655,520020011110,2.1
5230002000000,11.75,12.12,520020011750,2.1
13200600000EB,16.48,17.43,130600001648,2.1
13200600000EB,28.53,29.61,130600002853,2.1
13200600000EB,35.19,37.49,130600003519,2.1
13200600000EB,37.49,37.65,130600003519,6.0
2040020000000,2.07,2.2,200200002070,2.1
5475780001900,0.0,0.12,540578000000,2.1
2877019001900,0.0,0.13,280701900000,2.1
2877019001900,0.13,0.38,280701900130,2.1
3140064000000,0.0,0.38,310640000000,2.1
3730002000000,3.71,4.75,370020000371,2.1
3730002000000,5.72,6.86,370020000572,6.0
3730002000000,10.51,10.84,370020001051,2.1
3730002000000,14.95,17.49,370020001495,2.1
4970755001900,0.1,0.64,490075500010,2.1
4970755001900,0.64,1.05,490075500064,2.1
4140009000000,5.28,5.54,410090000528,2.1
0673281001900,0.19,0.48,060328100019,2.1
0673281001900,0.6,0.96,060328100060,2.1
3140007210000,0.0,1.11,310072100000,2.1
3540018000000,0.0,0.72,350180000000,2.1
4940001000000,2.28,3.17,490010000228,2.1
2840024000000,0.0,0.3,280240000000,2.1
11200330000EB,0.0,0.59,110330000000,2.1
11200330000EB,1.12,1.39,110330000112,2.1
11200330000EB,1.39,1.96,110330000139,2.1
11200330000EB,2.2,6.44,110330000220,2.1
