BeginDate|StateID|RouteID|BeginPoint|EndPoint|ValueNumeric|DataItem|Comment|ValueText|ValueDate
01/01/2025|54|2030094000000|1.507|6.962|3.0|NHFN|||
01/01/2025|54|20201190023NB|0.7|1.17|3.0|NHFN|||
01/01/2025|54|2030622000000|2.403|3.318|3.0|NHFN|||
01/01/2025|54|20201190000SB|13.927|14.908|3.0|NHFN|||
01/01/2025|54|20201190028EB|0.0|0.088|3.0|NHFN|||
01/01/2025|54|20201190003WB|0.0|0.3|3.0|NHFN|||
01/01/2025|54|20201190003EB|0.0|0.3|3.0|NHFN|||
01/01/2025|54|20201190000NB|15.424|17.03|3.0|NHFN|||
01/01/2025|54|20201190000SB|15.512|17.147|3.0|NHFN|||
01/01/2025|54|2030025000000|2.69|5.75|3.0|NHFN|||
01/01/2025|54|20201190000NB|14.006|14.995|3.0|NHFN|||
01/01/2025|54|2030025000000|0.0|0.59|3.0|NHFN|||
01/01/2025|54|26202500000NB|33.98|39.2|3.0|NHFN|||
01/01/2025|54|3140857000000|4.06|7.25|3.0|NHFN|||
01/01/2025|54|31200190000NB|0.0|0.0|3.0|NHFN|||
01/01/2025|54|31400192400SB|2.92|3.35|3.0|NHFN|||
01/01/2025|54|31200190000NB|11.24|14.74|3.0|NHFN|||
01/01/2025|54|31201190000NB|10.37|13.99|3.0|NHFN|||
01/01/2025|54|31200190000NB|9.22|11.23|3.0|NHFN|||
01/01/2025|54|3140019190000|0.0|1.25|3.0|NHFN|||
01/01/2025|54|3140857000000|0.0|3.47|3.0|NHFN|||
01/01/2025|54|3130007000000|34.94|36.13|3.0|NHFN|||
01/01/2025|54|3530002000000|3.31|8.89|3.0|NHFN|||
01/01/2025|54|3540065000000|0.32|1.09|3.0|NHFN|||
01/01/2025|54|35202500000NB|0.0|1.3|3.0|NHFN|||
01/01/2025|54|4040033000000|0.79|2.3|3.0|NHFN|||
01/01/2025|54|4030817000000|1.59|4.75|3.0|NHFN|||
01/01/2025|54|4030034000000|8.58|16.8|3.0|NHFN|||
01/01/2025|54|4030025000000|0.0|2.19|3.0|NHFN|||
01/01/2025|54|41200190000NB|8.75|12.191|3.0|NHFN|||
01/01/2025|54|41200190000SB|8.75|12.17|3.0|NHFN|||
01/01/2025|54|41200190000SB|16.321|18.927|3.0|NHFN|||
01/01/2025|54|41200190000NB|16.399|18.926|3.0|NHFN|||
01/01/2025|54|41200190024NB|0.0|0.0|3.0|NHFN|||
01/01/2025|54|41200190024NB|0.0|0.0|3.0|NHFN|||
01/01/2025|54|41200190024NB|2.7|4.067|3.0|NHFN|||
01/01/2025|54|41200190024SB|2.7|4.067|3.0|NHFN|||
01/01/2025|54|5040003010000|0.0|1.85|3.0|NHFN|||
01/01/2025|54|50200520000WB|5.43|11.133|3.0|NHFN|||
01/01/2025|54|5430002000000|23.09|29.46|3.0|NHFN|||
01/01/2025|54|54200500000EB|5.2|9.83|3.0|NHFN|||
01/01/2025|54|54200500000WB|5.2|9.83|3.0|NHFN|||
