,RouteID,BeginPoint,EndPoint,ValueNumeric,Comments,ValueDate,StateCode,BeginDate,ValueText,DataItem
192,31200190000NB,15.62,16.49,2,same as 2020,,54,01/01/2022,,BASE_TYPE
193,31200190000NB,16.49,17.021,2,same as 2020,,54,01/01/2022,,BASE_TYPE
194,31201190000NB,7.81,9.82,2,same as 2020,,54,01/01/2022,,BASE_TYPE
195,31201190000NB,11.9,12.06,6,same as 2020,,54,01/01/2022,,BASE_TYPE
196,31201190000NB,13.78,13.8,6,same as 2020,,54,01/01/2022,,BASE_TYPE
197,31201190000NB,13.8,13.99,6,same as 2020,,54,01/01/2022,,BASE_TYPE
198,31201190000NB,13.99,14.1,6,same as 2020,,54,01/01/2022,,BASE_TYPE
199,31201190000NB,14.1,14.22,6,same as 2020,,54,01/01/2022,,BASE_TYPE
200,31201190000NB,14.42,14.62,6,same as 2020,,54,01/01/2022,,BASE_TYPE
201,31201190000NB,14.85,15.15,6,same as 2020,,54,01/01/2022,,BASE_TYPE
202,31201190000NB,15.72,16.0,6,same as 2020,,54,01/01/2022,,BASE_TYPE
203,31201190000NB,16.82,17.35,6,same as 2020,,54,01/01/2022,,BASE_TYPE
204,31201190000NB,17.44,18.2,6,same as 2020,,54,01/01/2022,,BASE_TYPE
205,31201190000NB,18.2,19.66,6,same as 2020,,54,01/01/2022,,BASE_TYPE
206,31201190000NB,19.66,20.0,6,same as 2020,,54,01/01/2022,,BASE_TYPE
207,31201190000NB,20.0,20.47,6,same as 2020,,54,01/01/2022,,BASE_TYPE
208,3130705000000,0.0,0.51,2,same as 2020,,54,01/01/2022,,BASE_TYPE
209,3130705000000,0.68,0.7,2,same as 2020,,54,01/01/2022,,BASE_TYPE
210,3130705000000,0.7,1.23,2,same as 2020,,54,01/01/2022,,BASE_TYPE
211,3130705000000,1.23,1.63,2,same as 2020,,54,01/01/2022,,BASE_TYPE
212,3130705000000,1.63,1.81,2,same as 2020,,54,01/01/2022,,BASE_TYPE
213,3140007210000,0.0,1.11,2,same as 2020,,54,01/01/2022,,BASE_TYPE
214,3140019080000,0.0,0.23,1,same as 2020,,54,01/01/2022,,BASE_TYPE
215,3140019240000,2.77,3.0,1,same as 2020,,54,01/01/2022,,BASE_TYPE
216,3140019240000,3.0,3.08,1,same as 2020,,54,01/01/2022,,BASE_TYPE
217,3140049000000,0.66,1.25,1,same as 2020,,54,01/01/2022,,BASE_TYPE
218,3140057000000,1.21,1.33,2,same as 2020,,54,01/01/2022,,BASE_TYPE
219,3140059000000,0.0,0.33,2,same as 2020,,54,01/01/2022,,BASE_TYPE
220,3140059020000,0.0,0.44,2,same as 2020,,54,01/01/2022,,BASE_TYPE
221,3140060000000,0.0,0.85,1,same as 2020,,54,01/01/2022,,BASE_TYPE
222,3140060000000,0.85,1.75,1,same as 2020,,54,01/01/2022,,BASE_TYPE
223,3140060020000,0.0,0.26,1,same as 2020,,54,01/01/2022,,BASE_TYPE
224,3140061000000,0.0,0.94,2,same as 2020,,54,01/01/2022,,BASE_TYPE
225,3140061010000,0.0,0.37,1,same as 2020,,54,01/01/2022,,BASE_TYPE
226,3140061010000,0.41,0.52,1,same as 2020,,54,01/01/2022,,BASE_TYPE
227,3140064000000,0.0,0.38,2,same as 2020,,54,01/01/2022,,BASE_TYPE
228,3140067000000,6.22,7.97,2,same as 2020,,54,01/01/2022,,BASE_TYPE
229,3140067000000,7.97,8.36,2,same as 2020,,54,01/01/2022,,BASE_TYPE
230,3140067000000,8.36,8.55,2,same as 2020,,54,01/01/2022,,BASE_TYPE
231,3140067010000,0.0,0.65,1,same as 2020,,54,01/01/2022,,BASE_TYPE
232,3140069050000,0.0,1.77,1,same as 2020,,54,01/01/2022,,BASE_TYPE
233,3140069050000,1.77,2.02,1,same as 2020,,54,01/01/2022,,BASE_TYPE
234,3140069050000,2.02,2.1,1,New 2021,,54,01/01/2022,,BASE_TYPE
235,3140069060000,0.0,0.32,2,same as 2020,,54,01/01/2022,,BASE_TYPE
236,3140069060000,0.32,0.38,2,same as 2020,,54,01/01/2022,,BASE_TYPE
237,3140072000000,3.772,3.78,1,same as 2020,,54,01/01/2022,,BASE_TYPE
238,3140073730000,0.0,0.58,2,same as 2020,,54,01/01/2022,,BASE_TYPE
239,3140081000000,7.25,8.03,2,same as 2020,,54,01/01/2022,,BASE_TYPE
240,3140082000000,0.0,1.88,1,same as 2020,,54,01/01/2022,,BASE_TYPE
241,3140857010000,0.0,0.19,2,same as 2020,,54,01/01/2022,,BASE_TYPE
242,39100680000EB,14.66,18.1,2,same as 2020,,54,01/01/2022,,BASE_TYPE
243,39100680000EB,18.1,18.12,2,same as 2020,,54,01/01/2022,,BASE_TYPE
244,39100680000EB,18.12,18.2,2,same as 2020,,54,01/01/2022,,BASE_TYPE
245,39100680000EB,18.2,23.34,2,same as 2020,,54,01/01/2022,,BASE_TYPE
246,39100680000EB,26.75,28.64,2,same as 2020,,54,01/01/2022,,BASE_TYPE
247,39100680000EB,28.64,29.23,2,same as 2020,,54,01/01/2022,,BASE_TYPE
248,39100680000EB,29.23,31.24,2,same as 2020,,54,01/01/2022,,BASE_TYPE
249,39100680000EB,31.24,31.42,2,same as 2020,,54,01/01/2022,,BASE_TYPE
250,39100680000EB,31.42,32.06,2,same as 2020,,54,01/01/2022,,BASE_TYPE
251,39202190000NB,0.0,0.8,3,same as 2020,,54,01/01/2022,,BASE_TYPE
252,39202190000NB,0.8,3.01,3,same as 2020,,54,01/01/2022,,BASE_TYPE
253,39202190000NB,3.01,3.31,3,same as 2020,,54,01/01/2022,,BASE_TYPE
254,39202190000NB,3.31,4.76,3,same as 2020,,54,01/01/2022,,BASE_TYPE
255,3930072000000,18.42,20.44,2,same as 2020,,54,01/01/2022,,BASE_TYPE
