,RouteID,BeginPoint,EndPoint,ValueNumeric,Comments,ValueDate,StateCode,BeginDate,ValueText,DataItem
125,06200600000EB,8.82,9.5,1.5,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
126,06200600000EB,9.56,9.92,1.5,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
127,06200600000EB,9.92,10.27,1.5,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
128,06200600000EB,15.59,17.29,1.5,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
129,06200600001EB,0.0,0.39,1.5,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
130,0630002000000,0.1,0.2,1.5,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
131,0630002000000,0.2,0.21,1.5,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
132,0630002000000,9.98,10.08,1.5,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
133,0630002000000,14.38,16.4,1.5,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
134,0630002000000,16.4,16.5,1.5,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
135,0630002000000,16.5,17.99,1.5,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
136,0630002001300,0.0,0.1,1.5,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
137,0630002001300,0.1,0.17,1.5,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
138,0630002001300,0.17,0.2,1.5,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
139,0630002001300,0.2,0.39,1.5,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
140,0630010000000,15.69,15.82,1.5,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
141,0630010000000,15.82,16.27,1.5,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
142,0630010000000,17.46,18.41,1.5,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
143,0630010000100,1.94,2.56,1.5,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
144,0630101000000,0.16,0.36,1.5,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
145,0630152000000,0.76,0.99,1.0,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
146,0630193000000,0.46,3.55,2.5,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
147,0640001000000,2.1,2.224,1.5,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
148,0640001000000,2.477,2.619,1.5,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
149,0640009000000,1.688,1.803,1.5,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
150,0640013000000,0.02,0.42,1.5,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
151,0640017000000,4.05,4.17,1.5,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
152,0640017000000,4.3,4.41,1.5,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
153,0640017000000,4.47,5.02,1.5,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
154,0640021000000,0.537,0.9,1.5,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
155,0640021000000,0.9,1.51,1.5,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
156,0640021000000,1.51,2.939,1.5,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
157,0640021000000,2.947,2.98,1.5,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
158,0640031000000,0.16,0.5,1.5,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
159,0640031060000,0.0,0.38,1.0,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
160,0640031060000,0.38,0.41,1.0,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
161,0640031060000,0.41,0.48,1.0,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
162,0640035000000,7.83,8.63,1.5,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
163,3530002000000,1.9,2.0,1.5,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
164,3530002000000,2.0,2.13,1.0,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
165,3530002000000,2.36,2.84,1.5,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
166,3530002000000,5.81,7.04,1.5,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
167,3530002000000,7.35,7.57,1.5,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
168,0640039000000,2.08,2.62,1.5,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
169,46201190000NB,6.05,6.54,1.0,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
170,46201190000NB,8.59,9.32,1.5,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
171,0640052030000,0.0,0.22,1.0,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
172,4140001000000,1.95,3.4,1.5,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
173,0640060050000,0.0,0.88,1.5,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
174,1771754001900,0.18,0.47,1.5,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
175,1771754001900,0.47,0.57,1.5,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
176,0640060050000,0.88,1.68,1.5,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
177,0640060050000,1.68,1.97,1.5,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
178,0640060700000,0.0,0.18,1.5,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
179,0640060700000,0.18,0.56,1.5,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
180,0640060700000,0.56,0.76,1.5,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
181,0673272001900,0.35,1.04,1.5,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
182,0673272001900,1.08,1.28,1.5,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
183,0673272001900,1.28,1.44,1.5,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
184,0673274001900,1.46,1.56,1.5,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
185,0673281001900,0.19,0.48,1.5,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
186,0673285001900,0.0,0.32,1.5,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
187,0673287001900,0.0,0.28,1.5,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
188,0673287001900,0.51,0.86,1.5,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
189,0673287001900,1.03,1.14,1.5,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
190,0673288001900,0.78,0.89,1.5,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
191,0673289001900,1.72,2.02,1.5,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
192,0673295001900,0.0,1.08,1.5,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
193,0673317001900,0.0,0.24,1.5,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
194,2230003000000,5.71,6.1,1.5,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
195,2230010000000,17.81,19.07,1.5,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
196,23201190000NB,0.0,0.85,1.0,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
197,23201190000NB,1.44,2.2,1.0,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
198,0240013000000,0.43,1.03,1.0,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
199,0240013000000,1.03,1.5,1.0,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
200,23201190000NB,2.2,2.54,1.0,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
201,23201190000NB,2.54,2.67,1.0,New 2021,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
202,23201190000NB,2.67,3.3,1.0,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
203,23201190000NB,3.3,3.5,1.0,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
204,23201190000NB,3.5,3.59,1.0,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
205,23201190000NB,3.59,5.1,1.5,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
206,23201190000NB,5.1,5.27,1.5,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
207,23201190000NB,11.87,12.283,1.5,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
208,2330010000000,12.79,12.9,1.5,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
209,2330010000000,12.9,12.95,1.5,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
210,2330010000000,14.782,15.25,1.5,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
211,2330010000000,15.25,16.17,1.5,New 2021,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
212,2330010000000,16.77,17.46,1.5,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
213,2330010000000,17.46,17.76,1.5,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
214,2330010000000,17.76,18.21,1.5,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
215,2330010000000,18.76,19.41,1.5,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
216,2330010000000,19.41,20.39,1.5,New 2021,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
217,2330010000000,20.39,22.05,1.5,New 2021,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
218,2330010000000,27.14,28.6,1.5,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
219,2330017000000,0.32,1.1,2.0,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
220,2330044000000,16.02,17.07,2.0,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
221,2330073000000,0.31,1.4,1.0,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
222,2330073000000,1.4,1.5,1.0,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
223,2330073000000,1.5,2.1,1.0,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
224,2330073000000,2.1,2.15,1.0,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
225,2330080000000,0.86,1.57,2.0,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
226,2340005000000,0.45,2.789,1.5,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
227,30200520000EB,9.95,11.65,2.0,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
228,30200520000EB,21.06,21.95,2.0,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
229,30200520000EB,21.97,22.28,2.0,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
230,30200520000EB,26.08,26.53,2.0,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
231,30200520004NB,0.096,0.39,2.0,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
232,30201190000NB,11.73,12.8,1.5,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
233,30201190000NB,12.88,14.28,1.5,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
234,3030080000000,7.05,9.46,2.0,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
235,50100640000EB,0.0,0.1,1.0,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
236,50100640000EB,0.1,0.11,1.0,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
237,50100640000EB,0.11,1.25,1.0,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
238,50100640000EB,1.29,1.66,4.0,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
239,50100640000EB,1.66,2.0,4.0,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
240,50100640000EB,2.0,2.17,4.0,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
241,50100640000EB,2.17,2.3,4.0,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
242,50100640000EB,2.3,2.7,4.0,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
243,50100640000EB,2.7,2.75,4.0,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
244,50100640000EB,2.75,2.8,4.0,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
245,50100640000EB,2.8,4.22,4.0,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
246,50100640000EB,4.22,4.4,4.0,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
247,50100640000EB,4.4,4.5,4.0,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
248,50100640000EB,4.5,5.29,4.0,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
249,50100640000EB,5.29,5.3,4.0,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
250,50100640000EB,5.3,5.4,4.0,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
251,50100640000EB,5.4,5.87,4.0,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
252,50200520000EB,5.8,6.51,1.0,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
253,50200520000EB,29.12,31.4,3.0,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
254,50200600000EB,0.0,0.16,1.0,same as 2020,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
