RouteID,BMP,EMP,year_last_constructed_16_ValueDate,year_last_constructed_17_ValueDate,year_last_constructed_18_ValueDate
13100640000EB,150,150.1,,1968,1968
13100640000EB,150.1,150.2,,1968,1968
13100640000EB,150.2,150.3,,1968,1968
13100640000EB,150.3,150.4,,1968,1968
13100640000EB,150.4,150.5,,1968,1968
13100640000EB,150.5,150.6,,1968,1968
13100640000EB,150.6,150.7,,1968,1968
13100640000EB,150.7,150.8,,1968,1968
13100640000EB,150.8,150.9,,1968,1968
13100640000EB,150.9,151,,1968,1968
13100640000EB,151,151.1,,1968,1968
13100640000EB,151.1,151.2,,1968,1968
13100640000EB,151.2,151.3,,1968,1968
13100640000EB,151.3,151.4,,1968,1968
13100640000EB,151.4,151.5,,1968,1968
13100640000EB,151.5,151.6,,1968,1968
13100640000EB,151.6,151.7,,1968,1968
13100640000EB,151.7,151.8,,1968,1968
13100640000EB,151.8,151.9,,1968,1968
13100640000EB,151.9,152,,1968,1968
13100640000EB,152,152.1,,1968,1968
13100640000EB,152.1,152.2,,1968,1968
13100640000EB,152.2,152.3,,1968,1968
13100640000EB,152.3,152.4,,1968,1968
13100640000EB,152.4,152.5,,1968,1968
13100640000EB,152.5,152.6,,1968,1968
13100640000EB,152.6,152.7,,1968,1968
13100640000EB,152.7,152.8,,1968,1968
13100640000EB,152.8,152.9,,1968,1968
13100640000EB,152.9,153,,1968,1968
13100640000EB,153,153.1,,1968,1968
13100640000EB,153.1,153.2,,1968,1968
13100640000EB,153.2,153.3,,1968,1968
13100640000EB,153.3,153.4,,1968,1968
13100640000EB,153.4,153.5,,1968,1968
13100640000EB,153.5,153.6,,1968,1968
13100640000EB,153.6,153.7,,1968,1968
13100640000EB,153.7,153.8,,1968,1968
13100640000EB,153.8,153.9,,1968,1968
13100640000EB,153.9,154,,1968,1968
13100640000EB,154,154.1,,1968,1968
13100640000EB,154.1,154.2,,1968,1968
13100640000EB,154.2,154.3,,1968,1968
13100640000EB,154.3,154.4,,1968,1968
13100640000EB,154.4,154.5,,1968,1968
13100640000EB,154.5,154.6,,1968,1968
13100640000EB,154.6,154.7,,1968,1968
13100640000EB,154.7,154.8,,1968,1968
13100640000EB,154.8,154.9,,1968,1968
13100640000EB,154.9,155,,1968,1968
13100640000EB,155,155.1,,1968,1968
13100640000EB,155.1,155.2,,1968,1968
13100640000EB,155.2,155.3,,1968,1968
13100640000EB,155.3,155.4,,1968,1968
13100640000EB,155.4,155.5,,1968,1968
13100640000EB,155.5,155.6,,1968,1968
13100640000EB,155.6,155.7,,1968,1968
13100640000EB,155.7,155.8,,1968,1968
13100640000EB,155.8,155.9,,1968,1968
13100640000EB,155.9,156,,1968,1968
13100640000EB,156,156.1,,1968,1968
13100640000EB,156.1,156.18,,1968,1968
13100640000EB,156.18,156.2,,1968,1968
13100640000EB,156.2,156.3,,1968,1968
13100640000EB,156.3,156.4,,1968,1968
13100640000EB,156.4,156.5,,1968,1968
13100640000EB,156.5,156.6,,1968,1968
13100640000EB,156.6,156.7,,1968,1968
13100640000EB,156.7,156.8,,1968,1968
13100640000EB,156.8,156.9,,1968,1968
13100640000EB,156.9,157,,1968,1968
13100640000EB,157,157.1,,1968,1968
13100640000EB,157.1,157.2,,1968,1968
13100640000EB,157.2,157.3,,1968,1968
13100640000EB,157.3,157.4,,1968,1968
13100640000EB,157.4,157.5,,1968,1968
13100640000EB,157.5,157.6,,1968,1968
13100640000EB,157.6,157.7,,1968,1968
13100640000EB,157.7,157.8,,1968,1968
13100640000EB,157.8,157.9,,1968,1968
13100640000EB,157.9,158,,1968,1968
13100640000EB,158,158.1,,1968,1968
13100640000EB,158.1,158.2,,1968,1968
13100640000EB,158.2,158.3,,1968,1968
13100640000EB,158.3,158.4,,1968,1968
13100640000EB,158.4,158.5,,1968,1968
13100640000EB,158.5,158.6,,1968,1968
13100640000EB,158.6,158.7,,1968,1968
13100640000EB,158.7,158.8,,1968,1968
13100640000EB,158.8,158.9,,1968,1968
13100640000EB,158.9,159,,1968,1968
13100640000EB,159,159.1,,1968,1968
13100640000EB,159.1,159.2,,1968,1968
13100640000EB,159.2,159.3,,1968,1968
13100640000EB,159.3,159.4,,1968,1968
13100640000EB,159.4,159.5,,1968,1968
13100640000EB,159.5,159.6,,1968,1968
13100640000EB,159.6,159.7,,1968,1968
13100640000EB,159.7,159.8,,1968,1968
13100640000EB,159.8,159.9,,1968,1968
13100640000EB,159.9,160,,1968,1968
13100640000EB,160,160.1,,1968,1968
13100640000EB,160.1,160.2,,1968,1968
13100640000EB,160.2,160.3,,1968,1968
13100640000EB,160.3,160.4,,1968,1968
13100640000EB,160.4,160.5,,1968,1968
13100640000EB,160.5,160.6,,1968,1968
13100640000EB,160.6,160.7,,1968,1968
