RouteID|BMP|EMP|ValueDate|Comments|StateID|BeginDate|ValueNumeric|ValueText|DataItem
21100790000NB|102.6|102.7|1974||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
21100790000NB|102.7|102.8|1974||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
21100790000NB|102.8|102.9|1974||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
21100790000NB|102.9|103.0|1974||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
21100790000NB|103.0|103.1|1974||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
21100790000NB|103.1|103.2|1974||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
21100790000NB|103.2|103.3|1974||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
21100790000NB|103.3|103.4|1974||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
21100790000NB|103.4|103.5|1974||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
21100790000NB|103.5|103.6|1974||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
21100790000NB|103.6|103.7|1974||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
21100790000NB|103.7|103.8|1974||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
21100790000NB|103.8|103.9|1974||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
21100790000NB|103.9|104.0|1974||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
21100790000NB|104.0|104.1|1974||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
21100790000NB|104.1|104.2|1974||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
21100790000NB|104.2|104.3|1974||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
21100790000NB|104.3|104.4|1974||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
21100790000NB|104.4|104.5|1974||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
21100790000NB|104.5|104.6|1974||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
21100790000NB|104.6|104.7|1974||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
21100790000NB|104.7|104.8|1974||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
21100790000NB|104.8|104.9|1974||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
21100790000NB|104.9|105.0|1974||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
21100790000NB|105.0|105.1|1974||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
21100790000NB|105.1|105.2|1974||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
21100790000NB|105.2|105.3|1974||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
21100790000NB|105.3|105.4|1974||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
21100790000NB|105.4|105.5|1974||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
