RouteID|BMP|EMP|ValueNumeric|Comments|StateID|BeginDate|ValueDate|ValueText|DataItem
17200500000EB|2.3|2.4|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
17200500000EB|2.4|2.5|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
17200500000EB|2.5|2.6|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
17200500000EB|2.6|2.7|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
17200500000EB|2.7|2.8|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
17200500000EB|2.8|2.9|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
17200500000EB|2.9|3.0|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
17200500000EB|3.0|3.1|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
17200500000EB|3.1|3.2|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
17200500000EB|3.2|3.3|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
17200500000EB|3.3|3.37|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
17200500000EB|3.42|3.5|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
17200500000EB|3.5|3.6|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
17200500000EB|3.6|3.7|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
17200500000EB|3.7|3.8|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
17200500000EB|6.11|6.2|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
17200500000EB|6.2|6.3|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
17200500000EB|6.3|6.4|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
17200500000EB|6.4|6.5|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
17200500000EB|6.5|6.6|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
17200500000EB|6.6|6.7|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
17200500000EB|6.7|6.8|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
17200500000EB|6.8|6.9|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
17200500000EB|6.9|7.0|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
17200500000EB|7.0|7.1|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
17200500000EB|7.1|7.16|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
17200500000EB|11.38|11.4|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
17200500000EB|11.4|11.5|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
17200500000EB|11.5|11.6|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
17200500000EB|11.6|11.7|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
17200500000EB|11.7|11.8|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
17200500000EB|11.8|11.9|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
17200500000EB|11.9|12.0|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
17200500000EB|12.0|12.1|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
17200500000EB|12.1|12.2|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
17200500000EB|12.2|12.29|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
17200500000EB|12.29|12.3|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
17200500000EB|12.3|12.4|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
17200500000EB|12.4|12.5|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
17200500000EB|12.5|12.6|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
17200500000EB|12.6|12.7|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
17200500000EB|12.7|12.8|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
17200500000EB|12.8|12.88|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
17200500000EB|13.25|13.3|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
17200500000EB|13.3|13.4|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
17200500000EB|13.4|13.5|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
17200500000EB|13.5|13.56|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
17200500000EB|13.6|13.7|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
17200500000EB|13.7|13.78|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
17200500000EB|13.78|13.8|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
17200500000EB|13.8|13.9|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
17200500000EB|13.9|14.0|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
17200500000EB|14.0|14.03|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
17200500000EB|14.03|14.2|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
17200500000EB|14.2|14.25|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
17200500000EB|14.324|14.6|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
17200500000EB|14.6|14.64|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
17200500000EB|14.96|15.3|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
17200500000EB|15.68|15.7|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
17200500000EB|15.7|16.24|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
17200500000EB|17.7|17.79|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
17200500000EB|17.79|18.0|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
17200500000EB|18.0|18.1|1.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
17200500000EB|18.32|18.45|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
17200500000EB|18.45|18.52|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
17200500000EB|18.52|18.8|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
17200500000EB|18.85|19.21|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
21100790000NB|100.4|100.5|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
21100790000NB|100.5|100.6|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
21100790000NB|100.6|100.7|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
21100790000NB|100.7|100.8|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
21100790000NB|100.8|100.9|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
21100790000NB|100.9|101.0|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
21100790000NB|101.0|101.1|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
21100790000NB|101.1|101.2|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
21100790000NB|101.2|101.3|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
21100790000NB|101.3|101.4|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
21100790000NB|101.4|101.5|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
21100790000NB|101.5|101.6|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
