RouteID,BMP,EMP,29_HPMS_SAMPLE_NO,SURF_TYPE,70_SURFACE_TYPE
2740044060000,0,0.24,,,6
2740044060000,0.24,0.32,,,5
2740044060000,0.32,0.89,,,6
2040114080000,0,0.29,,,5
4140119050000,0,0.15,,,5
17200190024NB,26.17,26.393,,,
4940016030000,0,3.34,,,11
4940016030000,3.34,3.71,,,6
4940016030000,3.71,3.77,,,11
4940016030000,3.77,4.38,,,11
4900700000000,0,0.267,,,
3240007000000,0,9.19,,,11
3400804000000,0,0.18,,,
4200596000000,0,0.12,,,
0200747000000,0,0.181,,,
1200806000000,0,0.189,,,
4000676000000,0,0.069,,,
2001608000000,0,0.066,,,
0500191000000,0,0.818,,,
1601638000000,0,0.049,,,
5240008070000,0,2.21,,,5
5240008070000,2.21,2.38,,,1
2800675000000,0,0.209,,,
2600086000000,0,0.054,,,
3100269002500,0,0.001,,,
0201377000000,0,0.255,,,
4700452000000,0,1.025,,,
2800843000000,0,0.321,,,
3300325000000,0,0.1,,,
5400319000000,0,0.039,,,
2003935000000,0,0.096,,,
3000937000000,0,0.056,,,
5000158000000,0,0.231,,,
2004241000000,0,0.044,,,
1700032000000,0,0.054,,,
4201099000000,0,0.051,,,
3500550002500,0,0.003,,,
5500098000000,0,0.048,,,
1800034000000,0,0.121,,,
2340701870000,0,0.04,,,6
5475791001900,0,0.37,540579100000,,11
5475791001900,0.37,0.526,,,11
5475791001900,0.526,0.676,,,11
5475791001900,0.676,1.52,,,11
1601902000000,0,1.043,,,
0600514000000,0,0.15,,,
20100790026000007,0,0.016,,,
0600097000000,0,0.6,,,
0202273000000,0,0.637,,,
3200192000000,0,0.047,,,
2200677000000,0,0.07,,,
2440052382500001,0,0.001,,,
3640220200000,0,0.15,,,7
1601537000000,0,0.098,,,
1040060880000,0,0.25,,,11
4600446000000,0,0.265,,,
1400867000000,0,0.083,,,
2401162000000,0,0.142,,,
4200920000000,0,0.072,,,
2000657000000,0,0.128,,,
5540010900000,0,0.21,,,11
2530310000000,0,7.16,,,11
2530310000000,7.16,7.808,253100007160,,11
2530310000000,7.808,8.35,,,11
2530310000000,8.35,8.45,253100000835,,11
2530310000000,8.45,9.67,,,11
2530310000000,9.67,10.1,253100000967,,11
2530310000000,10.1,10.22,,,12
5000233000000,0,0.12,,,
06100640026000029,0,0.012,,,
4500017000000,0,0.099,,,
1080958000000,0,0.16,,,5
0400187000000,0,0.297,,,
1700206002500,0,0.002,,,
5200039002500,-0,0.002,,,
2540082030000,0,0.45,,,5
2540082030000,0.45,1.87,,,11
2540082030000,1.87,2.44,,,5
2540082030000,2.44,2.85,,,2
2700084000000,0,0.225,,,
4700502000000,0,0.145,,,
41200190028SB,0,0.112,,,
