RouteID|BMP|EMP|ValueNumeric|Comments|StateID|BeginDate|ValueDate|ValueText|DataItem
41100640000EB|133.3|133.4|11.0||54|01/01/2025|||THICKNESS_RIGID
41100640000EB|133.4|133.5|11.0||54|01/01/2025|||THICKNESS_RIGID
41100640000EB|133.5|133.6|11.0||54|01/01/2025|||THICKNESS_RIGID
41100640000EB|133.6|133.7|11.0||54|01/01/2025|||THICKNESS_RIGID
41100640000EB|133.7|133.8|11.0||54|01/01/2025|||THICKNESS_RIGID
41100640000EB|133.8|133.9|11.0||54|01/01/2025|||THICKNESS_RIGID
41100640000EB|133.9|134.0|11.0||54|01/01/2025|||THICKNESS_RIGID
41100640000EB|134.0|134.1|11.0||54|01/01/2025|||THICKNESS_RIGID
41100640000EB|134.1|134.2|11.0||54|01/01/2025|||THICKNESS_RIGID
41100640000EB|134.2|134.3|11.0||54|01/01/2025|||THICKNESS_RIGID
41100640000EB|134.3|134.4|11.0||54|01/01/2025|||THICKNESS_RIGID
41100640000EB|134.4|134.5|11.0||54|01/01/2025|||THICKNESS_RIGID
41100640000EB|134.5|134.6|11.0||54|01/01/2025|||THICKNESS_RIGID
41100640000EB|134.6|134.7|11.0||54|01/01/2025|||THICKNESS_RIGID
41100640000EB|134.7|134.8|11.0||54|01/01/2025|||THICKNESS_RIGID
41100640000EB|134.8|134.9|11.0||54|01/01/2025|||THICKNESS_RIGID
41100640000EB|134.9|135.0|11.0||54|01/01/2025|||THICKNESS_RIGID
41100640000EB|135.0|135.1|11.0||54|01/01/2025|||THICKNESS_RIGID
41100640000EB|135.1|135.2|11.0||54|01/01/2025|||THICKNESS_RIGID
41100640000EB|135.2|135.3|11.0||54|01/01/2025|||THICKNESS_RIGID
41100640000EB|135.3|135.4|11.0||54|01/01/2025|||THICKNESS_RIGID
41100640000EB|135.4|135.5|11.0||54|01/01/2025|||THICKNESS_RIGID
41100640000EB|135.5|135.6|11.0||54|01/01/2025|||THICKNESS_RIGID
41100640000EB|135.6|135.7|11.0||54|01/01/2025|||THICKNESS_RIGID
41100640000EB|135.7|135.8|11.0||54|01/01/2025|||THICKNESS_RIGID
41100640000EB|135.8|135.9|11.0||54|01/01/2025|||THICKNESS_RIGID
41100640000EB|135.9|136.0|11.0||54|01/01/2025|||THICKNESS_RIGID
41100640000EB|136.0|136.1|11.0||54|01/01/2025|||THICKNESS_RIGID
41100640000EB|136.1|136.2|11.0||54|01/01/2025|||THICKNESS_RIGID
41100640000EB|136.2|136.3|11.0||54|01/01/2025|||THICKNESS_RIGID
41100640000EB|136.3|136.4|11.0||54|01/01/2025|||THICKNESS_RIGID
41100640000EB|136.4|136.5|11.0||54|01/01/2025|||THICKNESS_RIGID
41100640000EB|136.5|136.6|11.0||54|01/01/2025|||THICKNESS_RIGID
41100640000EB|136.6|136.7|11.0||54|01/01/2025|||THICKNESS_RIGID
41100640000EB|136.7|136.8|11.0||54|01/01/2025|||THICKNESS_RIGID
41100640000EB|136.8|136.9|11.0||54|01/01/2025|||THICKNESS_RIGID
41100640000EB|136.9|137.0|11.0||54|01/01/2025|||THICKNESS_RIGID
41100640000EB|137.0|137.1|11.0||54|01/01/2025|||THICKNESS_RIGID
41100640000EB|137.1|137.2|11.0||54|01/01/2025|||THICKNESS_RIGID
41100640000EB|137.2|137.3|11.0||54|01/01/2025|||THICKNESS_RIGID
41100640000EB|137.3|137.4|11.0||54|01/01/2025|||THICKNESS_RIGID
41100640000EB|137.4|137.48|11.0||54|01/01/2025|||THICKNESS_RIGID
41100640000EB|132.0|132.1|11.0||54|01/01/2025|||THICKNESS_RIGID
41100640000EB|132.1|132.2|11.0||54|01/01/2025|||THICKNESS_RIGID
41100640000EB|132.2|132.3|11.0||54|01/01/2025|||THICKNESS_RIGID
41100640000EB|132.3|132.4|11.0||54|01/01/2025|||THICKNESS_RIGID
41100640000EB|132.4|132.5|11.0||54|01/01/2025|||THICKNESS_RIGID
41100640000EB|132.5|132.53|11.0||54|01/01/2025|||THICKNESS_RIGID
41100640000EB|125.65|126.6|11.0||54|01/01/2025|||THICKNESS_RIGID
41100640000EB|124.9|125.65|11.0||54|01/01/2025|||THICKNESS_RIGID
41100640000EB|122.62|122.71|11.0||54|01/01/2025|||THICKNESS_RIGID
41100640000EB|122.71|122.8|11.0||54|01/01/2025|||THICKNESS_RIGID
41100640000EB|122.8|122.9|11.0||54|01/01/2025|||THICKNESS_RIGID
41100640000EB|122.9|123.0|11.0||54|01/01/2025|||THICKNESS_RIGID
41100640000EB|123.0|123.1|11.0||54|01/01/2025|||THICKNESS_RIGID
41100640000EB|123.1|123.18|11.0||54|01/01/2025|||THICKNESS_RIGID
41100640000EB|123.18|123.222|11.0||54|01/01/2025|||THICKNESS_RIGID
41100640000EB|120.1|120.5|11.0||54|01/01/2025|||THICKNESS_RIGID
41100640000EB|129.49|129.5|11.0||54|01/01/2025|||THICKNESS_RIGID
41100640000EB|129.5|129.6|11.0||54|01/01/2025|||THICKNESS_RIGID
41100640000EB|129.6|129.7|11.0||54|01/01/2025|||THICKNESS_RIGID
41100640000EB|129.7|129.8|11.0||54|01/01/2025|||THICKNESS_RIGID
41100640000EB|129.8|129.9|11.0||54|01/01/2025|||THICKNESS_RIGID
41100640000EB|129.9|130.0|11.0||54|01/01/2025|||THICKNESS_RIGID
41100640000EB|130.0|130.1|11.0||54|01/01/2025|||THICKNESS_RIGID
41100640000EB|130.1|130.2|11.0||54|01/01/2025|||THICKNESS_RIGID
41100640000EB|130.2|130.3|11.0||54|01/01/2025|||THICKNESS_RIGID
41100640000EB|130.3|130.4|11.0||54|01/01/2025|||THICKNESS_RIGID
41100640000EB|130.4|130.5|11.0||54|01/01/2025|||THICKNESS_RIGID
41100640000EB|130.5|130.6|11.0||54|01/01/2025|||THICKNESS_RIGID
