35_NAT_FUNCTIONAL_CLASS,36_NHS,RouteID,BMP,EMP,F_SYSTEM,label
11,1.0,02100810000SB,0.0,26.0,1,I 81
2,1.0,23300100000SB,7.42,12.95,3,WV 10
12,1.0,15200220000EB,0.0,0.39,2,US 22
14,1.0,06200600001WB,0.0,0.49,3,US 60
11,1.0,35104700000WB,0.0,3.94,1,I 470
2,1.0,4130054000000,0.0,10.133,3,WV 54
14,1.0,4130054000000,10.133,10.33,3,WV 54
2,1.0,24200520000WB,0.0,42.24,3,US 52
2,1.0,16300550000WB,11.09,12.035,3,WV 55
2,1.0,24300160005SB,0.0,0.16,3,WV 16
14,1.0,4130003000000,35.98,36.23,3,WV 3
14,1.0,0630152000000,1.14,1.44,3,WV 152
14,1.0,4130041000000,1.69,2.19,3,WV 41
2,1.0,01200330000WB,0.0,4.43,3,US 33
14,1.0,13202190005SB,0.0,1.64,3,US 219
2,1.0,26300020000SB,13.46,17.927,3,WV 2
14,1.0,26300020000SB,17.927,18.55,3,WV 2
12,1.0,35202500010SB,0.0,0.64,2,US 250
14,1.0,54300950000WB,4.392,6.471,3,WV 95
1,1.0,45100640000EB,138.01,147.6,1,I 64
1,1.0,54100770000NB,156.99,168.205,1,I 77
11,1.0,54100770000NB,168.205,177.928,1,I 77
1,1.0,54100770000NB,177.928,181.674,1,I 77
11,1.0,54100770000NB,181.674,187.21,1,I 77
2,1.0,30200520000WB,0.0,20.31,3,US 52
2,1.0,30200520000WB,20.59,44.74,3,US 52
2,1.0,30200520000WB,45.17,58.82,3,US 52
1,1.0,08100790000SB,36.0,44.6,1,I 79
14,1.0,02300090000WB,10.37,11.39,3,WV 9
14,1.0,02300090000WB,12.322,12.45,3,WV 9
14,1.0,02300090000WB,14.98,20.18,3,WV 9
14,1.0,20300250003SB,0.37,0.45,3,WV 25
11,1.0,41100640000WB,120.1,128.488,1,I 64
1,1.0,41100640000WB,128.488,138.01,1,I 64
2,1.0,39202190000SB,0.0,4.76,3,US 219
2,1.0,5530010000000,23.39,24.49,3,WV 10
1,1.0,13100640000WB,147.6,168.978,1,I 64
11,1.0,13100640000WB,168.978,170.245,1,I 64
1,1.0,13100640000WB,170.245,184.02,1,I 64
14,1.0,2830598000000,0.0,2.13,3,WV 598
14,1.0,2830598000000,2.4,2.98,3,WV 598
2,1.0,2930093000000,0.0,3.68,3,WV 93
12,1.0,3130043000000,0.0,3.582,2,WV 43
4,1.0,3130043000000,3.582,4.03,2,WV 43
12,1.0,06200520004NB,0.0,0.32,2,US 52
12,1.0,06200520004NB,0.321,0.46,2,US 52
14,1.0,40200350000NB,0.0,2.532,3,US 35
2,1.0,40200350000NB,2.532,16.75,3,US 35
2,1.0,4730032000000,14.79,16.92,3,WV 32
14,1.0,2030025000300,0.0,0.45,3,WV 25
14,1.0,06200600000WB,0.0,0.86,3,US 60
14,3.0,06200600000WB,6.02,9.56,3,US 60
11,1.0,25100790000NB,129.22,140.352,1,I 79
1,1.0,25100790000NB,140.352,142.37,1,I 79
14,7.0,0274273001900,0.0,0.11,3,FANS 4273
2,1.0,4830002000000,0.0,13.93,3,WV 2
2,1.0,23201190000SB,0.0,1.429,3,US 119
14,1.0,23201190000SB,1.429,5.887,3,US 119
2,1.0,23201190000SB,5.887,12.263,3,US 119
14,1.0,23201190000SB,12.263,16.563,3,US 119
2,1.0,23201190000SB,16.563,18.42,3,US 119
14,1.0,15200300000WB,0.0,0.61,3,US 30
14,1.0,10200190000NB,0.0,15.627,3,US 19
2,1.0,10200190000NB,15.627,26.29,3,US 19
14,4.0,20201190003WB,0.0,0.3,3,US 119
2,1.0,04200190000NB,0.0,6.95,3,US 19
14,1.0,35200400007WB,0.0,0.28,3,US 40
11,1.0,35104700000EB,0.0,3.94,1,I 470
14,1.0,2630002000300,0.0,0.43,3,WV 2
14,1.0,20300250000WB,2.46,2.68,3,WV 25
14,1.0,20300250000WB,5.11,5.9,3,WV 25
14,1.0,20300250000WB,10.44,12.63,3,WV 25
14,1.0,1530002000000,0.0,4.69,3,WV 2
2,1.0,1530002000000,4.69,16.416,3,WV 2
14,1.0,1530002000000,16.416,21.37,3,WV 2
1,1.0,18100770000SB,117.5,156.99,1,I 77
12,1.0,15200220000WB,0.0,0.39,2,US 22
2,1.0,47300320005SB,0.0,0.32,3,WV 32
14,4.0,20201190003EB,0.0,0.3,3,US 119
14,1.0,54200500000EB,0.0,12.961,3,US 50
2,1.0,54200500000EB,12.961,24.13,3,US 50
2,1.0,2730002000000,0.0,20.042,3,WV 2
14,1.0,2730002000000,20.042,20.42,3,WV 2
14,1.0,2730002000000,20.42,20.54,3,WV 2
14,1.0,2730002000000,20.54,22.2,3,WV 2
2,1.0,2730002000000,22.2,36.98,3,WV 2
14,2.0,5040003020000,0.0,1.25,3,CO 3/2
11,1.0,41100770004NB,0.0,0.43,1,I 77
14,1.0,41200190000SB,22.07,24.09,3,US 19
14,1.0,3140019240000,2.69,3.42,3,CO 19/24
14,1.0,0630527000000,0.0,0.6,3,WV 527
14,1.0,0630527000000,0.89,3.22,3,WV 527
2,1.0,4730093000000,0.0,11.7,3,WV 93
2,1.0,16200480000WB,0.0,31.51,3,US 48
1,1.0,31100790000SB,142.37,148.015,1,I 79
11,1.0,31100790000SB,148.015,156.97,1,I 79
1,1.0,31100790000SB,156.97,160.52,1,I 79
1,1.0,39100680000WB,14.66,32.06,1,I 68
14,1.0,35200400000WB,2.83,3.44,3,US 40
2,1.0,47202190000NB,0.0,27.76,3,US 219
14,1.0,31408570000SB,6.218,7.39,3,CO 857
14,1.0,54300140000SB,14.95,19.61,3,WV 14
14,1.0,06301930000SB,0.18,3.55,3,WV 193
14,3.0,0630002000000,0.0,5.76,3,WV 2
14,1.0,0630002000000,5.76,9.344,3,WV 2
2,1.0,0630002000000,9.344,17.99,3,WV 2
14,2.0,5040003010000,0.09,0.68,3,CO 3/1
14,1.0,06305270004NB,0.0,0.45,3,WV 527
11,1.0,40100640000EB,31.77,41.546,1,I 64
1,1.0,40100640000EB,41.546,42.783,1,I 64
11,1.0,40100640000EB,42.783,45.39,1,I 64
2,1.0,17200500000WB,0.0,6.092,3,US 50
14,1.0,17200500000WB,6.092,18.32,3,US 50
14,1.0,20710540019WB,0.0,3.71,3,FANS 1054
14,1.0,52300070007WB,0.0,0.33,3,WV 7
2,1.0,18200330000WB,0.0,0.12,3,US 33
2,1.0,18200330000WB,0.121,3.32,3,US 33
14,1.0,35200400000EB,0.84,0.92,3,US 40
14,1.0,35200400000EB,0.98,1.35,3,US 40
14,1.0,35200400000EB,2.83,3.44,3,US 40
2,1.0,01200330000EB,0.0,4.43,3,US 33
2,1.0,39202190000NB,0.0,4.76,3,US 219
2,1.0,34200190000NB,0.0,31.85,3,US 19
14,1.0,2040060620000,0.0,0.61,3,CO 60/62
11,1.0,31100680000EB,0.0,13.149,1,I 68
1,1.0,31100680000EB,13.149,14.66,1,I 68
14,1.0,41200190000NB,21.61,24.09,3,US 19
11,1.0,20100640006EB,0.0,0.3,1,I 64
2,1.0,38202190000SB,0.0,42.28,3,US 219
14,1.0,0530002000300,0.0,0.35,3,WV 2
2,1.0,18200330000EB,0.0,0.12,3,US 33
2,1.0,18200330000EB,0.121,3.32,3,US 33
14,1.0,31201190000SB,10.15,13.99,3,US 119
14,1.0,31201190000SB,16.0,20.473,3,US 119
2,1.0,31201190000SB,20.473,22.61,3,US 119
1,1.0,10100770016NB,52.58,67.21,1,I 77
11,1.0,20100770023SB,0.0,1.31,1,I 77
14,1.0,0630193000000,0.18,3.55,3,WV 193
2,1.0,18300020000SB,10.86,11.28,3,WV 2
