,RouteId,BeginPoint,EndPoint,BaseTypeVn,SampleId,SurfaceTypeVn
1741,2030114000000,1.2635,1.3,,201140000050,6
1742,2030114000000,1.4,1.44,,201140000050,6
1743,2040060630000,0.1488,0.2,,200606300006,3
1744,20201190023NB,0.3,0.357,,200119C00000,6
1745,20201190023NB,0.4032,0.437,,200119C00000,6
1746,20201190023NB,0.437,0.5,,200119C00000,6
1747,2040114010000,0.81,0.9,,201140100000,6
1748,2040114010000,0.9,1.0,,201140100000,6
1749,2040114010000,1.0,1.07,,201140100000,6
1750,2040114010000,0.0596,0.089,,201140100000,6
1751,20201190023NB,0.3856,0.3985,,200119C00000,6
1752,20200600000EB,16.4502,16.48,,200600001607,6
1753,20200600000EB,16.4208,16.4502,,200600001607,6
1754,2030114000000,0.955,0.989,,201140000050,6
1755,20200600000EB,15.8439,15.8624,,200600001484,6
1756,20200600000EB,15.7439,15.7684,,200600001484,6
1757,20200600000EB,16.2526,16.2756,,200600001607,6
1758,20200600000EB,18.64,18.6731,,200600001864,6
1759,2030114000000,1.3207,1.3391,,201140000050,6
1760,20200600000EB,15.9708,15.9943,,200600001484,6
1761,2040060630000,0.334,0.354,,200606300006,3
1762,20100770005SB,0.1,0.1165,,20077S000000,6
1763,20200600000EB,19.1729,19.2,,200600001864,6
1764,20200600000EB,19.4,19.4224,,200600001864,6
1765,2030061000000,23.8857,23.9,,200610002375,6
1766,2030061000000,24.0826,24.1,,200610002375,6
1767,20100770005SB,0.282,0.3,,20077S000000,3
1768,20100770023NB,0.4687,0.5,,20077C000000,6
1769,20200600000EB,15.8624,15.9,,200600001484,6
1770,20200600000EB,16.07,16.1,,200600001607,6
1771,20200600000EB,16.1,16.1275,,200600001607,6
1772,20200600000EB,16.1787,16.2,,200600001607,6
1773,20200600000EB,18.6731,18.7,,200600001864,6
1774,20200600000EB,18.8712,18.9,,200600001864,6
1775,20200600000EB,19.97,20.0,,200600001864,6
1776,2030114000000,0.6,0.642,,201140000050,6
1777,2040060630000,0.1,0.1192,,200606300006,3
1778,2040060630000,0.3,0.3333,,200606300006,3
1779,2030061000000,24.5772,24.6,,200610002375,6
1780,2030114000000,1.3,1.3207,,201140000050,6
1781,2030114000000,1.3813,1.4,,201140000050,6
1782,20100770023NB,1.0,1.02,,20077C000000,6
1783,20201190023NB,0.357,0.3856,,200119C00000,6
1784,2040060630000,0.066,0.1,,200606300006,3
1785,2040114010000,0.115,0.13,,201140100000,6
1786,2030061000000,23.9,23.93,,200610002375,6
1787,2040060630000,0.1369,0.1488,,200606300006,3
1788,20100770005SB,0.0,0.0146,,20077S000000,6
1789,20200600000EB,18.8647,18.8712,,200600001864,6
1790,2030114000000,0.5,0.5212,,201140000050,6
1791,20100770005SB,0.1165,0.123,,20077S000000,6
1792,20100770005SB,0.39,0.4,,20077S000000,3
1793,20100770005SB,0.5856,0.6,,20077S000000,6
1794,2030061000000,24.8907,24.9,,200610002375,6
1795,20200600000EB,15.8,15.8166,,200600001484,6
1796,20200600000EB,16.2,16.2149,,200600001607,6
1797,20200600000EB,16.2756,16.3,,200600001607,6
1798,20200600000EB,16.4,16.4208,,200600001607,6
1799,20200600000EB,18.7,18.7145,,200600001864,6
1800,20200600000EB,18.783,18.8,,200600001864,6
1801,2030061000000,25.3,25.3194,,200610002375,6
1802,2030061000000,25.5877,25.6,,200610002375,6
1803,2030114000000,0.8,0.82,,201140000050,6
1804,2030114000000,0.989,1.0,,201140000050,6
1805,2040114010000,0.0894,0.1,,201140100000,6
1806,20201190023NB,0.5,0.51,,200119C00000,6
1807,2030061000000,25.0923,25.1,,200610002375,6
1808,2040114010000,0.8,0.81,,201140100000,6
1809,2040060630000,0.06,0.066,,200606300006,3
1810,2040114010000,0.1,0.115,,201140100000,6
1811,2030061000000,23.93,23.936,,200610002375,6
1812,2030061000000,25.1,25.113,,200610002375,6
