,RouteId,BeginPoint,EndPoint,SurfaceTypeVn,FacilityTypeVn,FsystemVn,NhsVn,DirThroughLanesVn,IriVn,PsrVn,SampleId
727,2040025260000,0.4696,0.4965,,2,5,,,,,200252600040
728,2040160070000,0.0706,0.0947,,2,5,,,,,201600700000
729,2040160070000,0.0947,0.1185,,2,5,,,,,201600700000
730,2040025260000,0.5505,0.5775,,2,5,,,,,200252600040
731,2040006010000,1.28,1.3152,,2,5,,,,,200060100046
732,2040025260000,0.5235,0.5505,,2,5,,,,,200252600040
733,2040160070000,0.3567,0.3814,,2,5,,,,,201600700027
734,2040025260000,0.4335,0.4696,,2,5,,,,,200252600040
735,2040025260000,0.6077,0.6347,,2,5,,,,,200252600040
736,2040025260000,0.5775,0.5982,,2,5,,,,,200252600040
737,2040160070000,0.0231,0.0466,,2,5,,,,,201600700000
738,2040160070000,0.0466,0.0706,,2,5,,,,,201600700000
739,2040160070000,0.1998,0.2293,,2,5,,,,,201600700000
740,2040160070000,0.3059,0.3313,,2,5,,,,,201600700027
741,2040160070000,0.3313,0.3567,,2,5,,,,,201600700027
742,2040025260000,0.5014,0.5235,,2,5,,,,,200252600040
743,2040025260000,0.6347,0.6616,,2,5,,,,,200252600040
744,2040025260000,0.6709,0.71,,2,5,,,,,200252600040
745,2040160070000,0.2293,0.2536,,2,5,,,,,201600700000
746,2040012000000,4.55,4.57,,2,4,,,,,200120000457
747,2040160070000,0.2536,0.27,,2,5,,,,,201600700000
748,2040025260000,0.294,0.31,,2,5,,,,,200252600000
749,2040025260000,0.4,0.4335,,2,5,,,,,200252600040
750,2040006010000,1.6593,1.6747,,2,5,,,,,200060100046
751,2040025260000,0.6616,0.6709,,2,5,,,,,200252600040
752,2040160070000,0.27,0.2822,,2,5,,,,,201600700027
753,2040012000000,0.156,0.164,,2,4,,,,,200120000000
754,2040012000000,0.397,0.407,,2,4,,,,,200120000000
755,2040025260000,0.5982,0.6077,,2,5,,,,,200252600040
756,2040025260000,0.4965,0.5014,,2,5,,,,,200252600040
757,2040012000000,3.95,3.96,,2,4,,,,,200120000360
758,2040008000000,2.72,2.726,,2,5,,,,,200080000272
759,2040008000000,2.726,2.736,,2,5,,,,,200080000272
760,2040012000000,1.942,1.95,,2,4,,,,,200120000000
761,2040012000000,1.95,1.9515,,2,4,,,,,200120000000
762,2040012000000,2.5498,2.55,,2,4,,,,,200120000000
