,RouteId,BeginPoint,EndPoint,NhsVn,FacilityTypeVn,FsystemVn
230,20100640017EB0054B,0.0,0.0612,,4,1
231,20100640017EB0056A,0.1924,0.248,,4,1
232,20100640017EB0056E,0.0,0.036,,4,1
233,20100640017WB0053G,0.0,0.05,,4,1
234,20100640017WB0055C,0.0,0.0573,,4,1
235,20100640017EB0054A,0.0,0.0806,,4,1
236,20100640017WB0056D,0.2877,0.334,,4,1
237,20100640017WB058AC,0.1162,0.1554,,4,1
238,20100640017EB0054A,0.4374,0.471,,4,1
239,20100640017WB0053H,0.0,0.02,,4,1
240,20100640017WB0054C,0.4896,0.523,,4,1
241,20100640017WB0054G,0.0,0.021,,4,1
242,20100640017WB0056D,0.0,0.0417,,4,1
243,20100640017WB0056H,0.0,0.021,,4,1
244,20100640017WB0054D,0.3439,0.366,,4,1
245,20100640017EB0055B,0.3614,0.392,,4,1
246,20100640017EB0056A,0.0,0.0265,,4,1
247,20100640017WB058AC,0.1036,0.1162,,4,1
248,20100640017EB0053E,0.0,0.03,,4,1
249,20100640017EB0054A,0.285,0.3035,,4,1
250,20100640017WB0054D,0.137,0.181,,4,1
251,20100640017EB0054E,0.0,0.024,,4,1
252,20100640017WB0053D,0.0,0.0184,,4,1
253,20100640017EB0054A,0.1262,0.1358,,4,1
254,20100640017WB0054D,0.3331,0.3439,,4,1
255,20100640017WB058AC,0.1554,0.1722,,4,1
256,20100640017EB0056A,0.0265,0.034,,4,1
257,20100640017WB0053C,0.5391,0.553,,4,1
258,20100640017WB058AC,0.183,0.1964,,4,1
259,20100640017EB0054A,0.3035,0.313,,4,1
260,20100640017WB058AC,0.1722,0.1822,,4,1
261,20100640017WB058AC,0.1822,0.183,,4,1
262,20100640017EB058CB,0.0,0.224,,4,1
263,20100770017SB0099C,0.0,0.2628,,4,1
264,20100770017SB0099D,0.0527,0.379,,4,1
265,20100790017NB0001B,0.0,0.342,,4,1
266,20100790017SB0001C,0.0,0.459,,4,1
267,20100770017NB0100A,0.0,0.284,,4,1
268,20100640017WB058CC,0.0,0.143,,4,1
269,20100770017NB0099A,0.0,0.2314,,4,1
270,20100770017NB0099B,0.1068,0.335,,4,1
271,20100790017NB0001A,0.0,0.2546,,4,1
272,20100790017SB0001D,0.0,0.314,,4,1
273,20100770017NB0100B,0.3726,0.5341,,4,1
274,20100770017SB0102D,0.0,0.1828,,4,1
275,20100770017NB0102A,0.1242,0.262,,4,1
276,20100770017NB0102B,0.0,0.2165,,4,1
277,20100770017NB0102B,0.2165,0.379,,4,1
278,20100770017SB0102C,0.0787,0.277,,4,1
279,20100770017SB0100D,0.101,0.312,,4,1
280,20100640017EB058BA,0.145,0.225,,4,1
281,20100770017NB0099B,0.0,0.1068,,4,1
282,20100770017NB0099F,0.0,0.061,,4,1
283,20100770017SB0001C,0.0,0.0686,,4,1
284,20100770017NB0101B,0.1248,0.225,,4,1
285,20100770017NB0100A,0.3987,0.4941,,4,1
286,20100770017SB0102D,0.1828,0.273,,4,1
287,20100770017NB0102A,0.0,0.1242,,4,1
288,20100640017WB058CD,0.1774,0.2344,,4,1
289,20100770017SB0102C,0.0,0.0787,,4,1
290,20100770017NB0100A,0.5423,0.677,,4,1
291,20100770017NB0100B,0.1036,0.2092,,4,1
292,20100640017WB058AC,0.037,0.1036,,4,1
293,20100640017EB058CA,0.184,0.3036,,4,1
