,RouteId,BeginPoint,EndPoint,YearLastImprovementVd,SampleId,SurfaceTypeVn,YearLastConstructionVd
10535,31100790000NB,160.1575,160.2,,310790015700,6.0,1/1/2019 12:00:00 AM
10536,31200190000NB,13.74,13.8,,310190001374,6.0,1/1/1978 12:00:00 AM
10537,31200190000NB,14.7,14.7379,,310190001444,6.0,1/1/1972 12:00:00 AM
10538,31200190000NB,16.4,16.431,,310190001562,6.0,1/1/1972 12:00:00 AM
10539,31100790000NB,155.9,155.936,,310790015292,6.0,
10540,31100790000NB,155.936,155.9849,,310790015292,6.0,
10541,31100790000NB,158.252,158.3,,310790015700,6.0,1/1/2019 12:00:00 AM
10542,31100790000NB,159.9,159.964,,310790015700,6.0,1/1/2019 12:00:00 AM
10543,31100790000NB,160.026,160.1,,310790015700,6.0,1/1/2019 12:00:00 AM
10544,31100790000NB,154.855,154.9,,310790015292,6.0,
10545,31100790000NB,153.8,153.84,,310790015292,6.0,
10546,31100790000NB,153.844,153.9,,310790015292,6.0,
10547,3130100000000,1.02,1.06,,311000000097,,1/1/1987 12:00:00 AM
10548,3130100000000,1.0945,1.1285,,311000000097,,1/1/1987 12:00:00 AM
10549,3130100000000,1.1285,1.1621,,311000000097,,1/1/1987 12:00:00 AM
10550,3130100000000,1.1621,1.1956,,311000000097,,1/1/1987 12:00:00 AM
10551,3130100000000,1.4692,1.5124,,311000000134,,1/1/1987 12:00:00 AM
10552,3130100000000,0.7422,0.7761,,311000000000,,1/1/1987 12:00:00 AM
10553,3130100000000,1.2346,1.2719,,311000000097,,1/1/1987 12:00:00 AM
10554,31200190000NB,16.431,16.47,,310190001562,6.0,1/1/1972 12:00:00 AM
10555,3130100000000,1.2719,1.3009,,311000000097,,1/1/1987 12:00:00 AM
10556,3130100000000,1.3009,1.3354,,311000000097,,1/1/1987 12:00:00 AM
10557,3130007000000,27.01,27.03,,310070002601,6.0,1/1/1982 12:00:00 AM
10558,31200190000NB,16.47,16.49,,310190001562,6.0,1/1/1972 12:00:00 AM
10559,31200190000NB,14.9579,14.98,,310190001480,6.0,1/1/1972 12:00:00 AM
10560,3140019240000,2.8672,2.9,,310192400277,3.0,
10561,31100790000NB,153.6,153.6301,,310790015292,6.0,
10562,31100790000NB,154.5,154.5349,,310790015292,6.0,
10563,31100790000NB,155.0741,155.1,,310790015292,6.0,
10564,31100790000NB,157.6704,157.7,,310790015700,6.0,1/1/2019 12:00:00 AM
10565,31100790000NB,158.9,158.9205,,310790015700,6.0,1/1/2019 12:00:00 AM
10566,31200190000NB,17.0,17.021,,310190001649,6.0,1/1/1972 12:00:00 AM
10567,3130007000000,26.7,26.72,,310070002601,6.0,1/1/1982 12:00:00 AM
10568,3130007000000,26.97,27.0,,310070002601,6.0,1/1/1982 12:00:00 AM
10569,31100790000NB,158.2292,158.252,,310790015700,6.0,1/1/2019 12:00:00 AM
10570,31100790000NB,159.964,159.9896,,310790015700,6.0,1/1/2019 12:00:00 AM
10571,31100790000NB,160.0,160.026,,310790015700,6.0,1/1/2019 12:00:00 AM
10572,3130100000000,0.986,1.0072,,311000000097,,1/1/1987 12:00:00 AM
10573,31100790000NB,154.8,154.819,,310790015292,6.0,
10574,31200190000NB,15.906,15.9277,,310190001562,6.0,1/1/1972 12:00:00 AM
10575,31100790000NB,154.8315,154.8385,,310790015292,6.0,
10576,3140019240000,2.8551,2.8672,,310192400277,3.0,
