,RouteId,BeginPoint,EndPoint,IriVn,SurfaceTypeVn,FacilityTypeVn,FsystemVn,NhsVn,UrbanIdVn,SampleId,DirThroughLanesVn,PsrVn
63,1630055000000,36.0538,36.09,,6,2,3,1,99999,160550003557.0,,
64,1630055000000,35.55,35.57,,6,2,3,1,99999,,,
65,1630055000000,34.7824,34.8,,6,2,3,1,99999,,,
66,1630055000000,35.6,35.627,,6,2,3,1,99999,160550003557.0,,
67,1630055000000,35.6721,35.7,,6,2,3,1,99999,160550003557.0,,
68,1630055000000,36.8669,36.9,,6,2,3,1,99999,,,
69,1630055000000,35.0,35.018,,6,2,3,1,99999,,,
70,1630055000000,36.616,36.646,,6,2,3,1,99999,,,
71,1630055000000,35.3341,35.34,,6,2,3,1,99999,,,
72,1630055000000,35.5,35.5182,,6,2,3,1,99999,,,
73,1630055000000,35.79,35.8,,6,2,3,1,99999,160550003557.0,,
74,1630055000000,36.7876,36.8,,6,2,3,1,99999,,,
75,1630055000000,36.6,36.616,,6,2,3,1,99999,,,
76,1630055000000,36.646,36.66,,6,2,3,1,99999,,,
77,1630055000000,35.9,35.9057,,6,2,3,1,99999,160550003557.0,,
78,1630055000000,36.09,36.1,,6,2,3,1,99999,160550003557.0,,
79,1630055000000,36.49,36.5,,6,2,3,1,99999,,,
80,1630055000000,35.6696,35.6721,,6,2,3,1,99999,160550003557.0,,
81,1630055000000,35.5466,35.55,,6,2,3,1,99999,,,
82,1630055000000,35.7,35.7037,,6,2,3,1,99999,160550003557.0,,
83,1630055000000,34.998,35.0,,6,2,3,1,99999,,,
84,1630055000000,35.4,35.4013,,6,2,3,1,99999,,,
85,1630055000000,35.34,35.34,,6,2,3,1,99999,,,
86,1630055000000,35.3995,35.4,,6,2,3,1,99999,,,
87,1630055000000,37.2,37.2896,,6,2,3,1,99999,,,
88,1630055000000,37.6,37.7,,6,2,3,1,99999,,,
89,1630055000000,38.5,38.6,,6,2,3,1,99999,,,
90,1630055000000,38.9,39.0,,6,2,3,1,99999,,,
91,1630055000000,41.0,41.1,,6,2,3,1,99999,,,
92,1630055000000,39.9241,39.9968,,6,2,3,1,99999,,,
93,1630055000000,39.3397,39.4,,6,2,3,1,99999,,,
94,1630055000000,40.2,40.2906,,6,2,3,1,99999,,,
95,1630055000000,37.3,37.4,,6,2,3,1,99999,,,
96,1630055000000,37.5,37.6,,6,2,3,1,99999,,,
97,1630055000000,37.7,37.8,,6,2,3,1,99999,,,
98,1630055000000,37.9,38.0,,6,2,3,1,99999,,,
99,1630055000000,38.0,38.1,,6,2,3,1,99999,,,
100,1630055000000,38.2,38.3,,6,2,3,1,99999,,,
101,1630055000000,38.3,38.4,,6,2,3,1,99999,,,
102,1630055000000,38.4,38.5,,6,2,3,1,99999,,,
103,1630055000000,38.6,38.7,,6,2,3,1,99999,,,
104,1630055000000,38.7,38.8,,6,2,3,1,99999,,,
105,1630055000000,38.8,38.8886,,6,2,3,1,99999,,,
106,1630055000000,39.0,39.1,,6,2,3,1,99999,,,
107,1630055000000,39.1,39.2,,6,2,3,1,99999,,,
108,1630055000000,39.2,39.3,,6,2,3,1,99999,,,
109,1630055000000,39.5,39.6,,6,2,3,1,99999,,,
110,1630055000000,39.6,39.7,,6,2,3,1,99999,,,
111,1630055000000,39.8205,39.9,,6,2,3,1,99999,,,
112,1630055000000,40.0,40.1,,6,2,3,1,99999,,,
113,1630055000000,40.1,40.2,,6,2,3,1,99999,,,
114,1630055000000,40.31,40.4,,6,2,3,1,99999,,,
115,1630055000000,40.4,40.5,,6,2,3,1,99999,,,
116,1630055000000,40.5,40.6,,6,2,3,1,99999,,,
117,1630055000000,40.6,40.7,,6,2,3,1,99999,,,
118,1630055000000,40.7,40.8,,6,2,3,1,99999,,,
119,1630055000000,40.8,40.9,,6,2,3,1,99999,,,
120,1630055000000,40.9,41.0,,6,2,3,1,99999,,,
121,1630055000000,41.1,41.2,,6,2,3,1,99999,,,
122,1630055000000,37.4,37.488,,6,2,3,1,99999,,,
123,1630055000000,41.2046,41.28,,6,2,3,1,99999,,,
124,1630055000000,37.8048,37.87,,6,2,3,1,99999,,,
125,1630055000000,39.7111,39.7624,,6,2,3,1,99999,,,
126,1630055000000,37.87,37.9,,6,2,3,1,99999,,,
127,1630055000000,38.1,38.15,,6,2,3,1,99999,,,
128,1630055000000,38.15,38.2,,6,2,3,1,99999,,,
129,1630055000000,39.4519,39.5,,6,2,3,1,99999,,,
130,1630055000000,39.805,39.8205,,6,2,3,1,99999,,,
131,1630055000000,39.42,39.44,,6,2,3,1,99999,,,
132,1630055000000,39.3,39.33,,6,2,3,1,99999,,,
133,1630055000000,39.4,39.42,,6,2,3,1,99999,,,
134,1630055000000,39.9,39.9241,,6,2,3,1,99999,,,
135,1630055000000,39.7624,39.7849,,6,2,3,1,99999,,,
136,1630055000000,39.44,39.4519,,6,2,3,1,99999,,,
137,1630055000000,38.8886,38.898,,6,2,3,1,99999,,,
138,1630055000000,39.33,39.3397,,6,2,3,1,99999,,,
139,1630055000000,37.2896,37.3,,6,2,3,1,99999,,,
140,1630055000000,40.2906,40.3,,6,2,3,1,99999,,,
141,1630055000000,40.3,40.31,,6,2,3,1,99999,,,
142,1630055000000,39.7,39.7111,,6,2,3,1,99999,,,
143,1630055000000,39.7849,39.8,,6,2,3,1,99999,,,
144,1630055000000,37.8,37.8048,,6,2,3,1,99999,,,
145,1630055000000,41.2,41.2046,,6,2,3,1,99999,,,
146,1630055000000,37.488,37.494,,6,2,3,1,99999,,,
147,1630055000000,37.494,37.5,,6,2,3,1,99999,,,
148,1630055000000,38.898,38.9,,6,2,3,1,99999,,,
149,1630055000000,39.8,39.805,,6,2,3,1,99999,,,
150,1630055000000,39.9968,40.0,,6,2,3,1,99999,,,
