,RouteId,BeginPoint,EndPoint,LaneWidthVn,SampleId
5923,2870504001900,0.6197,0.71,,280050400047
5924,28200190000NB,2.9,2.9784,,280190000288
5925,28100770000NB,1.0,1.1,,280770000069
5926,28100770000NB,0.9,1.0,,280770000069
5927,28100770000NB,0.7,0.8,,280770000069
5928,28100770000NB,0.8,0.9,,280770000069
5929,28200190000NB,10.8,10.9,,280190001076
5930,28200190000NB,3.0,3.1,,280190000288
5931,28200190000NB,3.1,3.1595,,280190000288
5932,28200190000NB,3.2,3.2882,,280190000288
5933,28200190000NB,3.5,3.6,,280190000288
5934,28200190000NB,3.6,3.7,,280190000288
5935,28200190000NB,5.6,5.7,,280190000534
5936,28200190000NB,5.8,5.9,,280190000534
5937,28200190000NB,5.9,6.0,,280190000534
5938,28200190000NB,6.1,6.2,,280190000601
5939,28200190000NB,6.2,6.3,,280190000601
5940,28200190000NB,6.3,6.4,,280190000601
5941,28200190000NB,6.5,6.6,,280190000601
5942,28200190000NB,6.6,6.7,,280190000601
5943,28200190000NB,6.7,6.8,,280190000601
5944,28200190000NB,6.9,7.0,,280190000601
5945,28200190000NB,7.0,7.1,,280190000601
5946,28200190000NB,7.1,7.2,,280190000601
5947,28200190000NB,7.2,7.3,,280190000601
5948,28200190000NB,7.3,7.4,,280190000601
5949,28204600000EB,4.3,4.4,,284600000429
5950,28204600000EB,4.4,4.5,,284600000429
5951,28204600000EB,4.7,4.8,,284600000429
5952,28204600000EB,4.8,4.9,,284600000429
5953,28204600000EB,5.3,5.38,,284600000429
5954,28204600000EB,5.1,5.2,,284600000429
5955,28204600000EB,5.0,5.1,,284600000429
5956,28200190000NB,5.533,5.6,,280190000534
5957,2830020000000,5.0537,5.08,,280200000423
5958,28200190000NB,5.4519,5.5,,280190000534
5959,28200190000NB,5.3547,5.4,,280190000534
5960,28200190000NB,3.4,3.4605,,280190000288
5961,28200190000NB,3.8,3.85,,280190000288
5962,28200190000NB,7.4,7.44,,280190000601
5963,28200520000EB,15.3,15.37,,280520001491
5964,28200190000NB,10.76,10.8,,280190001076
5965,28200190000NB,10.9,10.9529,,280190001076
5966,28200190000NB,3.1595,3.2,,280190000288
5967,28200190000NB,3.4605,3.5,,280190000288
5968,28200190000NB,5.74,5.8,,280190000534
5969,28200190000NB,6.01,6.1,,280190000601
5970,28204600000EB,4.5094,4.6,,284600000429
5971,28204600000EB,4.6311,4.7,,284600000429
5972,28204600000EB,4.9,4.967,,284600000429
5973,28204600000EB,5.2,5.3,,284600000429
5974,28200190000NB,5.407,5.4519,,280190000534
5976,28200190000NB,3.85,3.87,,280190000288
5977,2870504001900,0.47,0.499,,280050400047
5978,28200190000NB,2.88,2.9,,280190000288
5979,28200190000NB,2.9784,3.0,,280190000288
5980,28100770000NB,1.1,1.1246,,280770000069
5981,28200190000NB,10.96,11.0,,280190001076
5982,28200190000NB,5.7,5.74,,280190000534
5983,28204600000EB,4.967,5.0,,284600000429
5984,28200190000NB,5.5,5.533,,280190000534
5985,28200190000NB,5.34,5.352,,280190000534
5986,28204600000EB,4.613,4.6311,,284600000429
5987,2840025000000,0.5562,0.57,,280250000000
5988,28200190000NB,3.2882,3.3,,280190000288
5989,28200190000NB,6.0,6.01,,280190000534
5990,28204600000EB,4.29,4.3,,284600000429
5991,28204600000EB,4.5,4.5094,,284600000429
5992,28204600000EB,4.6,4.613,,284600000429
5993,28200190000NB,10.9529,10.96,,280190001076
5994,28100770000NB,0.69,0.7,,280770000069
5995,28200190000NB,5.4,5.407,,280190000534
5996,28200190000NB,5.352,5.3547,,280190000534
5997,28200190000NB,3.7,3.7011,,280190000288
5998,28200190000NB,3.85,3.85,,280190000288
5999,2840027000000,0.1461,0.8132,,280270000000
6000,2840027000000,1.28,1.57,,280270000000
6001,2840027000000,1.08,1.25,,280270000000
6002,2840027000000,0.8132,1.08,,280270000000
6003,2840019290000,2.5509,3.0081,,280192900254
6004,28100770000NB,3.4,3.5,,280770000256
6005,28100770000NB,3.8,3.9,,280770000256
6006,28100770000NB,4.1,4.2,,280770000256
6007,28100770000NB,4.5,4.6,,280770000256
6008,28100770000NB,4.9,5.0,,280770000256
6009,28100770000NB,5.3,5.4,,280770000512
6010,28100770000NB,6.1,6.2,,280770000512
6011,28100770000NB,1.3,1.4,,280770000069
6012,28100770000NB,1.7,1.8,,280770000069
6013,28100770000NB,2.1,2.2,,280770000069
