,RouteId,BeginPoint,EndPoint,FaultingVn,SurfaceTypeVn,FacilityTypeVn,FsystemVn,NhsVn,SampleId,DirThroughLanesVn,PsrVn,IriVn
879,35100700000EB,1.9,1.92,,3,2,1,1.0,350700000144,2.0,,175
880,35202500005SB,0.1763,0.2,,3,1,2,1.0,35250S000000,,,200
881,35100700000EB,1.949,1.9666,,3,2,1,1.0,350700000192,2.0,,175
882,35100700000EB,0.7,0.715,,3,2,1,1.0,350700000049,2.0,,174
883,35100700000EB,0.777,0.8,,3,2,1,1.0,350700000049,2.0,,174
884,35104700000EB,0.53,0.54,,3,2,1,1.0,354700000000,2.0,,105
885,35104700000EB,0.52,0.53,,3,2,1,1.0,354700000000,2.0,,105
886,35104700000EB,0.54,0.5467,,3,2,1,1.0,354700000000,2.0,,105
887,35100700000EB,1.284,1.29,,3,2,1,1.0,,2.0,,114
888,35100700000EB,0.3926,0.4,,3,2,1,1.0,350700000008,2.0,,72
889,35100700000EB,0.49,0.5,,3,2,1,1.0,350700000049,2.0,,85
890,35104700000EB,0.2872,0.3,,3,2,1,1.0,354700000000,2.0,,132
891,35104700000EB,0.7,0.7067,,3,2,1,1.0,354700000000,2.0,,145
892,35100700000EB,1.29,1.3,,3,2,1,1.0,,2.0,,114
893,35100700000EB,1.3,1.3115,,3,2,1,1.0,,2.0,,96
894,35100700000EB,0.69,0.7,,3,2,1,1.0,350700000049,2.0,,133
895,35202500005SB,0.056,0.0715,,3,1,2,1.0,35250S000000,,,161
896,35202500000NB,3.2,3.21,,3,1,2,1.0,352500000293,,,263
897,35202500000NB,3.248,3.255,,3,1,2,1.0,352500000293,,,263
898,26202500000NB,37.8,37.811,,3,2,3,1.0,,,,212
899,35104700000EB,0.5467,0.55,,3,2,1,1.0,354700000000,2.0,,105
900,35100700000EB,1.3115,1.317,,3,2,1,1.0,,2.0,,96
901,35202500000NB,3.255,3.26,,3,1,2,1.0,352500000293,,,263
902,35104700000EB,0.1915,0.2,,3,2,1,1.0,354700000000,2.0,,136
903,35104700000EB,0.3942,0.4,,3,2,1,1.0,354700000000,2.0,,140
904,35100700000EB,0.1,0.1032,,3,2,1,1.0,350700000008,2.0,,78
905,35202500005SB,0.166,0.171,,3,1,2,1.0,35250S000000,,,200
906,35202500000NB,3.21,3.2153,,3,1,2,1.0,352500000293,,,263
907,35202500005SB,0.171,0.1763,,3,1,2,1.0,35250S000000,,,200
908,35104700000EB,0.6,0.603,,3,2,1,1.0,354700000000,2.0,,112
909,35100700000EB,1.597,1.6,,3,2,1,1.0,350700000144,2.0,,98
910,35200400000EB,0.098,0.1,,3,2,4,,350400000007,,,231
911,35202500000NB,3.2475,3.248,,3,1,2,1.0,352500000293,,,263
912,35100700000EB,4.7,4.7864,,3,2,1,1.0,350700000470,2.0,,95
913,35104700000EB,3.7402,3.7825,,3,2,1,1.0,354700000225,2.0,,126
914,35100700000EB,4.82,4.8772,,3,2,1,1.0,350700000470,2.0,,114
915,35104700000EB,3.62,3.671,,3,2,1,1.0,354700000225,2.0,,142
916,35104700000EB,3.7,3.7402,,3,2,1,1.0,354700000225,2.0,,126
917,35100700000EB,6.8252,6.85,,3,2,1,1.0,350700000593,2.0,,69
918,35100700000EB,6.85,6.9,,3,2,1,1.0,350700000593,2.0,,69
919,35100700000EB,5.32,5.37,,3,2,1,1.0,350700000470,2.0,,72
920,35100700000EB,4.8772,4.9,,3,2,1,1.0,350700000470,2.0,,114
921,35104700000EB,3.6,3.62,,3,2,1,1.0,354700000225,2.0,,142
922,35104700000EB,3.671,3.7,,3,2,1,1.0,354700000225,2.0,,142
923,35100700000EB,6.8,6.8252,,3,2,1,1.0,350700000593,2.0,,69
924,35104700000EB,3.7825,3.7967,,3,2,1,1.0,354700000225,2.0,,126
925,35100700000EB,5.3792,5.3893,,3,2,1,1.0,350700000537,2.0,,72
926,35100700000EB,5.3,5.316,,3,2,1,1.0,350700000470,2.0,,72
927,35100700000EB,5.3893,5.4,,3,2,1,1.0,350700000537,2.0,,72
928,35100700000EB,4.7864,4.8,,3,2,1,1.0,350700000470,2.0,,95
929,35100700000EB,4.8,4.8115,,3,2,1,1.0,350700000470,2.0,,114
930,35100700000EB,5.37,5.3792,,3,2,1,1.0,350700000537,2.0,,72
931,35100700000EB,4.8115,4.816,,3,2,1,1.0,350700000470,2.0,,114
932,35104700000EB,3.7967,3.8,,3,2,1,1.0,354700000225,2.0,,126
933,35100700000EB,4.816,4.82,,3,2,1,1.0,350700000470,2.0,,114
934,35100700000EB,5.316,5.32,,3,2,1,1.0,350700000470,2.0,,72
935,3530002000000,11.6,11.61,,3,2,3,1.0,,,,182
936,0530002000300,0.0,0.098,,3,2,3,1.0,,,,921
937,05200220000EB,0.0,0.1,,3,2,2,1.0,,,,75
938,05200220000EB,0.2,0.2671,,3,2,2,1.0,,,,102
939,0530002000300,0.2,0.3,,3,2,3,1.0,,,,717
940,05200220000EB,0.1,0.2,,3,2,2,1.0,,,,75
941,0530002000300,0.1,0.2,,3,2,3,1.0,,,,964
942,0530002000300,0.3,0.35,,3,2,3,1.0,,,,881
