,RouteId,BeginPoint,EndPoint,ThicknessRigidVn,SampleId,SurfaceTypeVn
260,28200190000NB,5.4,5.407,,280190000534,3
261,28100770000NB,6.9,6.9557,,280770000512,3
262,28100770000NB,6.97,7.0,,280770000512,3
263,28100770000NB,6.959,6.97,,280770000512,3
264,28100770000NB,6.9557,6.959,,280770000512,3
265,4130016000000,15.54,15.5828,,410160015080,3
266,4130016000000,15.4,15.46,,410160015080,3
267,41100770016NB,43.5,43.5453,,410770004313,3
268,4130016000000,15.5,15.54,,410160015080,3
269,4130016000000,15.6611,15.7,,410160001565,3
270,41100770016NB,41.9463,41.975,,410770004168,3
271,4130016000000,15.4664,15.4936,,410160015080,3
272,4130016000000,15.5828,15.6,,410160015080,3
273,4130016000000,15.7,15.727,,410160001565,3
274,41100770016NB,43.5453,43.568,,410770004313,3
275,41100770016NB,43.568,43.6,,410770004313,3
276,41100770016NB,41.909,41.9271,,410770004168,3
277,41100770016NB,41.975,42.0,,410770004168,3
278,41100770016NB,41.9271,41.9364,,410770004168,3
279,4130016000000,15.65,15.6611,,410160001565,3
280,4130016000000,15.727,15.736,,410160001565,3
281,4130016000000,15.736,15.752,,410160001565,3
282,41100770016NB,41.9364,41.9463,,410770004168,3
283,4130016000000,15.46,15.4664,,410160015080,3
284,4130016000000,15.4936,15.5,,410160015080,3
285,4130016000000,15.6,15.6065,,410160015080,3
286,41100770016NB,41.9,41.909,,410770004168,3
287,4130016000000,15.6065,15.61,,410160015080,3
288,10100770016NB,56.1,56.2,,100770005502,3
289,10100770016NB,56.2,56.3,,100770005502,3
290,10100770016NB,56.3,56.4,,100770005502,3
291,10100770016NB,56.4,56.44,,100770005502,3
292,10100770016NB,56.44,56.5,,100770005502,3
293,41100770016NB,30.0,30.1,,410770002897,3
294,41100770016NB,30.1244,30.2,,410770002897,3
295,41100770016NB,30.1,30.1244,,410770002897,3
296,41100640000EB,119.4,119.5,,410640011892,3
297,41200190023EB,0.6,0.7,,410190000034,3
298,41200190023EB,0.1,0.2,,410190000034,3
299,41200190023EB,1.1,1.2,,410190001100,3
300,41100640007WB,0.1,0.2,,41064W000000,3
301,41100640007WB,0.2,0.3,,41064W000000,3
302,41100770004NB,0.2,0.3,,41077N000000,3
303,41100770004NB,0.3,0.3999,,41077N000000,3
304,41200190023EB,0.5,0.5845,,410190000034,3
305,41100640000EB,119.0,119.1,,410640011892,3
306,41100640000EB,119.1,119.2,,410640011892,3
307,41100640000EB,119.3,119.4,,410640011892,3
308,41100640000EB,119.5,119.6,,410640011892,3
309,41100640000EB,119.6,119.7,,410640011892,3
310,41100640000EB,119.7,119.8,,410640011892,3
311,41100640000EB,119.8156,119.9,,410640011892,3
312,41200190023EB,0.7,0.8,,410190000034,3
313,41200190023EB,0.9,1.0,,410190000034,3
314,41200190023EB,1.0,1.1,,410190000034,3
315,41200190014NB,2.0,2.1,,41019BP00000,3
316,41200190014NB,2.1,2.2,,41019BP00000,3
317,41200190023EB,0.2,0.3,,410190000034,3
318,41200190023EB,0.331,0.4,,410190000034,3
319,41200190023EB,0.4,0.5,,410190000034,3
320,41100770016NB,40.737,40.8,,410770004060,3
321,41100640000EB,119.9,119.952,,410640011892,3
322,41200190023EB,0.0,0.0326,,41019C000000,3
323,41100640000EB,118.92,119.0,,410640011892,3
324,41200190023EB,0.034,0.1,,410190000034,3
325,41100640000EB,119.2,119.3,,410640011892,3
326,41200190023EB,0.8,0.8413,,410190000034,3
327,41200190023EB,0.8581,0.9,,410190000034,3
328,41100770004NB,0.1,0.2,,41077N000000,3
329,41200190014NB,2.2,2.251,,41019BP00000,3
330,41100770016NB,40.7,40.737,,410770004060,3
331,41100640007WB,0.0,0.0437,,41064W000000,3
332,41100640000EB,120.0744,120.1,,410640011892,3
333,41100640007WB,0.0437,0.1,,41064W000000,3
334,41100770004NB,0.4,0.43,,41077N000000,3
335,41100640000EB,119.8,119.8156,,410640011892,3
