,RouteId,BeginPoint,EndPoint,ShoulderTypeVn,SampleId
3899,1540011020000,0.5599,0.57,,150110200000
3900,1540011000000,2.8862,2.9,,150110000231
3901,1540011000000,2.31,2.315,,150110000231
3902,1540011000000,2.3087,2.31,,150110000000
3903,1540208000000,3.2492,3.55,,152080000321
3904,1540003060000,2.171,2.32,,150030602171
3905,1540208000000,3.21,3.2492,,152080000321
3906,1540005000000,2.3407,2.6567,,150050000185
3907,1540005000000,1.86,2.1415,,150050000185
3908,1540005000000,2.6661,2.9714,,150050000185
3909,1540005000000,2.9714,3.1984,,150050000185
3910,1540005000000,2.1415,2.3407,,150050000185
3911,1540005000000,3.1984,3.45,,150050000185
3912,1540005000000,3.4845,3.674,,150050000185
3913,1540005000000,3.45,3.4736,,150050000185
3914,1540005000000,3.4736,3.4845,,150050000185
3915,1540005000000,2.6567,2.6661,,150050000185
3916,1540016000000,1.05,1.0819,,150160001050
3917,1540016000000,1.0819,1.126,,150160001050
3918,2540060000000,2.11,2.4391,,250600002110
3919,2530310000000,7.16,7.4376,,253100007160
3920,2540060000000,2.4391,2.61,,250600002110
3921,2540031010000,1.7511,2.03,,250310100172
3922,2540064020000,0.0,0.24,,250640200000
3923,2540031010000,1.72,1.7511,,250310100172
3924,2540072020000,1.1826,1.5238,,250720200117
3925,2540073000000,2.6979,2.99,,250730000245
3927,2530310000000,7.5203,7.808,,253100007160
3928,2540073000000,3.1993,3.55,,250730000245
3929,2540072000000,2.07,2.3984,,250720000207
3930,2540072020000,0.77,0.97,,250720200072
3931,2540072020000,1.5238,1.67,,250720200117
3932,2540250180000,0.7158,0.85,,252501800008
3933,2540250310000,0.0,0.2981,,252503100000
3934,2540072000000,1.5327,1.7573,,250720000102
3935,2540072000000,1.02,1.2003,,250720000102
3936,2540072000000,2.5524,2.67,,250720000207
3937,2540072020000,0.0934,0.5,,250720200000
3938,2540072020000,0.5,0.6531,,250720200050
3939,2540072020000,1.76,1.93,,250720200176
3940,2540072040000,0.0,0.13,,250720400000
3941,2540072020000,0.0,0.0934,,250720200000
3942,2540073000000,2.99,3.15,,250730000245
3944,2572520001900,1.399,1.4736,,250252000104
3945,2572520001900,1.3254,1.399,,250252000104
3946,2540072000000,2.4093,2.5524,,250720000207
3947,2540072020000,0.97,1.0619,,250720200072
3948,2540073000000,2.4672,2.5506,,250730000245
3949,2540073000000,3.15,3.1993,,250730000245
3950,2540073000000,2.5506,2.6979,,250730000245
3951,2572520001900,1.5429,1.5982,,250252000104
3952,2540072000000,1.2003,1.3383,,250720000102
3953,2572520001900,1.6866,1.81,,250252000104
3954,2540072020000,0.6531,0.72,,250720200050
3955,2540250310000,0.42,0.55,,252503100000
3957,2572506001900,0.5,0.6148,,250250600050
3958,2530310000000,8.35,8.45,,253100000835
3959,2572529001900,0.0,0.15,,250252900000
3960,2540072000000,1.3383,1.417,,250720000102
3961,2540072000000,1.431,1.5327,,250720000102
3962,2540250310000,0.35,0.41,,252503100000
3963,2572520001900,1.9392,2.0,,250252000188
3964,2540072020000,1.1262,1.17,,250720200072
3966,2572520001900,1.2126,1.2604,,250252000104
3967,2572520001900,1.2604,1.2941,,250252000104
3968,2572520001900,1.6169,1.6628,,250252000104
3969,2572520001900,1.2941,1.3254,,250252000104
3970,2540072020000,1.0619,1.1262,,250720200072
3971,2540250310000,0.2981,0.35,,252503100000
3972,2530310000000,7.4676,7.5203,,253100007160
3973,2572520001900,1.1672,1.2126,,250252000104
3974,2572520001900,1.0442,1.0954,,250252000104
3975,2572520001900,1.1037,1.159,,250252000104
3976,2572520001900,1.4894,1.5429,,250252000104
3977,2540072020000,1.67,1.71,,250720200117
3978,2540072020000,0.72,0.77,,250720200072
3979,2572506001900,0.62,0.72,,250250600062
3980,2572520001900,1.88,1.9392,,250252000188
3982,2572520001900,1.6628,1.6866,,250252000104
3983,2540073000000,2.4532,2.4672,,250730000245
3984,2530310000000,7.4376,7.4676,,253100007160
3985,2572520001900,1.5982,1.6169,,250252000104
3986,2572520001900,1.4736,1.4894,,250252000104
3988,2540250310000,0.41,0.42,,252503100000
3989,2540072000000,2.3984,2.4093,,250720000207
3990,2540072020000,1.17,1.1826,,250720200117
3992,2572520001900,1.159,1.1672,,250252000104
3993,2572520001900,1.0954,1.1037,,250252000104
3995,2540072000000,1.7573,1.769,,250720000102
3996,2540072000000,1.769,1.785,,250720000102
3997,2540072000000,1.417,1.431,,250720000102
3998,2572520001900,1.04,1.0442,,250252000104
3999,2572506001900,0.6148,0.62,,250250600050
4001,2540073000000,2.45,2.4532,,250730000245
4002,2540072000000,1.785,1.79,,250720000102
4003,3140055070000,0.0,0.26,,310550700000
4004,3130100000000,2.54,2.9,,311000000254
4005,3140049000000,0.66,1.25,,310490000066
4006,3130100000000,2.9,3.08,,311000000290
4007,3140055000000,0.0497,0.0986,,310550000000
4008,3140055000000,0.3224,0.3833,,310550000000
4009,3130100000000,1.34,1.4183,,311000000134
4010,3130100000000,1.5124,1.64,,311000000134
4011,3130100000000,0.8684,0.962,,311000000000
4012,3130100000000,0.6318,0.7422,,311000000000
4013,3140055000000,0.2001,0.25,,310550000000
4014,3130100000000,1.06,1.0945,,311000000097
4015,3140055000000,0.0986,0.1493,,310550000000
4017,3140055000000,0.2563,0.2986,,310550000000
4018,3140019080000,0.0,0.0683,,310190800000
4019,3140019080000,0.1326,0.1551,,310190800000
4020,3140055000000,0.0,0.0497,,310550000000
4021,3130100000000,1.4183,1.4692,,311000000134
4022,3130100000000,0.7981,0.8684,,311000000000
4023,3140055000000,0.3833,0.414,,310550000000
4024,3130100000000,1.1956,1.2346,,311000000097
4025,3140055000000,0.1746,0.2001,,310550000000
4026,3130100000000,1.02,1.06,,311000000097
4027,3130100000000,1.0945,1.1285,,311000000097
4028,3130100000000,1.1285,1.1621,,311000000097
4029,3140019080000,0.0883,0.11,,310190800000
4030,3140019080000,0.11,0.1326,,310190800000
4031,3130100000000,1.1621,1.1956,,311000000097
4032,3140019080000,0.0683,0.0883,,310190800000
4033,3140019080000,0.1551,0.1864,,310190800000
4034,3140055000000,0.2986,0.3224,,310550000000
4035,3140055000000,0.414,0.4319,,310550000000
4036,3130100000000,1.4692,1.5124,,311000000134
4037,3130100000000,0.7422,0.7761,,311000000000
4038,3140019080000,0.1864,0.2185,,310190800000
4039,3130100000000,1.2346,1.2719,,311000000097
4040,3140055000000,0.1493,0.1746,,310550000000
4041,3130100000000,1.2719,1.3009,,311000000097
4042,3130100000000,1.3009,1.3354,,311000000097
4043,3140055000000,0.4319,0.45,,310550000000
4044,3130100000000,0.986,1.0072,,311000000097
4045,3140055000000,0.25,0.2563,,310550000000
4046,3130100000000,1.0072,1.02,,311000000097
4047,3130100000000,0.7761,0.7981,,311000000000
4048,3140019080000,0.2185,0.23,,310190800000
4049,3130100000000,0.962,0.97,,311000000000
4050,3130100000000,0.97,0.986,,311000000097
4051,3130100000000,1.3354,1.34,,311000000097
4052,3140007210000,0.0,0.4269,,310072100000
4053,3174813001900,0.1486,0.7051,,310481300000
4054,3140070000000,0.4508,1.4029,,310700000387
4055,3174810001900,0.2034,0.6449,,310481000000
4056,3130007000000,37.6094,38.29,,310070003655
4057,3140068070000,0.75,1.11,,310680700075
4058,3140019190000,1.29,1.7,,310191900129
4059,3130007000000,34.94,35.35,,310070003471
4060,3140064000000,0.0,0.2785,,310640000000
4061,3130007000000,37.13,37.6094,,310070003655
