,RouteId,BeginPoint,EndPoint,CountyIdVn,FacilityTypeVn,FsystemVn,NhsVn,UrbanIdVn
77,30200520000WB,13.2,13.3,,6,3,1.0,99999
78,30200520000WB,13.3,13.4,,6,3,1.0,99999
79,30200520000WB,13.4,13.5,,6,3,1.0,99999
80,30200520000WB,13.5,13.6,,6,3,1.0,99999
81,30200520000WB,13.6,13.7,,6,3,1.0,99999
82,30200520000WB,13.7,13.8,,6,3,1.0,99999
83,30200520000WB,14.1,14.2,,6,3,1.0,99999
84,30200520000WB,14.2,14.3,,6,3,1.0,99999
85,30200520000WB,14.4,14.5,,6,3,1.0,99999
86,30200520000WB,14.5469,14.6,,6,3,1.0,99999
87,30200520000WB,14.7,14.8,,6,3,1.0,99999
88,30200520000WB,14.8,14.9,,6,3,1.0,99999
89,30200520000WB,16.0,16.1,,6,3,1.0,99999
90,30200520000WB,16.1,16.2,,6,3,1.0,99999
91,30200520000WB,16.2,16.3,,6,3,1.0,99999
92,30200520000WB,16.3,16.4,,6,3,1.0,99999
93,30200520000WB,16.6,16.7,,6,3,1.0,99999
94,30200520000WB,16.7,16.8,,6,3,1.0,99999
95,30200520000WB,16.8,16.87,,6,3,1.0,99999
96,30200520000WB,16.9,17.0,,6,3,1.0,99999
97,30200520000WB,17.02,17.1,,6,3,1.0,99999
98,30200520000WB,17.6,17.7,,6,3,1.0,99999
99,30200520000WB,15.4,15.5,,6,3,1.0,99999
100,30200520000WB,15.5,15.6,,6,3,1.0,99999
101,30200520000WB,15.6,15.7,,6,3,1.0,99999
102,30200520000WB,15.7,15.8,,6,3,1.0,99999
103,30200520000WB,15.8,15.9,,6,3,1.0,99999
104,30201190000SB,10.0,10.1,,6,3,1.0,99999
105,30201190000SB,10.1,10.2,,6,3,1.0,99999
106,30201190000SB,7.45,7.5,,6,3,1.0,99999
107,30201190000SB,7.5,7.59,,6,3,1.0,99999
108,30201190000SB,7.7,7.8,,6,3,1.0,99999
109,30201190000SB,8.3,8.4,,6,3,1.0,99999
110,30201190000SB,8.4,8.5,,6,3,1.0,99999
111,30201190000SB,8.8,8.9,,6,3,1.0,99999
112,30201190000SB,8.9,9.0,,6,3,1.0,99999
113,30201190000SB,9.4,9.5,,6,3,1.0,99999
114,30201190000SB,9.5,9.6,,6,3,1.0,99999
115,30201190000SB,9.7,9.8,,6,3,1.0,99999
116,30201190000SB,9.8,9.9,,6,3,1.0,99999
117,30200520000WB,15.0,15.1,,6,3,1.0,99999
118,30200520000WB,15.1,15.2,,6,3,1.0,99999
119,30200520000WB,15.2,15.3,,6,3,1.0,99999
120,30200520000WB,17.4,17.5,,6,3,1.0,99999
121,30200520000WB,17.5,17.6,,6,3,1.0,99999
122,30201190000SB,8.0,8.1,,6,3,1.0,99999
123,30201190000SB,8.1,8.2,,6,3,1.0,99999
124,30201190000SB,9.1,9.2,,6,3,1.0,99999
125,30201190000SB,9.2,9.3,,6,3,1.0,99999
126,30200520000WB,17.1,17.171,,6,3,1.0,99999
127,30201190000SB,10.3,10.4,,6,3,1.0,99999
128,30200520000WB,12.6653,12.7009,,6,3,1.0,99999
129,30200520000WB,7.83,7.8496,,6,3,1.0,99999
130,30200520000WB,7.8496,7.91,,6,3,1.0,99999
131,30200520000WB,12.8615,12.9,,6,3,1.0,99999
132,30200520000WB,8.5089,8.5644,,6,3,1.0,99999
133,30200520000WB,15.9,15.9375,,6,3,1.0,99999
134,30201190000SB,8.5561,8.6,,6,3,1.0,99999
135,30200520000WB,13.8,13.83,,6,3,1.0,99999
136,30200520000WB,13.83,13.9,,6,3,1.0,99999
137,30200520000WB,14.3,14.4,,6,3,1.0,99999
138,30200520000WB,14.5,14.5469,,6,3,1.0,99999
139,30200520000WB,14.6,14.66,,6,3,1.0,99999
140,30200520000WB,16.4,16.48,,6,3,1.0,99999
141,30200520000WB,16.5,16.6,,6,3,1.0,99999
142,30200520000WB,17.32,17.4,,6,3,1.0,99999
143,30201190000SB,7.6,7.7,,6,3,1.0,99999
144,30201190000SB,8.5,8.5561,,6,3,1.0,99999
145,30201190000SB,7.8,7.9,,6,3,1.0,99999
146,30201190000SB,7.9,7.95,,6,3,1.0,99999
147,30201190000SB,7.95,8.0,,6,3,1.0,99999
148,30200520000WB,13.9,13.964,,6,3,1.0,99999
149,30200520000WB,14.0,14.042,,6,3,1.0,99999
150,30200520000WB,14.042,14.1,,6,3,1.0,99999
151,30200520000WB,17.2,17.239,,6,3,1.0,99999
152,30200520000WB,17.239,17.3,,6,3,1.0,99999
153,30200520000WB,13.0,13.064,,6,3,1.0,99999
154,30200520000WB,13.072,13.1,,6,3,1.0,99999
155,30200520000WB,7.8053,7.83,,6,3,1.0,99999
156,30201190000SB,9.97,10.0,,6,3,1.0,99999
157,30200520000WB,14.66,14.7,,6,3,1.0,99999
158,30200520000WB,16.48,16.5,,6,3,1.0,99999
159,30200520000WB,16.87,16.9,,6,3,1.0,99999
160,30200520000WB,13.98,14.0,,6,3,1.0,99999
161,30201190000SB,8.7813,8.8,,6,3,1.0,99999
162,30200520000WB,17.171,17.2,,6,3,1.0,99999
163,30200520000WB,7.91,7.9253,,6,3,1.0,99999
164,30200520000WB,15.9375,15.95,,6,3,1.0,99999
165,30200520000WB,17.0,17.02,,6,3,1.0,99999
166,30200520000WB,17.3,17.32,,6,3,1.0,99999
167,30200520000WB,13.964,13.98,,6,3,1.0,99999
168,30200520000WB,15.3904,15.4,,6,3,1.0,99999
169,30201190000SB,7.5945,7.6,,6,3,1.0,99999
170,30200520000WB,13.064,13.072,,6,3,1.0,99999
171,30201190000SB,7.59,7.5945,,6,3,1.0,99999
172,50200520000WB,46.6054,47.28,,6,3,1.0,99999
173,50200520000WB,42.5481,42.9,,6,3,1.0,99999
174,50200520000WB,47.38,47.6473,,6,3,1.0,99999
175,50200520000WB,47.6473,47.8031,,6,3,1.0,99999
176,50200520000WB,48.63,48.9156,,6,3,1.0,99999
177,50200520000WB,48.2667,48.54,,6,3,1.0,99999
178,50200520000WB,47.8031,48.16,,6,3,1.0,99999
179,50200520000WB,42.4504,42.5481,,6,3,1.0,99999
180,50200520000WB,48.9156,49.07,,6,3,1.0,99999
181,50200520000WB,48.54,48.63,,6,3,1.0,99999
182,50200520000WB,48.16,48.2609,,6,3,1.0,99999
183,50200520000WB,47.28,47.35,,6,3,1.0,99999
184,50200520000WB,49.07,49.08,,6,3,1.0,99999
185,50200520000WB,47.356,47.38,,6,3,1.0,99999
186,50200520000WB,48.2609,48.2667,,6,3,1.0,99999
187,50200520000WB,47.35,47.356,,6,3,1.0,99999
188,30200520000WB,6.5926,7.68,,6,3,1.0,99999
189,30200520000WB,3.86,4.9209,,6,3,1.0,99999
190,30200520000WB,4.9209,5.6172,,6,3,1.0,99999
191,50200520000WB,52.5078,53.0096,,6,3,1.0,99999
192,30200520000WB,1.79,2.26,,6,3,1.0,99999
193,30200520000WB,1.06,1.36,,6,3,1.0,99999
194,30200520000WB,2.3434,2.7083,,6,3,1.0,99999
195,30200520000WB,2.85,3.1967,,6,3,1.0,99999
196,30200520000WB,5.6172,6.0621,,6,3,1.0,99999
197,30200520000WB,6.0621,6.5577,,6,3,1.0,99999
198,50200520000WB,53.0096,53.398,,6,3,1.0,99999
199,50200520000WB,54.0071,54.22,,6,3,1.0,99999
200,30200520000WB,1.41,1.53,,6,3,1.0,99999
201,30200520000WB,0.0,0.1482,,6,3,1.0,99999
202,30200520000WB,0.1482,0.3108,,6,3,1.0,99999
203,30200520000WB,0.46,0.86,,6,3,1.0,99999
204,30200520000WB,3.4884,3.76,,6,3,1.0,99999
205,50200520000WB,53.8367,54.0071,,6,3,1.0,99999
206,50200520000WB,54.22,54.32,,6,3,1.0,99999
207,30200520000WB,3.1967,3.2973,,6,3,1.0,99999
208,30200520000WB,3.2973,3.4156,,6,3,1.0,99999
209,30200520000WB,1.646,1.79,,6,3,1.0,99999
210,30200520000WB,0.3721,0.46,,6,3,1.0,99999
211,30200520000WB,3.76,3.86,,6,3,1.0,99999
212,30200520000WB,0.86,0.94,,6,3,1.0,99999
213,50200520000WB,53.398,53.482,,6,3,1.0,99999
214,30200520000WB,1.01,1.06,,6,3,1.0,99999
215,30200520000WB,1.36,1.41,,6,3,1.0,99999
216,30200520000WB,2.26,2.3434,,6,3,1.0,99999
217,30200520000WB,0.3182,0.3702,,6,3,1.0,99999
218,30200520000WB,1.53,1.646,,6,3,1.0,99999
219,30200520000WB,3.4156,3.4884,,6,3,1.0,99999
220,30200520000WB,0.94,1.01,,6,3,1.0,99999
221,50200520000WB,53.5489,53.5689,,6,3,1.0,99999
222,50200520000WB,53.6955,53.742,,6,3,1.0,99999
223,50200520000WB,53.482,53.5042,,6,3,1.0,99999
224,50200520000WB,53.5689,53.6037,,6,3,1.0,99999
225,50200520000WB,53.7925,53.8248,,6,3,1.0,99999
226,50200520000WB,53.6346,53.672,,6,3,1.0,99999
227,30200520000WB,2.7083,2.758,,6,3,1.0,99999
228,30200520000WB,2.758,2.844,,6,3,1.0,99999
229,30200520000WB,6.5577,6.5926,,6,3,1.0,99999
230,50200520000WB,53.6163,53.6266,,6,3,1.0,99999
231,50200520000WB,53.6037,53.6163,,6,3,1.0,99999
232,50200520000WB,53.7745,53.7925,,6,3,1.0,99999
233,50200520000WB,53.742,53.7638,,6,3,1.0,99999
234,50200520000WB,53.672,53.6955,,6,3,1.0,99999
235,50200520000WB,53.517,53.5372,,6,3,1.0,99999
236,50200520000WB,53.5372,53.5489,,6,3,1.0,99999
237,50200520000WB,53.6266,53.6346,,6,3,1.0,99999
238,50200520000WB,53.7638,53.7745,,6,3,1.0,99999
239,50200520000WB,53.8248,53.8313,,6,3,1.0,99999
240,50200520000WB,53.5042,53.5112,,6,3,1.0,99999
241,50200520000WB,53.5112,53.517,,6,3,1.0,99999
242,30200520000WB,0.3108,0.3164,,6,3,1.0,99999
243,50200520000WB,53.8313,53.8367,,6,3,1.0,99999
244,30200520000WB,0.3702,0.3721,,6,3,1.0,99999
245,30200520000WB,2.844,2.85,,6,3,1.0,99999
246,30200520000WB,0.3164,0.3182,,6,3,1.0,99999
247,50200520000WB,50.3362,52.5078,,6,3,1.0,99999
248,50200520000WB,43.5812,45.34,,6,3,1.0,99999
249,50200520000WB,45.34,46.1709,,6,3,1.0,99999
250,50200520000WB,46.1709,46.6054,,6,3,1.0,99999
251,50200520000WB,42.9,43.2859,,6,3,1.0,99999
252,50200520000WB,43.2859,43.5812,,6,3,1.0,99999
253,50200520000WB,49.08,49.3915,,6,3,1.0,99999
254,50200520000WB,49.6021,49.91,,6,3,1.0,99999
255,50200520000WB,49.955,50.3362,,6,3,1.0,99999
256,50200520000WB,49.3915,49.534,,6,3,1.0,99999
257,50200520000WB,49.538,49.6021,,6,3,1.0,99999
258,50200520000WB,49.931,49.955,,6,3,1.0,99999
259,50200520000WB,49.91,49.931,,6,3,1.0,99999
260,50200520000WB,49.534,49.538,,6,3,1.0,99999
261,24200520000WB,14.5456,14.8089,,6,3,1.0,99999
262,24200520000WB,14.8089,14.958,,6,3,1.0,99999
263,24200520000WB,15.9976,16.25,,6,3,1.0,99999
264,24200520000WB,15.1118,15.454,,6,3,1.0,99999
265,24200520000WB,15.462,15.8112,,6,3,1.0,99999
266,24200520000WB,14.15,14.3432,,6,3,1.0,99999
267,24200520000WB,14.3432,14.5456,,6,3,1.0,99999
268,24200520000WB,15.8112,15.9976,,6,3,1.0,99999
269,24200520000WB,15.0558,15.1118,,6,3,1.0,99999
270,24200520000WB,14.958,15.0558,,6,3,1.0,99999
271,24200520000WB,15.454,15.462,,6,3,1.0,99999
272,24200520000WB,20.1278,21.2108,,6,3,1.0,99999
273,24200520000WB,17.58,18.13,,6,3,1.0,99999
274,24200520001WB,0.7288,1.0863,,6,3,1.0,99999
275,24200520000WB,19.5299,19.7493,,6,3,1.0,99999
276,24200520000WB,21.2108,21.7996,,6,3,1.0,99999
277,24200520000WB,18.8413,19.14,,6,3,1.0,99999
278,24200520000WB,19.23,19.46,,6,3,1.0,99999
279,24200520000WB,16.25,16.76,,6,3,1.0,99999
280,24200520000WB,21.7996,22.087,,6,3,1.0,99999
281,24200520000WB,17.29,17.5567,,6,3,1.0,99999
282,24200520000WB,19.7493,19.88,,6,3,1.0,99999
283,24200520000WB,18.6801,18.8413,,6,3,1.0,99999
284,24200520000WB,18.13,18.3236,,6,3,1.0,99999
285,24200520000WB,18.3236,18.5495,,6,3,1.0,99999
286,24200520001WB,0.3168,0.5368,,6,3,1.0,99999
287,24200520001WB,0.5368,0.7288,,6,3,1.0,99999
288,24200520000WB,17.2,17.29,,6,3,1.0,99999
289,24200520001WB,0.1063,0.1964,,6,3,1.0,99999
290,24200520000WB,17.07,17.2,,6,3,1.0,99999
291,24200520000WB,19.46,19.5299,,6,3,1.0,99999
292,24200520000WB,17.0,17.07,,6,3,1.0,99999
293,24200520000WB,22.1228,22.1858,,6,3,1.0,99999
294,24200520000WB,19.9148,19.9997,,6,3,1.0,99999
295,24200520000WB,16.76,16.82,,6,3,1.0,99999
296,24200520001WB,0.1964,0.31,,6,3,1.0,99999
297,24200520000WB,16.8914,16.9739,,6,3,1.0,99999
298,24200520000WB,18.5868,18.63,,6,3,1.0,99999
299,24200520001WB,0.0,0.055,,6,3,1.0,99999
300,24200520001WB,0.055,0.1063,,6,3,1.0,99999
301,24200520000WB,20.0744,20.1278,,6,3,1.0,99999
302,24200520000WB,19.14,19.23,,6,3,1.0,99999
303,24200520000WB,16.82,16.8914,,6,3,1.0,99999
304,24200520000WB,19.9997,20.044,,6,3,1.0,99999
305,24200520000WB,22.087,22.1143,,6,3,1.0,99999
306,24200520000WB,18.5495,18.5868,,6,3,1.0,99999
307,24200520000WB,19.88,19.9148,,6,3,1.0,99999
308,24200520000WB,18.63,18.6667,,6,3,1.0,99999
309,24200520000WB,17.5567,17.58,,6,3,1.0,99999
310,24200520000WB,16.9739,17.0,,6,3,1.0,99999
311,24200520000WB,22.1143,22.1228,,6,3,1.0,99999
312,24200520000WB,18.6667,18.6801,,6,3,1.0,99999
313,24200520001WB,1.0863,1.1,,6,3,1.0,99999
314,24200520001WB,1.1,1.12,,6,3,1.0,99999
315,24200520000WB,20.044,20.06,,6,3,1.0,99999
316,24200520001WB,0.31,0.3168,,6,3,1.0,99999
317,24200520000WB,20.06,20.07,,6,3,1.0,99999
318,24200520000WB,20.07,20.0744,,6,3,1.0,99999
319,24200520000WB,7.4076,9.4532,,6,3,1.0,99999
320,24200520000WB,6.5205,7.4076,,6,3,1.0,99999
321,24200520000WB,5.6079,6.0786,,6,3,1.0,99999
322,24200520000WB,4.9021,5.5866,,6,3,1.0,99999
323,24200520000WB,2.54,3.4973,,6,3,1.0,99999
324,24200520000WB,3.4973,4.02,,6,3,1.0,99999
325,24200520000WB,1.819,2.0857,,6,3,1.0,99999
326,24200520000WB,0.1206,0.5043,,6,3,1.0,99999
327,24200520000WB,4.16,4.4346,,6,3,1.0,99999
328,24200520000WB,1.11,1.4104,,6,3,1.0,99999
329,55200520000WB,7.0728,7.49,,6,3,1.0,99999
330,24200520000WB,6.0786,6.4,,6,3,1.0,99999
331,24200520000WB,6.4,6.5205,,6,3,1.0,99999
332,24200520000WB,0.5043,0.838,,6,3,1.0,99999
333,24200520000WB,2.0857,2.246,,6,3,1.0,99999
334,24200520000WB,4.564,4.8995,,6,3,1.0,99999
335,24200520000WB,2.2693,2.54,,6,3,1.0,99999
336,24200520000WB,1.4104,1.7679,,6,3,1.0,99999
337,55200520000WB,8.3647,8.61,,6,3,1.0,99999
338,55200520000WB,7.8088,8.0562,,6,3,1.0,99999
339,55200520000WB,7.5839,7.8088,,6,3,1.0,99999
340,55200520000WB,8.0562,8.21,,6,3,1.0,99999
341,24200520000WB,0.9428,1.11,,6,3,1.0,99999
342,24200520000WB,4.4346,4.564,,6,3,1.0,99999
343,24200520000WB,4.02,4.16,,6,3,1.0,99999
344,24200520000WB,0.0028,0.1206,,6,3,1.0,99999
345,55200520000WB,7.49,7.5839,,6,3,1.0,99999
346,55200520000WB,8.21,8.3647,,6,3,1.0,99999
347,24200520000WB,1.7679,1.819,,6,3,1.0,99999
348,24200520000WB,0.838,0.9428,,6,3,1.0,99999
349,24200520000WB,2.246,2.2693,,6,3,1.0,99999
350,24200520000WB,5.5866,5.6079,,6,3,1.0,99999
351,24200520000WB,4.8995,4.9021,,6,3,1.0,99999
352,24200520000WB,0.0,0.0028,,6,3,1.0,99999
353,30200520000WB,57.0308,57.8026,,6,3,1.0,99999
354,30200520000WB,56.2465,57.0308,,6,3,1.0,99999
355,30200520000WB,58.42,58.77,,6,3,1.0,99999
356,30200520000WB,53.67,53.8852,,6,3,1.0,99999
357,30200520000WB,55.002,55.5723,,6,3,1.0,99999
358,30200520000WB,54.4701,54.7973,,6,3,1.0,99999
359,30200520000WB,54.05,54.22,,6,3,1.0,99999
360,30200520000WB,57.8026,57.9617,,6,3,1.0,99999
361,30200520000WB,53.8852,54.05,,6,3,1.0,99999
362,30200520000WB,55.5723,55.7784,,6,3,1.0,99999
363,30200520000WB,56.0054,56.2465,,6,3,1.0,99999
364,30200520000WB,58.2437,58.41,,6,3,1.0,99999
365,30200520000WB,54.7973,55.002,,6,3,1.0,99999
366,55200520000WB,0.0513,0.2219,,6,3,1.0,99999
367,30200520000WB,52.95,53.2734,,6,3,1.0,99999
368,30200520000WB,54.41,54.4701,,6,3,1.0,99999
369,30200520000WB,53.55,53.67,,6,3,1.0,99999
370,30200520000WB,55.8065,55.9525,,6,3,1.0,99999
371,30200520000WB,53.2935,53.4451,,6,3,1.0,99999
372,30200520000WB,54.31,54.41,,6,3,1.0,99999
373,30200520000WB,57.9886,58.08,,6,3,1.0,99999
374,30200520000WB,58.77,58.82,,6,3,1.0,99999
375,55200520000WB,0.0,0.0513,,6,3,1.0,99999
376,30200520000WB,55.9525,55.9892,,6,3,1.0,99999
377,30200520000WB,53.4451,53.55,,6,3,1.0,99999
378,30200520000WB,58.19,58.2437,,6,3,1.0,99999
379,30200520000WB,54.22,54.26,,6,3,1.0,99999
380,30200520000WB,54.26,54.31,,6,3,1.0,99999
381,30200520000WB,58.11,58.1315,,6,3,1.0,99999
382,30200520000WB,58.1315,58.1507,,6,3,1.0,99999
383,30200520000WB,53.2734,53.2935,,6,3,1.0,99999
384,30200520000WB,58.1724,58.19,,6,3,1.0,99999
385,30200520000WB,58.1507,58.1656,,6,3,1.0,99999
386,30200520000WB,55.7784,55.8065,,6,3,1.0,99999
387,30200520000WB,58.41,58.42,,6,3,1.0,99999
388,30200520000WB,58.08,58.11,,6,3,1.0,99999
389,30200520000WB,55.9929,56.0054,,6,3,1.0,99999
390,30200520000WB,58.1656,58.1724,,6,3,1.0,99999
391,30200520000WB,57.9617,57.9828,,6,3,1.0,99999
392,30200520000WB,55.9892,55.9929,,6,3,1.0,99999
393,30200520000WB,57.9828,57.9886,,6,3,1.0,99999
394,55200520000WB,6.2763,7.0728,,6,3,1.0,99999
395,55200520000WB,4.811,5.6495,,6,3,1.0,99999
396,55200520000WB,2.2804,3.1394,,6,3,1.0,99999
397,55200520000WB,3.1394,3.5256,,6,3,1.0,99999
398,55200520000WB,1.7399,2.1705,,6,3,1.0,99999
399,55200520000WB,5.6495,5.9878,,6,3,1.0,99999
400,55200520000WB,0.2219,0.9352,,6,3,1.0,99999
401,55200520000WB,4.4281,4.7843,,6,3,1.0,99999
402,55200520000WB,2.1705,2.2804,,6,3,1.0,99999
403,55200520000WB,1.2149,1.437,,6,3,1.0,99999
404,55200520000WB,1.6311,1.7399,,6,3,1.0,99999
405,55200520000WB,6.1558,6.2763,,6,3,1.0,99999
406,55200520000WB,4.1251,4.2452,,6,3,1.0,99999
407,55200520000WB,3.5256,3.9715,,6,3,1.0,99999
408,55200520000WB,5.9878,6.1247,,6,3,1.0,99999
409,55200520000WB,1.5098,1.6311,,6,3,1.0,99999
410,55200520000WB,3.9715,4.1251,,6,3,1.0,99999
411,55200520000WB,0.9352,1.0014,,6,3,1.0,99999
412,55200520000WB,1.0711,1.183,,6,3,1.0,99999
413,55200520000WB,4.2452,4.4281,,6,3,1.0,99999
414,55200520000WB,1.437,1.5098,,6,3,1.0,99999
415,55200520000WB,1.183,1.2149,,6,3,1.0,99999
416,55200520000WB,6.1247,6.1558,,6,3,1.0,99999
417,55200520000WB,1.0014,1.0336,,6,3,1.0,99999
418,55200520000WB,1.0336,1.0711,,6,3,1.0,99999
419,55200520000WB,4.789,4.811,,6,3,1.0,99999
420,55200520000WB,4.7843,4.789,,6,3,1.0,99999
421,24200520000WB,12.87,14.15,,6,3,1.0,99999
422,24200520000WB,9.6793,10.4503,,6,3,1.0,99999
423,24200520000WB,12.1653,12.87,,6,3,1.0,99999
424,24200520000WB,10.93,11.3258,,6,3,1.0,99999
425,24200520000WB,11.3258,11.8934,,6,3,1.0,99999
426,24200520000WB,10.5208,10.93,,6,3,1.0,99999
427,24200520000WB,9.4532,9.6793,,6,3,1.0,99999
428,24200520000WB,11.8934,12.1653,,6,3,1.0,99999
429,24200520000WB,10.4503,10.5208,,6,3,1.0,99999
430,30200520000WB,24.13,25.73,,6,3,1.0,99999
431,30200520000WB,27.8696,28.2849,,6,3,1.0,99999
432,30200520000WB,26.5865,27.1336,,6,3,1.0,99999
433,30200520000WB,22.96,24.0809,,6,3,1.0,99999
434,30200520000WB,27.2189,27.7314,,6,3,1.0,99999
435,30200520000WB,25.7988,26.0922,,6,3,1.0,99999
436,30200520000WB,28.8097,29.1855,,6,3,1.0,99999
437,30200520000WB,26.0922,26.5865,,6,3,1.0,99999
438,30200520000WB,29.64,29.9202,,6,3,1.0,99999
439,30200520000WB,30.3539,30.84,,6,3,1.0,99999
440,30200520000WB,27.1336,27.2189,,6,3,1.0,99999
441,30200520000WB,22.4221,22.5014,,6,3,1.0,99999
442,30200520000WB,27.7314,27.8696,,6,3,1.0,99999
443,30200520000WB,28.4678,28.68,,6,3,1.0,99999
444,30200520000WB,29.9202,30.18,,6,3,1.0,99999
445,30200520000WB,22.5014,22.89,,6,3,1.0,99999
446,30200520000WB,22.0,22.182,,6,3,1.0,99999
447,30200520000WB,28.68,28.7613,,6,3,1.0,99999
448,30200520000WB,22.3157,22.4221,,6,3,1.0,99999
449,30200520000WB,25.73,25.7988,,6,3,1.0,99999
450,30200520000WB,21.7985,21.9068,,6,3,1.0,99999
451,30200520000WB,28.2849,28.4004,,6,3,1.0,99999
452,30200520000WB,29.5033,29.634,,6,3,1.0,99999
453,30200520000WB,29.3308,29.5033,,6,3,1.0,99999
454,30200520000WB,28.4004,28.4678,,6,3,1.0,99999
455,30200520000WB,30.18,30.3539,,6,3,1.0,99999
456,30200520000WB,22.182,22.2722,,6,3,1.0,99999
457,30200520000WB,21.7358,21.7985,,6,3,1.0,99999
458,30200520000WB,22.2722,22.3157,,6,3,1.0,99999
459,30200520000WB,24.0809,24.13,,6,3,1.0,99999
460,30200520000WB,22.89,22.96,,6,3,1.0,99999
461,30200520000WB,21.932,21.97,,6,3,1.0,99999
462,30200520000WB,29.231,29.2693,,6,3,1.0,99999
463,30200520000WB,21.97,22.0,,6,3,1.0,99999
