,RouteId,BeginPoint,EndPoint,LastOverlayThicknessVn,SampleId,SurfaceTypeVn
100,12200480000EB,2.1,2.2,,120480000000,3.0
101,12200480000EB,2.2,2.3,,120480000000,3.0
102,12200480000EB,2.4,2.5,,120480000000,3.0
103,12200480000EB,2.5,2.6,,120480000000,3.0
104,12200480000EB,2.7,2.8,,120480000000,3.0
105,12200480000EB,2.8,2.9,,120480000000,3.0
106,12200480000EB,3.2,3.3,,120480000000,3.0
107,12200480000EB,3.3,3.4,,120480000000,3.0
108,12200480000EB,5.2,5.293,,120480000000,3.0
109,12200480000EB,5.319,5.4,,120480000000,3.0
110,12200480000EB,4.4,4.434,,120480000000,3.0
111,12200480000EB,1.948,2.0,,120480000000,3.0
112,12200480000EB,1.54,1.6,,120480000000,3.0
113,12200480000EB,4.87,4.9,,120480000000,3.0
114,12200480000EB,1.311,1.365,,120480000000,3.0
115,12200480000EB,1.365,1.4,,120480000000,3.0
116,12200480000EB,2.919,2.963,,120480000000,3.0
117,12200480000EB,2.969,3.0,,120480000000,3.0
118,12200480000EB,5.8,5.82,,120480000000,3.0
119,12200480000EB,1.5,1.54,,120480000000,3.0
120,12200480000EB,1.678,1.7,,120480000000,3.0
121,12200480000EB,5.3015,5.319,,120480000000,3.0
122,12200480000EB,2.9,2.919,,120480000000,3.0
123,12200480000EB,5.293,5.3,,120480000000,3.0
124,12200480000EB,1.3,1.311,,120480000000,3.0
125,12200480000EB,2.963,2.969,,120480000000,3.0
126,12200480000EB,5.3,5.3015,,120480000000,3.0
127,1930009000000,2.9,3.0,,190090000145,3.0
128,1930009000000,2.6,2.7,,190090000145,3.0
129,1930009000000,2.7,2.8,,190090000145,3.0
130,1930009000000,2.8,2.9,,190090000145,3.0
131,1930009000000,3.0,3.1,,190090000145,3.0
132,1930009000000,3.1,3.1871,,190090000145,3.0
133,1930009000000,3.2,3.3,,190090000145,3.0
134,1930009000000,3.3,3.4,,190090000145,3.0
135,1930009000000,3.4,3.5,,190090000145,3.0
136,1930009000000,3.1871,3.2,,190090000145,3.0
137,1930009000000,11.2,11.3,,190090001091,3.0
138,1930009000000,10.91,11.0,,190090001091,3.0
139,1930009000000,11.0,11.1,,190090001091,3.0
140,1930009000000,11.1,11.2,,190090001091,3.0
141,1930009000000,11.3,11.4,,190090001091,3.0
142,1930009000000,11.4,11.4152,,190090001091,3.0
143,1930009000000,11.4152,11.418,,190090001091,3.0
144,1930009000000,14.5,14.6,,190090014435,6.0
145,1930009000000,14.6,14.7,,190090014435,6.0
146,1930009000000,14.7,14.792,,190090014435,6.0
147,1930009000000,14.8,14.9,,190090014435,6.0
148,1930009000000,14.435,14.5,,190090014435,6.0
149,1930009000000,14.9,14.96,,190090014435,6.0
150,1930009000000,14.792,14.8,,190090014435,6.0
151,19203400000NB,9.4,9.5,,193400000913,3.0
152,1930051000000,8.6669,8.7731,,190510008660,
153,19203400000NB,9.13,9.2,,193400000913,3.0
154,19203400000NB,9.2218,9.3,,193400000913,3.0
155,19203400000NB,9.3,9.38,,193400000913,3.0
156,19203400000NB,8.6,8.7,,193400000856,3.0
157,19203400000NB,8.8,8.9,,193400000856,3.0
158,1930009000000,3.5,3.6,,190090000145,3.0
159,1930009000000,3.7,3.8,,190090000145,3.0
160,1930009000000,3.8,3.9,,190090000145,3.0
161,1930009000000,5.0,5.1,,190090000497,3.0
162,1930009000000,5.1,5.2,,190090000497,3.0
163,1930009000000,5.2,5.3,,190090000497,3.0
164,1930009000000,5.3,5.4,,190090000497,3.0
165,1930009000000,5.4,5.5,,190090000497,3.0
166,1930009000000,5.5,5.6,,190090000497,3.0
167,1930009000000,5.6,5.7,,190090000497,3.0
168,1930009000000,5.7,5.8,,190090000497,3.0
169,1930009000000,5.9,6.0,,190090000497,3.0
170,1930009000000,6.0,6.1,,190090000497,3.0
171,1930009000000,6.1,6.176,,190090000497,3.0
172,1930009000000,6.2,6.3,,190090000497,3.0
173,19203400005SB,0.0,0.0396,,19340S000000,6.0
174,19203400000NB,9.2,9.2218,,193400000913,3.0
175,19203400000NB,8.56,8.6,,193400000856,3.0
176,19203400000NB,8.7,8.8,,193400000856,3.0
177,19203400005SB,0.0514,0.1,,19340S000000,6.0
178,1930009000000,5.8,5.8652,,190090000497,3.0
179,1930009000000,5.8652,5.9,,190090000497,3.0
180,1930009000000,6.3,6.35,,190090000497,3.0
181,19203400000NB,8.9,9.0,,193400000856,3.0
182,19203400000NB,9.0,9.0688,,193400000856,3.0
183,1930009000000,3.628,3.6662,,190090000145,3.0
184,19203400005SB,0.0396,0.0514,,19340S000000,6.0
185,19203400005SB,0.1201,0.1509,,19340S000000,3.0
186,19203400000NB,9.38,9.4,,193400000913,3.0
187,19203400000NB,9.1,9.13,,193400000856,3.0
188,19203400005SB,0.1,0.1201,,19340S000000,3.0
189,1930009000000,4.97,5.0,,190090000497,3.0
190,1930009000000,6.176,6.2,,190090000497,3.0
191,1930009000000,3.6,3.628,,190090000145,3.0
192,1930009000000,3.9,3.936,,190090000145,3.0
193,1930009000000,3.6662,3.6861,,190090000145,3.0
194,19203400005SB,0.1509,0.17,,19340S000000,3.0
195,19203400000NB,9.0688,9.1,,193400000856,3.0
196,1930051000000,8.7731,8.78,,190510008660,
197,1930051000000,8.66,8.6669,,190510008660,
198,1930009000000,3.6861,3.694,,190090000145,3.0
199,1930009000000,3.694,3.7,,190090000145,3.0
200,1930009000000,3.936,3.94,,190090000145,3.0
201,1930009000000,0.2,0.3,,190090000000,3.0
202,1930009000000,0.5,0.6,,190090000000,3.0
203,0230009000000,20.0,20.0607,,020090001818,3.0
204,1930009000000,0.6,0.7,,190090000000,3.0
205,0230009000000,17.1,17.2,,020090001707,3.0
206,0230009000000,17.2,17.3,,020090001707,3.0
207,0230009000000,18.2,18.3,,020090001818,3.0
208,0230009000000,18.3,18.4,,020090001818,3.0
209,0230009000000,18.4196,18.5,,020090001818,3.0
210,0230009000000,18.5,18.6,,020090001818,3.0
211,0230009000000,19.3248,19.4,,020090001818,3.0
212,0230009000000,19.4,19.5,,020090001818,3.0
213,0230009000000,19.5148,19.6,,020090001818,3.0
214,0230009000000,19.6,19.7,,020090001818,3.0
215,1930009000000,0.3,0.4,,190090000000,3.0
216,1930009000000,0.4,0.5,,190090000000,3.0
217,1930009000000,0.8,0.9,,190090000000,3.0
218,1930009000000,0.9,1.0,,190090000000,3.0
219,1930009000000,1.5,1.6,,190090000145,3.0
220,1930009000000,1.6,1.7,,190090000145,3.0
221,1930009000000,1.7001,1.8,,190090000145,3.0
222,1930009000000,2.0,2.1,,190090000145,3.0
223,0230009000000,18.6,18.7,,020090001818,3.0
224,0230009000000,18.7,18.8,,020090001818,3.0
225,0230009000000,18.8,18.9,,020090001818,3.0
226,0230009000000,18.9,19.0,,020090001818,3.0
227,0230009000000,19.0,19.1,,020090001818,3.0
228,0230009000000,19.1,19.2,,020090001818,3.0
229,0230009000000,19.2,19.3,,020090001818,3.0
230,0230009000000,19.8,19.9,,020090001818,3.0
231,0230009000000,19.9,20.0,,020090001818,3.0
232,1930009000000,0.0,0.1,,190090000000,3.0
233,1930009000000,0.1,0.2,,190090000000,3.0
234,1930009000000,2.1,2.2,,190090000145,3.0
235,1930009000000,2.2115,2.3,,190090000145,3.0
236,1930009000000,2.4,2.5,,190090000145,3.0
237,1930009000000,2.5,2.6,,190090000145,3.0
238,1930009000000,1.0,1.1,,190090000000,3.0
