,RouteId,BeginPoint,EndPoint,RouteNumber,FsystemVn,NhsVn,FacilityTypeVn,RouteSigning,DirThroughLanesVn,IriVn
208,06100640000WB,17.1,17.2,,1,1,6,,2,114
209,06100640000WB,17.5,17.6,,1,1,6,,2,170
210,06100640000WB,17.8,17.9,,1,1,6,,2,59
211,06100640000WB,18.6,18.7,,1,1,6,,2,101
212,06100640000WB,19.0,19.0878,,1,1,6,,2,62
213,06100640000WB,19.3,19.4,,1,1,6,,2,117
214,06100640000WB,18.2,18.3,,1,1,6,,2,95
215,06100640000WB,14.2,14.3,,1,1,6,,2,33
216,06100640000WB,14.4,14.5,,1,1,6,,2,49
217,06100640000WB,14.62,14.7,,1,1,6,,2,180
218,06100640000WB,14.8,14.9,,1,1,6,,2,164
219,06100640000WB,14.9,15.0,,1,1,6,,2,167
220,06100640000WB,15.0,15.1,,1,1,6,,2,197
221,06100640000WB,15.1,15.2,,1,1,6,,2,196
222,06100640000WB,15.2,15.3,,1,1,6,,2,147
223,06100640000WB,15.4,15.5,,1,1,6,,2,175
224,06100640000WB,15.5,15.6,,1,1,6,,2,155
225,06100640000WB,15.6,15.7,,1,1,6,,2,116
226,06100640000WB,15.8,15.9,,1,1,6,,2,121
227,06100640000WB,15.9,16.0,,1,1,6,,2,174
228,06100640000WB,16.1,16.2,,1,1,6,,2,139
229,06100640000WB,16.2,16.3,,1,1,6,,2,129
230,06100640000WB,16.3,16.4,,1,1,6,,2,104
231,06100640000WB,16.5,16.6,,1,1,6,,2,147
232,06100640000WB,16.6,16.7,,1,1,6,,2,183
233,06100640000WB,16.8,16.9,,1,1,6,,2,155
234,06100640000WB,16.9,17.0,,1,1,6,,2,138
235,06100640000WB,17.0,17.1,,1,1,6,,2,112
236,06100640000WB,17.3,17.4,,1,1,6,,2,117
237,06100640000WB,17.656,17.7,,1,1,6,,2,180
238,06100640000WB,17.7,17.8,,1,1,6,,2,131
239,06100640000WB,17.9029,18.0,,1,1,6,,2,132
240,06100640000WB,18.0,18.0718,,1,1,6,,2,151
241,06100640000WB,18.1,18.2,,1,1,6,,2,163
242,06100640000WB,18.7,18.8,,1,1,6,,2,100
243,06100640000WB,18.8,18.9,,1,1,6,,2,103
244,06100640000WB,18.9,19.0,,1,1,6,,2,52
245,06100640000WB,19.1,19.2,,1,1,6,,2,61
246,06100640000WB,19.2,19.2872,,1,1,6,,2,97
247,06100640000WB,18.4,18.485,,1,1,6,,2,174
248,06100640000WB,18.505,18.6,,1,1,6,,2,177
249,06100640000WB,19.4,19.5,,1,1,6,,2,108
250,06100640000WB,17.2,17.2314,,1,1,6,,2,114
251,06100640000WB,18.3,18.3428,,1,1,6,,2,73
252,06100640000WB,17.426,17.4775,,1,1,6,,2,177
253,06100640000WB,14.3,14.3659,,1,1,6,,2,34
254,06100640000WB,14.3659,14.4,,1,1,6,,2,34
255,06100640000WB,14.7,14.7748,,1,1,6,,2,151
256,06100640000WB,17.2314,17.3,,1,1,6,,2,114
257,06100640000WB,17.4,17.426,,1,1,6,,2,177
258,06100640000WB,18.3428,18.4,,1,1,6,,2,73
259,06100640000WB,14.539,14.5677,,1,1,6,,2,132
260,06100640000WB,14.6,14.62,,1,1,6,,2,180
261,06100640000WB,17.4775,17.5,,1,1,6,,2,177
262,06100640000WB,17.6,17.6259,,1,1,6,,2,180
263,06100640000WB,17.6259,17.656,,1,1,6,,2,180
264,06100640000WB,14.5,14.53,,1,1,6,,2,132
265,06100640000WB,14.7748,14.8,,1,1,6,,2,151
266,06100640000WB,18.0827,18.1,,1,1,6,,2,151
267,06100640000WB,14.142,14.1619,,1,1,6,,2,154
268,06100640000WB,14.17,14.2,,1,1,6,,2,154
269,06100640000WB,14.577,14.6,,1,1,6,,2,132
270,06100640000WB,18.485,18.5,,1,1,6,,2,174
271,06100640000WB,18.0718,18.0827,,1,1,6,,2,151
272,06100640000WB,19.0878,19.1,,1,1,6,,2,62
273,06100640000WB,19.2872,19.3,,1,1,6,,2,97
274,06100640000WB,14.1619,14.17,,1,1,6,,2,154
275,06100640000WB,14.5677,14.5769,,1,1,6,,2,132
276,06100640000WB,14.53,14.539,,1,1,6,,2,132
277,06100640000WB,18.5,18.505,,1,1,6,,2,177
278,06100640000WB,17.9,17.9029,,1,1,6,,2,132
279,06100640000WB,14.5769,14.577,,1,1,6,,2,132
280,20100770016SB,91.5,91.6,,1,1,6,,2,42
281,20100770000SB,95.9,96.0,,1,1,6,,2,129
282,20100770016SB,94.4379,94.5,,1,1,6,,2,107
283,20100770000SB,96.0,96.1,,1,1,6,,2,77
284,20100770016SB,89.3,89.4,,1,1,6,,2,77
285,20100770016SB,89.4,89.472,,1,1,6,,2,212
286,20100770016SB,89.5,89.6,,1,1,6,,2,91
287,20100770016SB,89.7264,89.8,,1,1,6,,2,51
288,20100770016SB,89.8,89.9,,1,1,6,,2,47
289,20100770016SB,90.0,90.1,,1,1,6,,2,43
290,20100770016SB,90.1,90.2,,1,1,6,,2,41
291,20100770016SB,90.2,90.2923,,1,1,6,,2,102
292,20100770016SB,90.3,90.4,,1,1,6,,2,74
293,20100770016SB,90.4,90.5,,1,1,6,,2,44
294,20100770016SB,90.5,90.6,,1,1,6,,2,43
295,20100770016SB,90.9,91.0,,1,1,6,,2,54
296,20100770016SB,91.0,91.1,,1,1,6,,2,157
297,20100770016SB,91.1,91.2,,1,1,6,,2,48
298,20100770016SB,91.2,91.3,,1,1,6,,2,37
299,20100770016SB,91.3,91.4,,1,1,6,,2,46
300,20100770016SB,91.4,91.5,,1,1,6,,2,47
301,20100770016SB,91.6,91.7,,1,1,6,,2,46
302,20100770016SB,91.7,91.8,,1,1,6,,2,57
303,20100770016SB,91.8,91.9,,1,1,6,,2,47
304,20100770016SB,91.9,92.0,,1,1,6,,2,68
305,20100770016SB,92.0,92.1,,1,1,6,,2,46
306,20100770016SB,92.1,92.2,,1,1,6,,2,49
307,20100770016SB,92.2,92.3,,1,1,6,,2,52
308,20100770016SB,92.3,92.4,,1,1,6,,2,44
309,20100770016SB,92.4,92.5,,1,1,6,,2,52
310,20100770016SB,92.5,92.6,,1,1,6,,2,61
311,20100770016SB,92.6,92.7,,1,1,6,,2,63
312,20100770016SB,92.7,92.8,,1,1,6,,2,65
313,20100770016SB,92.8,92.9,,1,1,6,,2,56
314,20100770016SB,92.9,93.0,,1,1,6,,2,47
315,20100770016SB,93.0,93.1,,1,1,6,,2,69
316,20100770016SB,93.1,93.2,,1,1,6,,2,49
317,20100770016SB,93.2,93.3,,1,1,6,,2,41
318,20100770016SB,93.3,93.4,,1,1,6,,2,37
319,20100770016SB,93.4,93.5,,1,1,6,,2,40
320,20100770016SB,93.5,93.6,,1,1,6,,2,48
321,20100770016SB,93.7,93.8,,1,1,6,,2,50
322,20100770016SB,93.8,93.9,,1,1,6,,2,36
323,20100770016SB,93.9,94.0,,1,1,6,,2,39
324,20100770016SB,94.0,94.0945,,1,1,6,,2,33
325,20100770016SB,90.81,90.9,,1,1,6,,2,87
