RouteID,BMP,EMP,29_HPMS_SAMPLE_NO
"42202190000NB",8.550000,8.740000,422190000855
"42202190000NB",8.740000,9.680000,422190000874
"42202190000NB",12.590000,15.890000,422190001259
"42202190000NB",15.890000,17.400000,422190001589
"42202190000NB",17.400000,19.150000,422190001740
"42202190000NB",19.150000,21.440000,422190001915
"42202190000NB",21.480000,21.670000,422190002148
"42202190000NB",27.850000,30.160000,422190002785
"42202190000NB",36.330000,37.870000,422190003633
"42202190000NB",42.360000,42.373000,422190004236
"1340060140000",6.250000,6.390000,130601400625
"3540007000000",0.000000,0.440000,350070000000
"5530016000000",1.730000,3.330000,550160000173
"5530016000000",6.420000,8.950000,550160000642
"5530016000000",10.990000,11.400000,550160001099
"5275515001900",0.000000,0.220000,520551500000
"31100680006EB",0.000000,0.890000,31068E000000
"1830002000000",0.000000,2.720000,180020000000
"1830002000000",2.760000,3.880000,180020000276
"1830002000000",10.860000,11.000000,180020001086
"1830002000000",11.140000,11.280000,180020001114
"0673274001900",1.460000,1.560000,060327400146
"3740001000000",3.020000,4.050000,370010000302
"40200350000NB",0.290000,0.650000,400350000029
"40200350000NB",1.360000,1.600000,400350000136
"40200350000NB",1.640000,2.060000,400350000164
"40200350000NB",2.100000,2.532000,400350000210
"20100770016NB",67.210000,74.170000,200770006721
"20100770016NB",74.360000,75.000000,200770007436
"20100770016NB",75.000000,77.460000,200770007500
"20100770016NB",77.510000,77.830000,200770007751
"20100770016NB",83.450000,84.420000,200770008345
"20100770016NB",84.420000,84.940000,200770008442
"20100770016NB",84.940000,86.680000,200770008494
"20100770016NB",86.680000,88.520000,200770008668
"20100770016NB",88.520000,89.180000,200770008852
"20100770016NB",89.180000,89.500000,200770008918
"20100770016NB",89.500000,93.310000,200770008950
"20100770016NB",93.310000,93.930000,200770009331
"20100770016NB",93.930000,94.430000,200770009393
"20100770016NB",94.430000,94.690000,200770009443
"20100770016NB",94.690000,94.960000,200770009469
"20100770016NB",94.960000,95.340000,200770009496
"0540507000000",0.000000,0.250000,055070000000
"0540507000000",0.250000,0.340000,055070000025
"0540507000000",0.620000,1.200000,055070000062
"5430095000000",3.770000,3.990000,540950000377
"5430095000000",4.200000,6.120000,540950000420
"5430095000000",6.120000,6.290000,540950000612
"5430095000000",6.440000,6.580000,540950000644
"16202200000NB",10.000000,10.530000,162200001000
"16202200000NB",10.530000,10.690000,160220001053
"16202200000NB",10.700000,11.700000,162200001070
"16202200000NB",11.800000,12.960000,162200001180
"31100790000NB",142.370000,143.810000,310790014237
