RouteID,BMP,EMP,29_HPMS_SAMPLE_NO,29_HPMS_SAMPLE_NO_april11
0830016000000,19.19,20.35,080160001919,080160001919
4272253001900,0,0.16,420225300000,420225300000
4272253001900,0.16,0.25,420225300016,420225300016
40200350000NB,0.29,0.65,400350000029,400350000029
40200350000NB,1.36,1.6,400350000136,400350000136
40200350000NB,1.64,2.06,400350000164,400350000164
40200350000NB,2.1,2.532,400350000210,400350000210
13202190000NB,2.57,4.79,132190000257,132190000257
13202190000NB,5.37,5.69,132190000537,132190000537
13202190000NB,5.69,6.03,132190000569,132190000569
13202190000NB,6.03,6.04,132190000603,132190000603
13202190000NB,6.04,6.39,132190000604,132190000604
13202190000NB,6.39,6.69,132190000639,132190000639
13202190000NB,6.69,7.11,132190000669,132190000669
13202190000NB,7.43,8.59,132190000743,132190000743
13202190000NB,8.59,9.06,132190000859,132190000859
13202190000NB,9.06,9.9,132190000906,132190000906
13202190000NB,10.01,10.85,132190001001,132190001001
13202190000NB,10.85,11.06,132190001085,132190001085
13202190000NB,11.06,11.26,132190001106,132190001106
13202190000NB,14.154,14.34,132190001416,132190001416
13202190000NB,14.34,14.45,132190001434,132190001434
13202190000NB,15.74,16.37,132190001574,132190001574
13202190000NB,21.34,21.86,132190002134,132190002134
13202190000NB,25.9,26.76,132190002590,132190002590
13202190000NB,26.76,26.97,132190002676,132190002676
13202190000NB,26.97,27.33,132190002697,132190002697
13202190000NB,27.33,29.72,132190002733,132190002733
13202190000NB,29.72,31.56,132190002972,132190002972
13202190000NB,31.56,34.22,132190003156,132190003156
1040061280000,0,0.59,100612800000,100612800000
31201190000NB,7.81,9.82,311190000781,311190000781
31201190000NB,11.9,12.06,311190001190,311190001190
31201190000NB,13.78,13.99,311190001378,311190001378
31201190000NB,13.99,14.1,311190001399,311190001399
31201190000NB,14.1,14.22,310119000141,310119000141
31201190000NB,14.42,14.62,311190001442,311190001442
31201190000NB,14.85,15.15,311190001485,311190001485
31201190000NB,15.72,16,311190001572,311190001572
31201190000NB,16.82,17.35,311190001682,311190001682
31201190000NB,17.44,18.2,311190001744,311190001744
31201190000NB,18.2,19.66,311190001820,311190001820
31201190000NB,19.66,20,310119001966,310119001966
31201190000NB,20,20.47,310119000020,310119000020
08100790000NB,36,39.91,080790003600,080790003600
08100790000NB,39.91,41.43,080790003991,080790003991
08100790000NB,41.43,44.6,080790004143,080790004143
30200520000EB,9.95,11.65,300520000995,300520000995
30200520000EB,20.68,20.78,300520002068,300520002068
30200520000EB,20.78,20.91,300520002078,300520002078
30200520000EB,21.06,21.95,300520002106,300520002106
30200520000EB,21.97,22.28,300052002197,300052002197
30200520000EB,26.08,26.53,300520002608,300520002608
30200520000EB,43.29,44.74,300520004329,300520004329
1540009000000,0,0.79,150090000000,150090000000
1730058000000,2.43,2.82,170580002430,170580002430
30200520004NB,0.096,0.39,30052N000096,30052N000096
0240001000000,8.14,9.32,020010000814,020010000814
1640010000000,4.6,5.8,160100000046,160100000046
1530002000000,0,0.1,150020000000,150020000000
1530002000000,0.1,0.28,150020000010,150020000010
1530002000000,0.28,0.56,150020000028,150020000028
1530002000000,1.49,2.3,150020000149,150020000149
1530002000000,2.3,2.66,150020000230,150020000230
1530002000000,2.66,3.03,150020000266,150020000266
1530002000000,3.91,4.68,150020000391,150020000391
1530002000000,4.69,6.69,150020000469,150020000469
1530002000000,10.33,10.56,150020001033,150020001033
1530002000000,10.8,11.14,150020001080,150020001080
1530002000000,11.14,11.45,150020001114,150020001114
1530002000000,12.89,13.84,150020001289,150020001289
1530002000000,16.52,17.44,150020001652,150020001652
1530002000000,17.55,18.12,150020001755,150020001755
1530002000000,19.71,20.25,150020001971,150020001971
5330014000000,19.34,20.71,530140001934,530140001934
2930972000000,0,1.48,299720000000,299720000000
2930972000000,1.48,2.19,299720000148,299720000148
46201190000NB,6.05,6.54,461190000605,461190000605
46201190000NB,8.59,9.32,461190000859,461190000859
2030214000000,8,8.12,202140000800,202140000800
2040025470000,0.1,0.36,200254700010,200254700010
2040025470000,0.36,0.57,200254700036,200254700036
1940009020000,0.2,0.35,190090200020,190090200020
2540054000000,0,0.183,250540000000,250540000000
4640044000000,0.24,0.73,460440000240,460440000240
4640044000000,0.76,1.76,460440000076,460440000076
4640044000000,1.92,2.03,460440001920,460440001920
09200500000EB,0,3.98,090500000000,090500000000
09200500000EB,3.98,5.61,090500000398,090500000398
09200500000EB,5.63,6.54,090500000563,090500000563
09200500000EB,8.26,8.8,090500000826,090500000826
09200500000EB,8.8,9.75,090500000880,090500000880
09200500000EB,9.75,11.01,090500000975,090500000975
09200500000EB,11.43,12.1,090500011430,090500011430
09200500000EB,12.1,12.96,090500012100,090500012100
09200500000EB,17.75,18.87,090500001775,090500001775
50100640000EB,0,1.25,500640000000,500640000000
50100640000EB,1.25,1.29,500640000125,500640000125
50100640000EB,1.29,1.66,500640000129,500640000129
50100640000EB,1.66,2.17,500640000166,500640000166
50100640000EB,2.17,2.75,500640000217,500640000217
50100640000EB,2.75,4.22,500640000275,500640000275
50100640000EB,4.22,5.29,500640000422,500640000422
50100640000EB,5.29,5.87,500640000529,500640000529
3140061040000,0,0.25,310061040000,310061040000
3140061040000,0.45,0.91,310610400045,310610400045
1930051000000,8.13,8.66,190510000813,190510000813
1930051000000,8.66,8.78,190510008660,190510008660
2740001040000,1.647,1.65,270010401647,270010401647
3174770001900,0,0.4,310477000000,310477000000
3174770001900,0.4,0.44,317700000040,317700000040
1630055000000,35.57,36.3,160550003557,160550003557
1540005000000,1.86,3.674,150050000185,150050000185
4030025000000,0,0.63,400250000000,400250000000
5440004000000,0.57,0.93,540040000059,540040000059
35202500010SB,0,0.64,35250SB00000,35250SB00000
4140018000000,2.99,3,410180002990,410180002990
4140018000000,3,3.51,410180003000,410180003000
4140018000000,3.51,4.41,410180003510,410180003510
28100770016NB,8.98,9.19,280770000898,280770000898
28100770016NB,9.19,9.5,280770000919,280770000919
28100770016NB,9.5,9.79,280770000950,280770000950
28100770016NB,9.79,11.25,280770000979,280770000979
28100770016NB,11.44,12.16,280770001144,280770001144
28100770016NB,12.16,13.43,280770001216,280770001216
28100770016NB,13.74,14.006,280770001374,280770001374
28100770016NB,14.77,15.54,280077T01477,280077T01477
28100770016NB,20.09,27.17,280770002009,280770002009
0640060050000,0,0.88,060600500000,060600500000
0640060050000,0.88,1.68,060600500088,060600500088
0640060050000,1.68,1.97,060600500168,060600500168
0673263001900,0,0.26,060326300000,060326300000
0673263001900,0.26,0.48,060326300026,060326300026
2776503001900,0,0.23,270650300000,270650300000
5430047000000,0.45,0.56,540470000045,540470000045
15200300000EB,1.543,2.38,150300001543,150300001543
2870514001900,0,0.6,280051400000,280051400000
2870514001900,0.6,1.41,280051400060,280051400060
2870514001900,1.41,1.52,280051400141,280051400141
4170016001900,0.72,0.9,410001600072,410001600072
5275502001900,0.11,0.3,520550200110,520550200110
2240012000000,4.91,5.18,220120000491,220120000491
5475762001900,1.16,1.47,540576200116,540576200116
5275515001900,0,0.22,520551500000,520551500000
0540008000000,0,0.75,050080000000,050080000000
0140046010000,0,1.62,010460100000,010460100000
2840021010000,0,0.89,280210100000,280210100000
1730020002300,0,0.13,17020C000000,17020C000000
5475769001900,0,0.34,540576900000,540576900000
2040012000000,0,2.55,200120000000,200120000000
2040012000000,3.6,4.14,200120000360,200120000360
2040012000000,4.55,5.1,200120000457,200120000457
1030061000000,0,1.12,100610000000,100610000000
1030061000000,8.74,9.33,100610000874,100610000874
1030061000000,22.53,25.56,100610002253,100610002253
0240011190000,0,0.31,020111900000,020111900000
2040160070000,0,0.27,201600700000,201600700000
2040160070000,0.27,0.51,201600700027,201600700027
4970753001900,0.26,0.44,490075300026,490075300026
12202200000NB,4.41,5.14,122200000441,122200000441
5240002090000,0,0.19,520020900000,520020900000
20300610006EB,0,0.19,20061E000000,20061E000000
4130054000000,2.48,4.86,410540000248,410540000248
4130054000000,4.86,5.72,410540000486,410540000486
4130054000000,6.35,6.54,410540000635,410540000635
4130054000000,6.54,7.1,410540000654,410540000654
4130054000000,7.1,7.41,410540000710,410540000710
4130054000000,7.41,8.84,410540000741,410540000741
4130054000000,10.14,10.33,410540010140,410540010140
50200600000EB,0,0.24,500600000000,500600000000
50200600000EB,0.49,0.72,500600000049,500600000049
50200600000EB,1.13,1.83,500600000113,500600000113
50200600000EB,3.79,4.04,500600000379,500600000379
50200600000EB,4.04,4.39,500600000404,500600000404
1740012000000,0.14,0.9,170120000015,170120000015
2040006150000,0,0.04,200061500000,200061500000
2040006150000,0.12,0.17,200061500012,200061500012
1740024000000,4.78,5.67,170240004780,170240004780
1730020000000,7.22,7.414,170200000722,170200000722
3540018030000,0,0.61,350180300000,350180300000
3540018030000,0.61,1.15,350180300061,350180300061
3540018030000,1.75,2.03,350180300175,350180300175
5040060050000,0,0.18,500600500000,500600500000
0540007010000,0,0.84,050070100000,050070100000
0540007010000,0.84,1.99,050070100084,050070100084
0274252001900,0,0.64,020425200000,020425200000
5240003000000,0.15,0.28,520030000015,520030000015
4940007000000,0.22,0.423,490070000022,490070000022
0230045000000,14.39,14.52,020450001439,020450001439
0230045000000,14.52,14.85,020450001452,020450001452
0230045000000,14.85,15.31,020450001485,020450001485
0230045000000,17.53,18.23,020450001753,020450001753
0230045000000,19.08,19.61,020450001908,020450001908
10100770016NB,52.58,53.06,100770005258,100770005258
10100770016NB,53.06,54.13,100770005306,100770005306
10100770016NB,54.13,55.02,100770005413,100770005413
10100770016NB,55.02,58.32,100770005502,100770005502
10100770016NB,58.32,59.62,100770005832,100770005832
10100770016NB,59.62,61.6,100770005962,100770005962
10100770016NB,62.73,66.15,100770006273,100770006273
10100770016NB,66.15,67.21,100770006615,100770006615
0540001080000,0.81,0.95,050010800081,050010800081
0540001080000,0.95,1.45,050010800095,050010800095
0540001080000,1.9,2.41,050010800190,050010800190
0673295001900,0,1.08,060329500000,060329500000
5440014160000,0.18,0.86,540141600019,540141600019
5440014160000,0.86,1.23,540141600086,540141600086
5440014160000,2.89,3.83,540141600289,540141600289
2140007000000,3.84,4.17,210070000384,210070000384
41200190023EB,0,0.033,41019C000000,41019C000000
41200190023EB,0.033,0.034,41019C000003,41019C000003
41200190023EB,0.034,1.1,410190000034,410190000034
41200190023EB,1.1,1.36,410190001100,410190001100
4940151000000,0,0.24,491510000000,491510000000
4940151000000,0.34,0.64,491510000034,491510000034
4940151000000,1.13,1.6,491510000113,491510000113
3578281001900,0.21,0.34,350828100021,350828100021
3540018010000,0,0.06,350180100000,350180100000
2840019290000,2.54,3.32,280192900254,280192900254
3174807001900,0,0.4,310480700000,310480700000
4240025030000,0,0.005,420250300000,420250300000
5475760001900,0,0.21,540576000000,540576000000
5475760001900,0.21,0.24,540576000021,540576000021
02200110000NB,5.24,6.05,020110000524,020110000524
02200110000NB,13.65,13.78,020011001365,020011001365
02200110000NB,14.51,14.64,020110001451,020110001451
02200110000NB,16.48,17.51,020110001648,020110001648
02200110000NB,24.71,24.97,020110002471,020110002471
5475756001900,0,0.25,540575600000,540575600000
10200190000NB,0,1.02,100190000000,100190000000
10200190000NB,2.85,3.82,100190000285,100190000285
10200190000NB,3.89,6.16,100190000389,100190000389
10200190000NB,6.16,6.66,100190000616,100190000616
10200190000NB,6.66,8.23,100190000666,100190000666
10200190000NB,14.64,15.627,100190001464,100190001464
2040038000000,0,2.43,200380000000,200380000000
0130020000000,0,2.15,010200000000,010200000000
1330063000000,6.06,7.63,130630000606,130630000606
5040001000000,2.16,2.29,500010000216,500010000216
35100700000EB,0.08,0.49,350700000008,350700000008
35100700000EB,0.49,0.85,350700000049,350700000049
35100700000EB,0.85,1.23,350700000085,350700000085
35100700000EB,1.44,1.92,350700000144,350700000144
35100700000EB,1.92,2.19,350700000192,350700000192
35100700000EB,2.43,4.7,350700000243,350700000243
35100700000EB,4.7,5.37,350700000470,350700000470
35100700000EB,5.37,5.93,350700000537,350700000537
35100700000EB,5.93,6.9,350700000593,350700000593
35100700000EB,6.9,8.07,350700000690,350700000690
35100700000EB,8.07,10.75,350700000807,350700000807
35100700000EB,10.75,11.06,350700001075,350700001075
35100700000EB,11.06,11.761,350700001106,350700001106
35100700000EB,11.761,14.45,350070011761,350070011761
1130005000000,10.83,12.51,110050001083,110050001083
1130005000000,14.58,14.89,110050001458,110050001458
0530027000000,1.58,2.26,050270000158,050270000158
41200190000NB,0,2.17,410190000000,410190000000
41200190000NB,2.17,6.47,410190000217,410190000217
41200190000NB,16.669,16.925,410190016669,410190016669
41200190000NB,17.18,17.95,410190001718,410190001718
41200190000NB,18.31,18.41,410190001831,410190001831
41200190000NB,18.41,18.64,410190001841,410190001841
41200190000NB,18.64,19.33,410190001864,410190001864
41200190000NB,19.8,21.61,410190001980,410190001980
41200190000NB,23.31,24.09,410190002331,410190002331
5440047040000,0,0.23,540470400000,540470400000
5440047040000,0.23,0.93,540470400230,540470400230
5440047040000,0.93,2.86,540470400930,540470400930
2340210250000,6.078,6.546,230100014782,230100014782
2340210250000,8.08,8.09,230100001677,
2340210250000,8.09,8.78,230100001677,230100001677
2340210250000,8.78,9.08,230100001746,230100001746
2340210250000,9.08,9.53,230100001776,230100001776
2340210250000,10.07,10.72,230100001876,230100001876
1040009000000,4.52,4.528,100090000452,100090000452
5140003000000,8.08,10.38,510030000801,510030000801
1040018230000,0,0.44,100182300000,100182300000
3174813001900,0,1.24,310481300000,310481300000
0440032000000,6.27,6.5,040320000627,040320000627
4240219420000,0,0.21,422194200000,422194200000
5440016000000,0,0.5,540160000000,540160000000
5440016000000,0.5,0.9,540160000050,540160000050
5440016000000,0.9,1.12,540160000090,540160000090
5440016000000,1.21,1.47,54400160000,54400160000
5475780001900,0,0.12,540578000000,540578000000
1771761001900,0,0.26,170176100000,170176100000
1771761001900,0.31,0.61,170176100031,170176100031
5530010000000,24.14,24.38,550100002414,550100002414
0330085000000,10.67,13.13,030850001067,030850001067
0330085000000,34.05,34.35,030850003405,030850003405
1340037120000,0,0.14,130371200000,130371200000
3630028000000,24.07,25.57,360280002407,360280002407
2540250320000,2.05,2.49,252503200205,252503200205
3540040010000,0.85,1.08,350400100085,350400100085
35300020005SB,0.49,0.81,35002S000049,35002S000049
2870513001900,0,0.37,280051300000,280051300000
2940008000000,0,0.24,290080000000,290080000000
1530105000000,0.38,1.14,151050000038,151050000038
1530105000000,1.14,3.27,151050000114,151050000114
1530105000000,3.27,4.14,151050000327,151050000327
1530105000000,4.14,4.26,150105000414,150105000414
1530105000000,4.26,4.58,151050000426,151050000426
1530105000000,4.58,4.82,151050000458,151050000458
4140006000000,0,0.14,410060000000,410060000000
4140006000000,0.91,1.13,410060000091,410060000091
2030114000000,0.5,1.44,201140000050,201140000050
3930072000000,18.42,20.44,390720001842,390720001842
44200330000EB,4.33,5.61,440330000433,440330000433
44200330000EB,6.75,9.1,440330000675,440330000675
44200330000EB,15.77,17.73,440330001577,440330001577
0240051070000,2.28,3.56,020510702280,020510702280
2930028000100,0,0.54,29028A000000,29028A000000
2930028000100,0.54,1.03,29028A000054,29028A000054
2930028000100,1.03,2.05,29028A000103,29028A000103
2930028000100,2.05,2.31,29028A000205,29028A000205
2930028000100,2.42,2.63,29028A000242,29028A000242
2930028000100,2.63,2.97,29028A000263,29028A000263
1040019020000,0,0.82,100190200000,100190200000
1730131000000,4.33,5.47,171310000433,171310000433
3530088000000,0,1.06,350880000000,350880000000
3530088000000,7.12,7.47,350880000712,350880000712
3530088000000,7.77,8.5,350880000777,350880000777
3530088000000,8.57,8.89,350880000857,350880000857
3530088000000,8.89,10.06,350880000889,350880000889
3530088000000,10.06,10.16,350880001006,350880001006
0540027040000,0,0.13,050270400000,050270400000
0540027040000,0.44,0.84,050270400440,050270400440
20100790000NB,0,0.81,200790000000,200790000000
20100790000NB,0.81,1.95,200790000081,200790000081
20100790000NB,1.95,2.24,200790000195,200790000195
20100790000NB,2.24,3.51,200079000224,200079000224
20100790000NB,3.51,4.51,200079000351,200079000351
20100790000NB,4.51,5.42,200790000451,200790000451
20100790000NB,5.42,5.56,200790000542,200790000542
20100790000NB,5.56,6.12,200790000556,200790000556
20100790000NB,6.82,7.19,200790000682,200790000682
20100790000NB,7.19,7.476,200790000719,200790000719
20100790000NB,9.97,10.64,200790000997,200790000997
20100790000NB,10.64,16.04,200790001064,200790001064
20100790000NB,16.04,19.22,200790001604,200790001604
20100790000NB,19.22,20.62,200790001922,200790001922
20100790000NB,20.62,21.28,200790002062,200790002062
5475759001900,0,0.48,540575900000,540575900000
4240011000000,2.48,2.491,420110000248,420110000248
0240045050000,0.55,1.25,020450500055,020450500055
1030061000100,0,0.16,10061A000000,10061A000000
2540064020000,0,0.24,250640200000,250640200000
29202200000NB,12.61,13.26,292200001261,292200001261
29202200000NB,13.78,13.96,292200001378,292200001378
2030622000000,1.96,2.13,206220000196,206220000196
2030622000000,2.13,2.23,206220002130,206220002130
2030622000000,2.32,2.72,206220000232,206220000232
2030622000000,2.72,3.79,206220000272,206220000272
2030622000000,4.23,5.57,206220000423,206220000423
2030622000000,13.94,16.86,206220001394,206220001394
0673288001900,0.78,0.89,060328800078,060328800078
1230093000000,2.36,2.98,120930000236,120930000236
1230093000000,3.77,4.05,120930000377,120930000377
1230093000000,9.6,9.71,120930000960,120930000960
1230093000000,9.71,13.45,120930000971,120930000971
1230093000000,13.45,15.85,120930001345,120930001345
1230093000000,15.85,18.046,120930001585,120930001585
0640060700000,0,0.18,060607000000,060607000000
0640060700000,0.18,0.56,060607000018,060607000018
0640060700000,0.56,0.76,060607000056,060607000056
47300320005SB,0.04,0.19,47032S000004,47032S000004
2776504001900,0,0.14,270650400000,270650400000
0240036010000,1.6,1.98,020360100160,020360100160
1577269001900,0.65,0.97,150726900065,150726900065
2040114010000,0,1.07,201140100000,201140100000
4130016000000,8.47,9.485,410160000847,410160000847
4130016000000,9.485,9.8,410160009485,410160009485
4130016000000,12,14.12,410160001200,410160001200
4130016000000,14.42,14.72,410160001442,410160001442
4130016000000,14.72,15.08,410160001472,410160001472
4130016000000,15.08,15.61,410160015080,410160015080
4130016000000,15.65,15.81,410160001565,410160001565
4130016000000,18.53,18.82,410160001853,410160001853
4130016000000,18.82,18.96,410160001882,410160001882
4130016000000,18.96,19.79,410160001896,410160001896
1577271001900,0.4,1.18,150727100040,150727100040
2572520001900,1.04,1.81,250252000104,250252000104
2572520001900,1.88,2,250252000188,250252000188
0240013000000,0.43,1.03,020130000043,020130000043
0240013000000,1.03,1.5,020130000103,020130000103
0240013000000,2.75,3.716,020130000275,020130000275
4240031000000,0,1.81,420310000181,420310000181
0140024000000,1.64,2.79,010240000164,010240000164
0140024000000,2.79,4.74,010240000279,010240000279
2040060280000,0,0.55,200602800000,200602800000
1930009000000,0,1.45,190090000000,190090000000
1930009000000,1.45,3.94,190090000145,190090000145
1930009000000,4.97,6.35,190090000497,190090000497
1930009000000,10.91,11.418,190090001091,190090001091
1930009000000,14.435,14.96,190090014435,190090014435
3140073730000,0,0.58,310737300000,310737300000
5475767001900,0,0.24,540576700000,540576700000
5475767001900,0.88,1.08,540576700088,540576700088
5475767001900,1.25,1.46,540576700125,540576700125
5475757001900,0.33,0.47,540575700330,540575700330
0673289001900,1.72,2.02,060328900172,060328900172
0740004000000,0,0.67,070040000000,070040000000
5475772001900,0.44,1.25,540577200044,540577200044
0640017000000,0,1.577,060170000000,060170000000
0640017000000,4.05,4.17,060170000405,060170000405
0640017000000,4.3,4.41,060170000430,060170000430
0640017000000,4.47,5.02,060170000447,060170000447
5040008000000,0,0.45,500080000000,500080000000
1640010030000,0,0.21,160100000021,160100000021
55200520000EB,0,1.4,550520000000,550520000000
55200520000EB,4.78,7.65,550520000478,550520000478
55200520000EB,7.65,8.34,550520000765,550520000765
2140015000000,2.36,4.01,210150000236,210150000236
3430020000000,28.29,29.07,340200028290,340200028290
21100790000NB,83.55,87.45,210790008355,210790008355
21100790000NB,87.45,90.82,210790008745,210790008745
21100790000NB,90.82,96.17,210790009082,210790009082
21100790000NB,96.17,97.13,210790009617,210790009617
21100790000NB,97.13,98.287,210790009713,210790009713
21100790000NB,98.4,98.63,210790009840,210790009840
21100790000NB,98.63,98.925,210790009863,210790009863
21100790000NB,100.39,101.69,210790010039,210790010039
21100790000NB,101.69,104.15,210790010169,210790010169
21100790000NB,104.15,104.69,210790010415,210790010415
21100790000NB,104.69,106.42,210790010469,210790010469
2540072020000,0,0.5,250720200000,250720200000
2540072020000,0.5,0.72,250720200050,250720200050
2540072020000,0.72,1.17,250720200072,250720200072
2540072020000,1.17,1.71,250720200117,250720200117
2540072020000,1.76,1.93,250720200176,250720200176
0540028000000,0,0.198,050280000000,050280000000
3140068070000,0.25,0.75,310680700025,310680700025
3140068070000,0.75,1.32,310680700075,310680700075
3140068070000,1.61,2.15,310680700161,310680700161
2330044000000,16.02,17.07,230440001602,230440001602
5430095000000,3.77,3.99,540950000377,540950000377
5430095000000,4.2,6.12,540950000420,540950000420
5430095000000,6.12,6.29,540950000612,540950000612
5430095000000,6.44,6.58,540950000644,540950000644
5440050380000,0,2.13,540503800000,540503800000
5040003020000,0,0.64,500030200000,500030200000
5040003020000,0.64,1.25,500030200064,500030200064
2430016000000,0.06,1.73,240160000006,240160000006
2430016000000,4.05,6.18,240160000405,240160000405
2430016000000,9.47,10.14,240160000947,240160000947
