StateId,RouteId,BeginPoint,EndPoint,DataItem,BeginDate,LAST_OVERLAY_THICKNESS_VN,LAST_OVERLAY_THICKNESS_VT,LAST_OVERLAY_THICKNESS_VD,Comments,ReportDate,EndDate,SectionLength,ProcessId,IsWarning,IsApproved
54,0230009000000,4.9,6.17,LAST_OVERLAY_THICKNESS,1/1/2022 12:00:00 AM,1.5,,,New 2021,6/1/2023 2:41:09 PM,12/31/9999 12:00:00 AM,1.27,9ba093cb-f840-4b28-a250-88014970859b,,
54,0230009000000,6.17,6.27,LAST_OVERLAY_THICKNESS,1/1/2022 12:00:00 AM,1.5,,,same as 2020,6/1/2023 2:41:09 PM,12/31/9999 12:00:00 AM,0.1,9ba093cb-f840-4b28-a250-88014970859b,,
54,0230009000000,6.47,7.58,LAST_OVERLAY_THICKNESS,1/1/2022 12:00:00 AM,1.5,,,same as 2020,6/1/2023 2:41:09 PM,12/31/9999 12:00:00 AM,1.11,9ba093cb-f840-4b28-a250-88014970859b,,
54,0230009000000,10.52,10.84,LAST_OVERLAY_THICKNESS,1/1/2022 12:00:00 AM,1.5,,,same as 2020,6/1/2023 2:41:09 PM,12/31/9999 12:00:00 AM,0.32,9ba093cb-f840-4b28-a250-88014970859b,,
54,0230009000000,10.84,11.15,LAST_OVERLAY_THICKNESS,1/1/2022 12:00:00 AM,2.0,,,same as 2020,6/1/2023 2:41:09 PM,12/31/9999 12:00:00 AM,0.31,9ba093cb-f840-4b28-a250-88014970859b,,
54,0230009000000,14.55,14.9,LAST_OVERLAY_THICKNESS,1/1/2022 12:00:00 AM,1.0,,,same as 2020,6/1/2023 2:41:09 PM,12/31/9999 12:00:00 AM,0.35,9ba093cb-f840-4b28-a250-88014970859b,,
54,0230009000000,15.57,15.79,LAST_OVERLAY_THICKNESS,1/1/2022 12:00:00 AM,1.0,,,same as 2020,6/1/2023 2:41:09 PM,12/31/9999 12:00:00 AM,0.22,9ba093cb-f840-4b28-a250-88014970859b,,
54,0230009000000,15.79,16.09,LAST_OVERLAY_THICKNESS,1/1/2022 12:00:00 AM,1.0,,,same as 2020,6/1/2023 2:41:09 PM,12/31/9999 12:00:00 AM,0.3,9ba093cb-f840-4b28-a250-88014970859b,,
54,0230009000000,6.381,6.47,LAST_OVERLAY_THICKNESS,1/1/2022 12:00:00 AM,1.5,,,same as 2020,6/1/2023 2:41:09 PM,12/31/9999 12:00:00 AM,0.089,9ba093cb-f840-4b28-a250-88014970859b,,
54,0230009000000,7.584,9.95,LAST_OVERLAY_THICKNESS,1/1/2022 12:00:00 AM,1.5,,,same as 2020,6/1/2023 2:41:09 PM,12/31/9999 12:00:00 AM,2.366,9ba093cb-f840-4b28-a250-88014970859b,,
54,0230045000000,13.355,13.76,LAST_OVERLAY_THICKNESS,1/1/2022 12:00:00 AM,2.0,,,same as 2020,6/1/2023 2:41:09 PM,12/31/9999 12:00:00 AM,0.405,9ba093cb-f840-4b28-a250-88014970859b,,
54,0230045000000,14.39,14.52,LAST_OVERLAY_THICKNESS,1/1/2022 12:00:00 AM,2.0,,,same as 2020,6/1/2023 2:41:09 PM,12/31/9999 12:00:00 AM,0.13,9ba093cb-f840-4b28-a250-88014970859b,,
54,0230045000000,14.52,14.85,LAST_OVERLAY_THICKNESS,1/1/2022 12:00:00 AM,2.0,,,same as 2020,6/1/2023 2:41:09 PM,12/31/9999 12:00:00 AM,0.33,9ba093cb-f840-4b28-a250-88014970859b,,
54,0230045000000,14.85,15.31,LAST_OVERLAY_THICKNESS,1/1/2022 12:00:00 AM,2.0,,,same as 2020,6/1/2023 2:41:09 PM,12/31/9999 12:00:00 AM,0.46,9ba093cb-f840-4b28-a250-88014970859b,,
