StateId,RouteId,BeginPoint,EndPoint,DataItem,BeginDate,THICKNESS_RIGID_VN,THICKNESS_RIGID_VT,THICKNESS_RIGID_VD,Comments,ReportDate,EndDate,SectionLength,ProcessId,IsWarning,IsApproved
54,41100640000EB,120.69,122.62,THICKNESS_RIGID,1/1/2022 12:00:00 AM,11.0,,,New 2021,6/2/2023 1:11:35 AM,12/31/9999 12:00:00 AM,1.93,a346ebf5-d312-4e54-9523-cc8ffaba8031,,
54,41100640000EB,122.71,122.9,THICKNESS_RIGID,1/1/2022 12:00:00 AM,11.0,,,same as 2020,6/2/2023 1:11:35 AM,12/31/9999 12:00:00 AM,0.19,a346ebf5-d312-4e54-9523-cc8ffaba8031,,
54,41100640000EB,122.9,123.0,THICKNESS_RIGID,1/1/2022 12:00:00 AM,11.0,,,same as 2020,6/2/2023 1:11:35 AM,12/31/9999 12:00:00 AM,0.1,a346ebf5-d312-4e54-9523-cc8ffaba8031,,
54,41100640000EB,123.0,123.18,THICKNESS_RIGID,1/1/2022 12:00:00 AM,11.0,,,same as 2020,6/2/2023 1:11:35 AM,12/31/9999 12:00:00 AM,0.18,a346ebf5-d312-4e54-9523-cc8ffaba8031,,
54,41100640000EB,123.63,124.47,THICKNESS_RIGID,1/1/2022 12:00:00 AM,11.0,,,same as 2020,6/2/2023 1:11:35 AM,12/31/9999 12:00:00 AM,0.84,a346ebf5-d312-4e54-9523-cc8ffaba8031,,
54,41100640000EB,126.65,127.58,THICKNESS_RIGID,1/1/2022 12:00:00 AM,11.0,,,same as 2020,6/2/2023 1:11:35 AM,12/31/9999 12:00:00 AM,0.93,a346ebf5-d312-4e54-9523-cc8ffaba8031,,
54,41100640000EB,132.0,132.53,THICKNESS_RIGID,1/1/2022 12:00:00 AM,11.0,,,same as 2020,6/2/2023 1:11:35 AM,12/31/9999 12:00:00 AM,0.53,a346ebf5-d312-4e54-9523-cc8ffaba8031,,
54,41100640000EB,132.84,137.48,THICKNESS_RIGID,1/1/2022 12:00:00 AM,11.0,,,same as 2020,6/2/2023 1:11:35 AM,12/31/9999 12:00:00 AM,4.64,a346ebf5-d312-4e54-9523-cc8ffaba8031,,
54,41100640000EB,137.48,138.01,THICKNESS_RIGID,1/1/2022 12:00:00 AM,11.0,,,same as 2020,6/2/2023 1:11:35 AM,12/31/9999 12:00:00 AM,0.53,a346ebf5-d312-4e54-9523-cc8ffaba8031,,
54,42200330000EB,7.76,8.05,THICKNESS_RIGID,1/1/2022 12:00:00 AM,4.0,,,not all covered,6/2/2023 1:11:35 AM,12/31/9999 12:00:00 AM,0.29,a346ebf5-d312-4e54-9523-cc8ffaba8031,,
54,4130307000000,7.42,8.45,THICKNESS_RIGID,1/1/2022 12:00:00 AM,11.0,,,same as 2020,6/2/2023 1:11:35 AM,12/31/9999 12:00:00 AM,1.03,a346ebf5-d312-4e54-9523-cc8ffaba8031,,
