StateId,RouteId,BeginPoint,EndPoint,DataItem,BeginDate,TURN_LANES_L_VN,TURN_LANES_L_VT,TURN_LANES_L_VD,Comments,ReportDate,EndDate,SectionLength,ProcessId,IsWarning,IsApproved
54,02200110000NB,13.65,13.78,TURN_LANES_L,1/1/2022 12:00:00 AM,1.0,,,,5/16/2023 5:58:53 PM,12/31/9999 12:00:00 AM,0.13,003ada0a-69f8-4d2e-8b81-c727bc1e92c0,,
54,02200110000NB,14.51,14.64,TURN_LANES_L,1/1/2022 12:00:00 AM,5.0,,,,5/16/2023 5:58:53 PM,12/31/9999 12:00:00 AM,0.13,003ada0a-69f8-4d2e-8b81-c727bc1e92c0,,
54,02200110000NB,16.48,17.51,TURN_LANES_L,1/1/2022 12:00:00 AM,4.0,,,,5/16/2023 5:58:53 PM,12/31/9999 12:00:00 AM,1.03,003ada0a-69f8-4d2e-8b81-c727bc1e92c0,,
54,02200110000NB,24.71,24.97,TURN_LANES_L,1/1/2022 12:00:00 AM,5.0,,,,5/16/2023 5:58:53 PM,12/31/9999 12:00:00 AM,0.26,003ada0a-69f8-4d2e-8b81-c727bc1e92c0,,
54,0230009000000,0.35,1.45,TURN_LANES_L,1/1/2022 12:00:00 AM,5.0,,,,5/16/2023 5:58:52 PM,12/31/9999 12:00:00 AM,1.1,003ada0a-69f8-4d2e-8b81-c727bc1e92c0,,
54,0230009000000,1.45,2.2,TURN_LANES_L,1/1/2022 12:00:00 AM,5.0,,,,5/16/2023 5:58:53 PM,12/31/9999 12:00:00 AM,0.75,003ada0a-69f8-4d2e-8b81-c727bc1e92c0,,
54,0230009000000,4.81,6.17,TURN_LANES_L,1/1/2022 12:00:00 AM,5.0,,,,5/16/2023 5:58:53 PM,12/31/9999 12:00:00 AM,1.36,003ada0a-69f8-4d2e-8b81-c727bc1e92c0,,
54,0230009000000,6.17,6.27,TURN_LANES_L,1/1/2022 12:00:00 AM,5.0,,,,5/16/2023 5:58:53 PM,12/31/9999 12:00:00 AM,0.1,003ada0a-69f8-4d2e-8b81-c727bc1e92c0,,
54,0230009000000,6.381,6.47,TURN_LANES_L,1/1/2022 12:00:00 AM,5.0,,,,5/16/2023 5:58:53 PM,12/31/9999 12:00:00 AM,0.089,003ada0a-69f8-4d2e-8b81-c727bc1e92c0,,
54,0230009000000,6.47,7.58,TURN_LANES_L,1/1/2022 12:00:00 AM,4.0,,,,5/16/2023 5:58:53 PM,12/31/9999 12:00:00 AM,1.11,003ada0a-69f8-4d2e-8b81-c727bc1e92c0,,
54,0230009000000,7.584,9.95,TURN_LANES_L,1/1/2022 12:00:00 AM,2.0,,,,5/16/2023 5:58:53 PM,12/31/9999 12:00:00 AM,2.366,003ada0a-69f8-4d2e-8b81-c727bc1e92c0,,
54,0230009000000,10.12,10.37,TURN_LANES_L,1/1/2022 12:00:00 AM,4.0,,,,5/16/2023 5:58:52 PM,12/31/9999 12:00:00 AM,0.25,003ada0a-69f8-4d2e-8b81-c727bc1e92c0,,
54,0230009000000,10.532,10.893,TURN_LANES_L,1/1/2022 12:00:00 AM,3.0,,,,5/16/2023 5:58:53 PM,12/31/9999 12:00:00 AM,0.361,003ada0a-69f8-4d2e-8b81-c727bc1e92c0,,
54,0230009000000,10.893,11.243,TURN_LANES_L,1/1/2022 12:00:00 AM,5.0,,,,5/16/2023 5:58:53 PM,12/31/9999 12:00:00 AM,0.35,003ada0a-69f8-4d2e-8b81-c727bc1e92c0,,
54,0230009000000,14.0,14.2,TURN_LANES_L,1/1/2022 12:00:00 AM,5.0,,,,5/16/2023 5:58:53 PM,12/31/9999 12:00:00 AM,0.2,003ada0a-69f8-4d2e-8b81-c727bc1e92c0,,
54,0230009000000,14.55,14.9,TURN_LANES_L,1/1/2022 12:00:00 AM,5.0,,,,5/16/2023 5:58:53 PM,12/31/9999 12:00:00 AM,0.35,003ada0a-69f8-4d2e-8b81-c727bc1e92c0,,
54,0230009000000,15.57,15.79,TURN_LANES_L,1/1/2022 12:00:00 AM,4.0,,,,5/16/2023 5:58:53 PM,12/31/9999 12:00:00 AM,0.22,003ada0a-69f8-4d2e-8b81-c727bc1e92c0,,
54,0230009000000,15.79,16.09,TURN_LANES_L,1/1/2022 12:00:00 AM,4.0,,,,5/16/2023 5:58:53 PM,12/31/9999 12:00:00 AM,0.3,003ada0a-69f8-4d2e-8b81-c727bc1e92c0,,
54,0230009000000,17.07,17.48,TURN_LANES_L,1/1/2022 12:00:00 AM,4.0,,,,5/16/2023 5:58:53 PM,12/31/9999 12:00:00 AM,0.41,003ada0a-69f8-4d2e-8b81-c727bc1e92c0,,
54,0230009000000,18.18,20.16,TURN_LANES_L,1/1/2022 12:00:00 AM,4.0,,,,5/16/2023 5:58:53 PM,12/31/9999 12:00:00 AM,1.98,003ada0a-69f8-4d2e-8b81-c727bc1e92c0,,
54,0230045000000,13.355,13.76,TURN_LANES_L,1/1/2022 12:00:00 AM,5.0,,,,5/16/2023 5:58:53 PM,12/31/9999 12:00:00 AM,0.405,003ada0a-69f8-4d2e-8b81-c727bc1e92c0,,
54,0230045000000,14.39,14.52,TURN_LANES_L,1/1/2022 12:00:00 AM,1.0,,,,5/16/2023 5:58:53 PM,12/31/9999 12:00:00 AM,0.13,003ada0a-69f8-4d2e-8b81-c727bc1e92c0,,
54,0230045000000,14.52,14.85,TURN_LANES_L,1/1/2022 12:00:00 AM,4.0,,,,5/16/2023 5:58:53 PM,12/31/9999 12:00:00 AM,0.33,003ada0a-69f8-4d2e-8b81-c727bc1e92c0,,
54,0230045000000,14.85,15.31,TURN_LANES_L,1/1/2022 12:00:00 AM,1.0,,,,5/16/2023 5:58:53 PM,12/31/9999 12:00:00 AM,0.46,003ada0a-69f8-4d2e-8b81-c727bc1e92c0,,
