StateId,RouteId,BeginPoint,EndPoint,DataItem,BeginDate,BASE_THICKNESS_VN,BASE_THICKNESS_VT,BASE_THICKNESS_VD,Comments,ReportDate,EndDate,SectionLength,ProcessId,IsWarning,IsApproved
54,04100790000NB,63.46,64.83,BASE_THICKNESS,1/1/2022 12:00:00 AM,9.0,,,,5/19/2023 2:00:14 PM,12/31/9999 12:00:00 AM,1.37,6b2a41bf-b435-4764-bc64-96b22ed4db4c,,
54,04100790000NB,64.83,67.52,BASE_THICKNESS,1/1/2022 12:00:00 AM,9.0,,,,5/19/2023 2:00:14 PM,12/31/9999 12:00:00 AM,2.69,6b2a41bf-b435-4764-bc64-96b22ed4db4c,,
54,04100790000NB,61.47,62.04,BASE_THICKNESS,1/1/2022 12:00:00 AM,9.0,,,,5/19/2023 2:00:14 PM,12/31/9999 12:00:00 AM,0.57,6b2a41bf-b435-4764-bc64-96b22ed4db4c,,
54,04100790000NB,51.61,52.61,BASE_THICKNESS,1/1/2022 12:00:00 AM,9.0,,,,5/19/2023 2:00:14 PM,12/31/9999 12:00:00 AM,1.0,6b2a41bf-b435-4764-bc64-96b22ed4db4c,,
54,04100790000NB,57.51,59.0,BASE_THICKNESS,1/1/2022 12:00:00 AM,9.0,,,,5/19/2023 2:00:14 PM,12/31/9999 12:00:00 AM,1.49,6b2a41bf-b435-4764-bc64-96b22ed4db4c,,
54,04100790000NB,46.22,49.73,BASE_THICKNESS,1/1/2022 12:00:00 AM,9.0,,,,5/19/2023 2:00:14 PM,12/31/9999 12:00:00 AM,3.51,6b2a41bf-b435-4764-bc64-96b22ed4db4c,,
54,04100790000NB,62.04,63.46,BASE_THICKNESS,1/1/2022 12:00:00 AM,9.0,,,,5/19/2023 2:00:14 PM,12/31/9999 12:00:00 AM,1.42,6b2a41bf-b435-4764-bc64-96b22ed4db4c,,
54,04100790000NB,50.35,51.61,BASE_THICKNESS,1/1/2022 12:00:00 AM,9.0,,,,5/19/2023 2:00:14 PM,12/31/9999 12:00:00 AM,1.26,6b2a41bf-b435-4764-bc64-96b22ed4db4c,,
54,04100790000NB,59.0,61.47,BASE_THICKNESS,1/1/2022 12:00:00 AM,9.0,,,,5/19/2023 2:00:14 PM,12/31/9999 12:00:00 AM,2.47,6b2a41bf-b435-4764-bc64-96b22ed4db4c,,
54,04100790000NB,44.6,46.22,BASE_THICKNESS,1/1/2022 12:00:00 AM,9.0,,,,5/19/2023 2:00:14 PM,12/31/9999 12:00:00 AM,1.62,6b2a41bf-b435-4764-bc64-96b22ed4db4c,,
54,04100790000NB,52.61,53.27,BASE_THICKNESS,1/1/2022 12:00:00 AM,9.0,,,,5/19/2023 2:00:14 PM,12/31/9999 12:00:00 AM,0.66,6b2a41bf-b435-4764-bc64-96b22ed4db4c,,
54,03201190000NB,16.97,17.83,BASE_THICKNESS,1/1/2022 12:00:00 AM,6.0,,,,5/19/2023 2:00:14 PM,12/31/9999 12:00:00 AM,0.86,6b2a41bf-b435-4764-bc64-96b22ed4db4c,,
54,03201190000NB,12.83,13.54,BASE_THICKNESS,1/1/2022 12:00:00 AM,6.0,,,,5/19/2023 2:00:14 PM,12/31/9999 12:00:00 AM,0.71,6b2a41bf-b435-4764-bc64-96b22ed4db4c,,
54,03201190000NB,11.49,12.83,BASE_THICKNESS,1/1/2022 12:00:00 AM,9.0,,,,5/19/2023 2:00:14 PM,12/31/9999 12:00:00 AM,1.34,6b2a41bf-b435-4764-bc64-96b22ed4db4c,,
54,03201190000NB,9.44,11.49,BASE_THICKNESS,1/1/2022 12:00:00 AM,9.0,,,,5/19/2023 2:00:14 PM,12/31/9999 12:00:00 AM,2.05,6b2a41bf-b435-4764-bc64-96b22ed4db4c,,
54,03201190000NB,0.0,2.93,BASE_THICKNESS,1/1/2022 12:00:00 AM,6.0,,,,5/19/2023 2:00:14 PM,12/31/9999 12:00:00 AM,2.93,6b2a41bf-b435-4764-bc64-96b22ed4db4c,,
54,0330099000000,0.0,1.84,BASE_THICKNESS,1/1/2022 12:00:00 AM,5.0,,,,5/19/2023 2:00:14 PM,12/31/9999 12:00:00 AM,1.84,6b2a41bf-b435-4764-bc64-96b22ed4db4c,,
54,04100790000NB,69.32,70.83,BASE_THICKNESS,1/1/2022 12:00:00 AM,9.0,,,,5/19/2023 2:00:14 PM,12/31/9999 12:00:00 AM,1.51,6b2a41bf-b435-4764-bc64-96b22ed4db4c,,
54,04100790000NB,78.41,79.08,BASE_THICKNESS,1/1/2022 12:00:00 AM,9.0,,,,5/19/2023 2:00:14 PM,12/31/9999 12:00:00 AM,0.67,6b2a41bf-b435-4764-bc64-96b22ed4db4c,,
54,04100790000NB,79.08,83.15,BASE_THICKNESS,1/1/2022 12:00:00 AM,9.0,,,,5/19/2023 2:00:14 PM,12/31/9999 12:00:00 AM,4.07,6b2a41bf-b435-4764-bc64-96b22ed4db4c,,
54,04100790000NB,70.83,78.41,BASE_THICKNESS,1/1/2022 12:00:00 AM,9.0,,,,5/19/2023 2:00:14 PM,12/31/9999 12:00:00 AM,7.58,6b2a41bf-b435-4764-bc64-96b22ed4db4c,,
54,04200190000NB,26.57,27.64,BASE_THICKNESS,1/1/2022 12:00:00 AM,11.0,,,,5/19/2023 2:00:14 PM,12/31/9999 12:00:00 AM,1.07,6b2a41bf-b435-4764-bc64-96b22ed4db4c,,
54,0630010000000,15.69,15.82,BASE_THICKNESS,1/1/2022 12:00:00 AM,2.0,,,same as 2020,5/19/2023 2:00:14 PM,12/31/9999 12:00:00 AM,0.13,6b2a41bf-b435-4764-bc64-96b22ed4db4c,,
54,0630010000000,15.82,16.27,BASE_THICKNESS,1/1/2022 12:00:00 AM,2.0,,,same as 2020,5/19/2023 2:00:14 PM,12/31/9999 12:00:00 AM,0.45,6b2a41bf-b435-4764-bc64-96b22ed4db4c,,
54,0540010000000,0.0,2.1,BASE_THICKNESS,1/1/2022 12:00:00 AM,2.0,,,,5/19/2023 2:00:14 PM,12/31/9999 12:00:00 AM,2.1,6b2a41bf-b435-4764-bc64-96b22ed4db4c,,
54,0540001050000,1.31,2.34,BASE_THICKNESS,1/1/2022 12:00:00 AM,1.0,,,,5/19/2023 2:00:14 PM,12/31/9999 12:00:00 AM,1.03,6b2a41bf-b435-4764-bc64-96b22ed4db4c,,
54,0540018000000,0.0,1.71,BASE_THICKNESS,1/1/2022 12:00:00 AM,1.0,,,,5/19/2023 2:00:14 PM,12/31/9999 12:00:00 AM,1.71,6b2a41bf-b435-4764-bc64-96b22ed4db4c,,
54,0540027040000,1.85,1.89,BASE_THICKNESS,1/1/2022 12:00:00 AM,2.0,,,State Paver,5/19/2023 2:00:14 PM,12/31/9999 12:00:00 AM,0.04,6b2a41bf-b435-4764-bc64-96b22ed4db4c,,
54,0580959000000,0.0,0.89,BASE_THICKNESS,1/1/2022 12:00:00 AM,1.0,,,,5/19/2023 2:00:14 PM,12/31/9999 12:00:00 AM,0.89,6b2a41bf-b435-4764-bc64-96b22ed4db4c,,
54,0580960000000,0.0,0.11,BASE_THICKNESS,1/1/2022 12:00:00 AM,1.0,,,,5/19/2023 2:00:14 PM,12/31/9999 12:00:00 AM,0.11,6b2a41bf-b435-4764-bc64-96b22ed4db4c,,
54,08100790000NB,39.91,41.43,BASE_THICKNESS,1/1/2022 12:00:00 AM,7.0,,,,5/19/2023 2:00:14 PM,12/31/9999 12:00:00 AM,1.52,6b2a41bf-b435-4764-bc64-96b22ed4db4c,,
54,08100790000NB,41.43,44.6,BASE_THICKNESS,1/1/2022 12:00:00 AM,7.0,,,,5/19/2023 2:00:14 PM,12/31/9999 12:00:00 AM,3.17,6b2a41bf-b435-4764-bc64-96b22ed4db4c,,
54,08100790000NB,36.0,39.91,BASE_THICKNESS,1/1/2022 12:00:00 AM,9.0,,,,5/19/2023 2:00:14 PM,12/31/9999 12:00:00 AM,3.91,6b2a41bf-b435-4764-bc64-96b22ed4db4c,,
54,1130005000000,14.58,14.89,BASE_THICKNESS,1/1/2022 12:00:00 AM,8.0,,,,5/19/2023 2:00:14 PM,12/31/9999 12:00:00 AM,0.31,6b2a41bf-b435-4764-bc64-96b22ed4db4c,,
54,11200330000EB,17.3,17.82,BASE_THICKNESS,1/1/2022 12:00:00 AM,12.0,,,,5/19/2023 2:00:14 PM,12/31/9999 12:00:00 AM,0.52,6b2a41bf-b435-4764-bc64-96b22ed4db4c,,
54,1130005000000,10.83,12.51,BASE_THICKNESS,1/1/2022 12:00:00 AM,8.0,,,,5/19/2023 2:00:14 PM,12/31/9999 12:00:00 AM,1.68,6b2a41bf-b435-4764-bc64-96b22ed4db4c,,
54,11200330000EB,25.09,26.73,BASE_THICKNESS,1/1/2022 12:00:00 AM,12.0,,,,5/19/2023 2:00:14 PM,12/31/9999 12:00:00 AM,1.64,6b2a41bf-b435-4764-bc64-96b22ed4db4c,,
54,11200330000EB,1.39,1.96,BASE_THICKNESS,1/1/2022 12:00:00 AM,12.0,,,,5/19/2023 2:00:14 PM,12/31/9999 12:00:00 AM,0.57,6b2a41bf-b435-4764-bc64-96b22ed4db4c,,
54,11200330000EB,2.2,6.44,BASE_THICKNESS,1/1/2022 12:00:00 AM,12.0,,,,5/19/2023 2:00:14 PM,12/31/9999 12:00:00 AM,4.24,6b2a41bf-b435-4764-bc64-96b22ed4db4c,,
54,11200330000EB,19.62,22.18,BASE_THICKNESS,1/1/2022 12:00:00 AM,12.0,,,,5/19/2023 2:00:14 PM,12/31/9999 12:00:00 AM,2.56,6b2a41bf-b435-4764-bc64-96b22ed4db4c,,
54,11200330000EB,0.0,0.59,BASE_THICKNESS,1/1/2022 12:00:00 AM,12.0,,,,5/19/2023 2:00:14 PM,12/31/9999 12:00:00 AM,0.59,6b2a41bf-b435-4764-bc64-96b22ed4db4c,,
54,11200330000EB,18.2,19.62,BASE_THICKNESS,1/1/2022 12:00:00 AM,12.0,,,,5/19/2023 2:00:14 PM,12/31/9999 12:00:00 AM,1.42,6b2a41bf-b435-4764-bc64-96b22ed4db4c,,
54,1140007000000,6.97,8.67,BASE_THICKNESS,1/1/2022 12:00:00 AM,8.0,,,,5/19/2023 2:00:14 PM,12/31/9999 12:00:00 AM,1.7,6b2a41bf-b435-4764-bc64-96b22ed4db4c,,
54,11200330000EB,1.12,1.39,BASE_THICKNESS,1/1/2022 12:00:00 AM,12.0,,,,5/19/2023 2:00:14 PM,12/31/9999 12:00:00 AM,0.27,6b2a41bf-b435-4764-bc64-96b22ed4db4c,,
54,11200330000EB,22.28,25.09,BASE_THICKNESS,1/1/2022 12:00:00 AM,12.0,,,,5/19/2023 2:00:14 PM,12/31/9999 12:00:00 AM,2.81,6b2a41bf-b435-4764-bc64-96b22ed4db4c,,
54,1230093000000,9.71,13.45,BASE_THICKNESS,1/1/2022 12:00:00 AM,8.0,,,same as 2020,5/19/2023 2:00:14 PM,12/31/9999 12:00:00 AM,3.74,6b2a41bf-b435-4764-bc64-96b22ed4db4c,,
54,1540507000000,1.16,3.33,BASE_THICKNESS,1/1/2022 12:00:00 AM,2.0,,,,5/19/2023 2:00:14 PM,12/31/9999 12:00:00 AM,2.17,6b2a41bf-b435-4764-bc64-96b22ed4db4c,,
54,1540005000000,1.85,3.76,BASE_THICKNESS,1/1/2022 12:00:00 AM,2.0,,,,5/19/2023 2:00:14 PM,12/31/9999 12:00:00 AM,1.91,6b2a41bf-b435-4764-bc64-96b22ed4db4c,,
54,1540011022800,2.75,3.57,BASE_THICKNESS,1/1/2022 12:00:00 AM,2.0,,,State Paver,5/19/2023 2:00:14 PM,12/31/9999 12:00:00 AM,0.82,6b2a41bf-b435-4764-bc64-96b22ed4db4c,,
54,1540009040000,1.47,2.19,BASE_THICKNESS,1/1/2022 12:00:00 AM,2.0,,,State Paver,5/19/2023 2:00:14 PM,12/31/9999 12:00:00 AM,0.72,6b2a41bf-b435-4764-bc64-96b22ed4db4c,,
54,1540016000000,0.34,1.84,BASE_THICKNESS,1/1/2022 12:00:00 AM,1.0,,,,5/19/2023 2:00:14 PM,12/31/9999 12:00:00 AM,1.5,6b2a41bf-b435-4764-bc64-96b22ed4db4c,,
54,1540066020000,0.0,3.27,BASE_THICKNESS,1/1/2022 12:00:00 AM,1.0,,,State Paver,5/19/2023 2:00:14 PM,12/31/9999 12:00:00 AM,3.27,6b2a41bf-b435-4764-bc64-96b22ed4db4c,,
54,1530008000000,0.23,0.41,BASE_THICKNESS,1/1/2022 12:00:00 AM,5.0,,,,5/19/2023 2:00:14 PM,12/31/9999 12:00:00 AM,0.18,6b2a41bf-b435-4764-bc64-96b22ed4db4c,,
