BeginDate|StateID|RouteID|BeginPoint|EndPoint|Data_Item|Value_Numeric|Value_Text|Value_Date|Comments
12/31/2021|54|0140012010000|0.0|3.54|ACCESS_CONTROL|3|||
12/31/2021|54|0140012020000|0.0|1.75|ACCESS_CONTROL|3|||
12/31/2021|54|0140012030000|0.0|2.66|ACCESS_CONTROL|3|||
12/31/2021|54|0140012040000|0.0|4.0|ACCESS_CONTROL|3|||
12/31/2021|54|0140012060000|0.0|1.46|ACCESS_CONTROL|3|||
12/31/2021|54|0140012070000|0.0|2.94|ACCESS_CONTROL|3|||
12/31/2021|54|0140012080000|0.0|2.7|ACCESS_CONTROL|3|||
12/31/2021|54|0140013000000|0.0|1.2|ACCESS_CONTROL|3|||
12/31/2021|54|0140013010000|0.0|1.82|ACCESS_CONTROL|3|||
12/31/2021|54|0140013020000|0.0|0.72|ACCESS_CONTROL|3|||
12/31/2021|54|0140013040000|0.0|0.99|ACCESS_CONTROL|3|||
12/31/2021|54|0140014000000|0.0|2.65|ACCESS_CONTROL|3|||
12/31/2021|54|0140014020000|0.0|1.03|ACCESS_CONTROL|3|||
12/31/2021|54|0140014030000|0.0|0.86|ACCESS_CONTROL|3|||
12/31/2021|54|0140014040000|0.0|0.26|ACCESS_CONTROL|3|||
12/31/2021|54|0140015000000|0.0|4.46|ACCESS_CONTROL|3|||
12/31/2021|54|0140015010000|0.0|2.99|ACCESS_CONTROL|3|||
12/31/2021|54|0140015030000|0.0|0.13|ACCESS_CONTROL|3|||
12/31/2021|54|0140015040000|0.0|0.04|ACCESS_CONTROL|3|||
12/31/2021|54|0140015050000|0.0|0.27|ACCESS_CONTROL|3|||
12/31/2021|54|0140015070000|0.0|0.19|ACCESS_CONTROL|3|||
12/31/2021|54|0140016000000|0.0|4.61|ACCESS_CONTROL|3|||
12/31/2021|54|0140016010000|0.0|0.24|ACCESS_CONTROL|3|||
12/31/2021|54|0140016020000|0.0|2.46|ACCESS_CONTROL|3|||
12/31/2021|54|0140016040000|0.0|0.59|ACCESS_CONTROL|3|||
12/31/2021|54|0140016050000|0.0|0.44|ACCESS_CONTROL|3|||
12/31/2021|54|0140016060000|0.0|0.15|ACCESS_CONTROL|3|||
12/31/2021|54|0140016070000|0.0|0.31|ACCESS_CONTROL|3|||
12/31/2021|54|0140016080000|0.0|0.18|ACCESS_CONTROL|3|||
12/31/2021|54|0140016090000|0.0|0.07|ACCESS_CONTROL|3|||
12/31/2021|54|0140016100000|0.0|0.12|ACCESS_CONTROL|3|||
12/31/2021|54|0140017000000|0.0|2.16|ACCESS_CONTROL|3|||
12/31/2021|54|0140017000000|2.16|3.31|ACCESS_CONTROL|3|||
12/31/2021|54|0140017000000|3.31|4.36|ACCESS_CONTROL|3|||
12/31/2021|54|0140017000000|4.36|8.33|ACCESS_CONTROL|3|||
12/31/2021|54|0140017000000|8.344|12.0|ACCESS_CONTROL|3|||
12/31/2021|54|0140017010000|0.0|0.98|ACCESS_CONTROL|3|||
12/31/2021|54|0140017010000|0.98|2.85|ACCESS_CONTROL|3|||
12/31/2021|54|0140017020000|0.0|1.45|ACCESS_CONTROL|3|||
12/31/2021|54|0140017030000|0.0|1.46|ACCESS_CONTROL|3|||
12/31/2021|54|0140017050000|0.0|0.74|ACCESS_CONTROL|3|||
12/31/2021|54|0140017060000|0.0|2.73|ACCESS_CONTROL|3|||
12/31/2021|54|0140017070000|0.0|2.03|ACCESS_CONTROL|3|||
12/31/2021|54|0140017080000|0.0|2.39|ACCESS_CONTROL|3|||
12/31/2021|54|0140017090000|0.0|1.03|ACCESS_CONTROL|3|||
12/31/2021|54|0140017110000|0.0|0.29|ACCESS_CONTROL|3|||
12/31/2021|54|0140017120000|0.0|0.42|ACCESS_CONTROL|3|||
12/31/2021|54|0140017130000|0.0|0.33|ACCESS_CONTROL|3|||
12/31/2021|54|0140017140000|0.0|0.21|ACCESS_CONTROL|3|||
12/31/2021|54|0140017150000|0.0|0.55|ACCESS_CONTROL|3|||
12/31/2021|54|0140018000000|0.0|2.55|ACCESS_CONTROL|3|||
12/31/2021|54|0140018000000|2.69|5.43|ACCESS_CONTROL|3|||
12/31/2021|54|0140019000000|0.0|0.45|ACCESS_CONTROL|3|||
12/31/2021|54|0140020020000|0.0|1.69|ACCESS_CONTROL|3|||
12/31/2021|54|0140020030000|0.0|1.51|ACCESS_CONTROL|3|||
12/31/2021|54|0140021000000|0.0|0.55|ACCESS_CONTROL|3|||
12/31/2021|54|0140021000000|0.55|2.67|ACCESS_CONTROL|3|||
12/31/2021|54|0140021010000|0.0|1.77|ACCESS_CONTROL|3|||
12/31/2021|54|0140022000000|0.0|6.69|ACCESS_CONTROL|3|||
12/31/2021|54|0140022030000|0.0|1.0|ACCESS_CONTROL|3|||
12/31/2021|54|0140022050000|0.0|1.39|ACCESS_CONTROL|3|||
12/31/2021|54|0140023000000|0.0|0.91|ACCESS_CONTROL|3|||
12/31/2021|54|0140023000000|1.31|1.52|ACCESS_CONTROL|3|||
12/31/2021|54|0140023000000|1.59|2.09|ACCESS_CONTROL|3|||
12/31/2021|54|0140023000000|2.09|2.17|ACCESS_CONTROL|3|||
12/31/2021|54|0140023000000|2.38|2.47|ACCESS_CONTROL|3|||
12/31/2021|54|0140023000000|2.47|2.67|ACCESS_CONTROL|3|||
12/31/2021|54|0140023000000|2.84|5.94|ACCESS_CONTROL|3|||
12/31/2021|54|0140023000000|5.97|6.82|ACCESS_CONTROL|3|||
12/31/2021|54|0140023010000|0.0|0.25|ACCESS_CONTROL|3|||
12/31/2021|54|0140024000000|0.0|1.64|ACCESS_CONTROL|3|||
