BeginDate|StateID|RouteID|BeginPoint|EndPoint|DataItem|Value_Numeric|Value_Text|Value_Date
12/31/2021|54.0|2330080000000|0.86|1.57|LAST_OVERLAY_THICKNESS|2.0||
12/31/2021|54.0|23201190000NB|0.0|0.85|LAST_OVERLAY_THICKNESS|1.0||
12/31/2021|54.0|23201190000NB|1.44|2.2|LAST_OVERLAY_THICKNESS|1.0||
12/31/2021|54.0|23201190000NB|2.2|2.54|LAST_OVERLAY_THICKNESS|1.0||
12/31/2021|54.0|23201190000NB|2.54|2.67|LAST_OVERLAY_THICKNESS|1.0||
12/31/2021|54.0|23201190000NB|2.67|3.59|LAST_OVERLAY_THICKNESS|1.0||
12/31/2021|54.0|23201190000NB|3.59|5.27|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|23201190000NB|11.87|12.283|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|30200520004NB|0.096|0.39|LAST_OVERLAY_THICKNESS|2.0||
12/31/2021|54.0|30200520000EB|9.95|11.65|LAST_OVERLAY_THICKNESS|2.0||
12/31/2021|54.0|30200520000EB|26.08|26.53|LAST_OVERLAY_THICKNESS|2.0||
12/31/2021|54.0|3030080000000|7.05|9.46|LAST_OVERLAY_THICKNESS|2.0||
12/31/2021|54.0|30201190000NB|11.73|12.8|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|30201190000NB|12.88|14.28|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|5040001000000|2.16|2.29|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|5040003000000|3.75|3.85|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|5040003000000|3.94|4.06|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|5040003010000|0.09|0.65|LAST_OVERLAY_THICKNESS|1.0||
12/31/2021|54.0|5040003010000|0.65|0.68|LAST_OVERLAY_THICKNESS|1.0||
12/31/2021|54.0|5040003020000|0.0|0.64|LAST_OVERLAY_THICKNESS|1.0||
12/31/2021|54.0|5040003020000|0.64|1.25|LAST_OVERLAY_THICKNESS|1.0||
12/31/2021|54.0|5040007000000|17.84|18.87|LAST_OVERLAY_THICKNESS|1.0||
12/31/2021|54.0|5040007000000|19.35|19.76|LAST_OVERLAY_THICKNESS|1.0||
12/31/2021|54.0|5040008000000|0.0|0.45|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|5040009000000|0.65|1.92|LAST_OVERLAY_THICKNESS|2.0||
12/31/2021|54.0|5040012000000|3.176|4.65|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|50200520000EB|5.8|6.51|LAST_OVERLAY_THICKNESS|1.0||
12/31/2021|54.0|50200520000EB|29.12|31.4|LAST_OVERLAY_THICKNESS|3.0||
12/31/2021|54.0|50200600000EB|0.0|0.24|LAST_OVERLAY_THICKNESS|1.0||
12/31/2021|54.0|50200600000EB|0.49|0.72|LAST_OVERLAY_THICKNESS|1.0||
12/31/2021|54.0|50200600000EB|1.13|1.83|LAST_OVERLAY_THICKNESS|1.0||
12/31/2021|54.0|50200600000EB|3.79|4.04|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|50200600000EB|4.04|4.39|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|5040060030000|1.37|1.47|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|5040060040000|1.24|2.4|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|5040060070000|0.24|0.87|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|5040060070000|0.87|1.44|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|50100640000EB|0.0|1.25|LAST_OVERLAY_THICKNESS|1.0||
12/31/2021|54.0|50100640000EB|1.29|1.66|LAST_OVERLAY_THICKNESS|4.0||
12/31/2021|54.0|50100640000EB|1.66|2.17|LAST_OVERLAY_THICKNESS|4.0||
12/31/2021|54.0|50100640000EB|2.17|2.75|LAST_OVERLAY_THICKNESS|4.0||
12/31/2021|54.0|50100640000EB|2.75|4.22|LAST_OVERLAY_THICKNESS|4.0||
12/31/2021|54.0|50100640000EB|4.22|5.29|LAST_OVERLAY_THICKNESS|4.0||
12/31/2021|54.0|50100640000EB|5.29|5.87|LAST_OVERLAY_THICKNESS|4.0||
12/31/2021|54.0|5030152000000|29.86|30.39|LAST_OVERLAY_THICKNESS|3.0||
12/31/2021|54.0|5030152000000|40.4|43.98|LAST_OVERLAY_THICKNESS|1.0||
12/31/2021|54.0|5030152000000|43.98|44.59|LAST_OVERLAY_THICKNESS|1.0||
12/31/2021|54.0|0940011000000|11.45|12.55|LAST_OVERLAY_THICKNESS|2.0||
12/31/2021|54.0|0940003000000|4.14|5.77|LAST_OVERLAY_THICKNESS|2.0||
12/31/2021|54.0|09200500000EB|0.0|3.98|LAST_OVERLAY_THICKNESS|2.0||
12/31/2021|54.0|09200500000EB|3.98|5.61|LAST_OVERLAY_THICKNESS|2.0||
12/31/2021|54.0|09200500000EB|5.63|6.54|LAST_OVERLAY_THICKNESS|2.0||
12/31/2021|54.0|09200500000EB|8.26|8.8|LAST_OVERLAY_THICKNESS|2.0||
12/31/2021|54.0|09200500000EB|8.8|9.75|LAST_OVERLAY_THICKNESS|2.0||
12/31/2021|54.0|09200500000EB|9.75|11.01|LAST_OVERLAY_THICKNESS|2.0||
12/31/2021|54.0|09200500000EB|11.43|12.1|LAST_OVERLAY_THICKNESS|2.0||
12/31/2021|54.0|09200500000EB|12.1|12.96|LAST_OVERLAY_THICKNESS|2.0||
12/31/2021|54.0|09200500000EB|17.75|18.87|LAST_OVERLAY_THICKNESS|2.0||
12/31/2021|54.0|1740011000000|0.0|1.14|LAST_OVERLAY_THICKNESS|3.5||
12/31/2021|54.0|1740011000000|1.14|2.3|LAST_OVERLAY_THICKNESS|3.5||
12/31/2021|54.0|1740011000000|4.24|4.7|LAST_OVERLAY_THICKNESS|3.5||
12/31/2021|54.0|1740011000000|4.7|5.24|LAST_OVERLAY_THICKNESS|3.5||
12/31/2021|54.0|1740019570000|0.0|0.49|LAST_OVERLAY_THICKNESS|2.0||
12/31/2021|54.0|1740024020000|0.75|0.87|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|1740024020000|1.09|1.86|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|1740006000000|0.0|0.808|LAST_OVERLAY_THICKNESS|2.0||
12/31/2021|54.0|17100790000NB|106.42|107.57|LAST_OVERLAY_THICKNESS|2.0||
12/31/2021|54.0|17100790000NB|107.57|107.94|LAST_OVERLAY_THICKNESS|2.0||
12/31/2021|54.0|17100790000NB|107.94|109.77|LAST_OVERLAY_THICKNESS|2.0||
12/31/2021|54.0|17100790000NB|109.77|110.29|LAST_OVERLAY_THICKNESS|2.0||
12/31/2021|54.0|17100790000NB|110.29|111.13|LAST_OVERLAY_THICKNESS|2.0||
12/31/2021|54.0|17100790000NB|111.13|111.91|LAST_OVERLAY_THICKNESS|2.0||
12/31/2021|54.0|17100790000NB|111.91|114.132|LAST_OVERLAY_THICKNESS|2.0||
12/31/2021|54.0|17100790000NB|114.9|115.33|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|17100790000NB|115.33|117.17|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|17100790000NB|117.17|117.74|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|17100790000NB|122.43|122.9|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|17100790000NB|122.9|123.988|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|17100790000NB|123.988|125.38|LAST_OVERLAY_THICKNESS|1.5||
