BeginDate|StateID|RouteID|BeginPoint|EndPoint|DataItem|Value_Numeric|Value_Text|Comments
12/31/2021|54|3730002000000|10.96|11.03|NN|2||
12/31/2021|54|3730002000000|11.03|11.04|NN|2||
12/31/2021|54|3730002000000|11.04|11.31|NN|2||
12/31/2021|54|3730002000000|11.31|11.48|NN|2||
12/31/2021|54|3730002000000|11.48|13.009|NN|2||
12/31/2021|54|3730002000000|13.009|13.775|NN|2||
12/31/2021|54|3730002000000|13.775|14.95|NN|2||
12/31/2021|54|3730002000000|14.95|15.68|NN|2||
12/31/2021|54|3730002000000|15.68|17.49|NN|2||
12/31/2021|54|4030025000000|0.94|0.959|NN|2||
12/31/2021|54|4030025000000|0.959|1.28|NN|2||
12/31/2021|54|4030025000000|1.28|1.405|NN|2||
12/31/2021|54|4030025000000|1.405|1.455|NN|2||
12/31/2021|54|4030025000000|1.455|1.46|NN|2||
12/31/2021|54|4030025000000|1.46|1.65|NN|2||
12/31/2021|54|4030025000000|1.65|2.079|NN|2||
12/31/2021|54|4030025000000|2.079|2.19|NN|2||
12/31/2021|54|4030034000000|14.97|15.0|NN|1||
12/31/2021|54|4030034000000|15.0|15.04|NN|1||
12/31/2021|54|4030034000000|15.04|15.07|NN|1||
12/31/2021|54|4030034000000|15.07|15.21|NN|1||
12/31/2021|54|4030034000000|15.21|15.27|NN|1||
12/31/2021|54|4030034000000|15.27|15.39|NN|1||
12/31/2021|54|4030034000000|19.87|19.879|NN|1||
12/31/2021|54|4030034000000|19.879|19.9|NN|1||
12/31/2021|54|4030034000000|19.9|20.16|NN|1||
12/31/2021|54|4030817000000|0.0|0.65|NN|2||
12/31/2021|54|4030817000000|0.65|0.98|NN|2||
12/31/2021|54|4030817000000|0.98|1.06|NN|2||
12/31/2021|54|4030817000000|1.06|1.09|NN|2||
12/31/2021|54|4030817000000|1.09|1.32|NN|2||
12/31/2021|54|4030817000000|1.32|1.62|NN|2||
12/31/2021|54|4030817000000|11.71|12.18|NN|1||
12/31/2021|54|4030817000000|12.18|12.21|NN|1||
12/31/2021|54|4030817000000|12.21|14.16|NN|1||
12/31/2021|54|4030817000000|14.16|14.19|NN|1||
12/31/2021|54|4030817000000|14.19|18.31|NN|1||
12/31/2021|54|4030817000000|18.31|18.44|NN|1||
12/31/2021|54|4030817000000|18.44|18.5|NN|1||
12/31/2021|54|4030817000000|18.5|18.68|NN|2||
12/31/2021|54|4030817000000|18.68|19.18|NN|2||
12/31/2021|54|4030817000000|19.18|20.06|NN|2||
12/31/2021|54|4030817000000|20.06|21.11|NN|2||
12/31/2021|54|4030817000000|21.11|21.44|NN|2||
12/31/2021|54|4030817000000|21.44|23.7|NN|2||
12/31/2021|54|4030817002300|0.0|0.12|NN|2||
12/31/2021|54|4030817002300|0.12|0.12|NN|2||
12/31/2021|54|4030869000000|0.58|0.92|NN|2||
12/31/2021|54|4030869000000|0.92|1.13|NN|2||
12/31/2021|54|4030869000000|1.13|1.33|NN|2||
12/31/2021|54|4130016000000|15.63|15.65|NN|2||
12/31/2021|54|4130016000000|15.65|15.81|NN|2||
12/31/2021|54|4130016000000|15.81|15.871|NN|2||
12/31/2021|54|4130016000000|15.871|15.872|NN|2||
12/31/2021|54|4130016000000|15.872|16.03|NN|2||
12/31/2021|54|4130016000000|16.03|16.34|NN|2||
12/31/2021|54|4130016000000|16.34|16.42|NN|2||
12/31/2021|54|4130016000000|16.42|16.49|NN|2||
12/31/2021|54|4130016000000|16.49|16.51|NN|2||
12/31/2021|54|4130016000000|16.51|17.06|NN|2||
12/31/2021|54|4130016000000|17.06|17.28|NN|2||
12/31/2021|54|4130016000000|17.28|17.3|NN|2||
12/31/2021|54|4130016000000|17.3|17.48|NN|2||
12/31/2021|54|4130016000000|17.48|18.37|NN|2||
12/31/2021|54|4130016000000|18.37|18.53|NN|2||
12/31/2021|54|4130016000000|18.53|18.82|NN|2||
12/31/2021|54|4130016000000|18.82|18.96|NN|2||
12/31/2021|54|4130016000000|18.96|19.79|NN|2||
12/31/2021|54|4130016000000|23.09|23.18|NN|2||
12/31/2021|54|4240151000000|0.0|2.0|NN|2||
12/31/2021|54|4240151000000|2.0|3.0|NN|2||
12/31/2021|54|4240151000000|3.0|4.97|NN|2||
12/31/2021|54|4240151000000|4.97|7.0|NN|2||
12/31/2021|54|4240151000000|7.0|10.2|NN|2||
12/31/2021|54|4240151000000|10.2|10.52|NN|2||
12/31/2021|54|4730032000000|10.368|10.469|NN|2||
12/31/2021|54|4730032000000|10.469|13.62|NN|2||
12/31/2021|54|4730032000000|13.62|14.79|NN|2||
12/31/2021|54|4730032000000|14.79|15.922|NN|2||
12/31/2021|54|4730032000000|15.922|16.09|NN|2||
12/31/2021|54|4730032000000|16.09|16.45|NN|2||
12/31/2021|54|4730032000000|16.45|16.5|NN|2||
12/31/2021|54|4730032000000|16.5|16.84|NN|2||
12/31/2021|54|4730032000000|16.84|16.92|NN|2||
12/31/2021|54|4830002000000|0.0|2.27|NN|2||
12/31/2021|54|4830002000000|2.27|2.84|NN|2||
12/31/2021|54|4830002000000|2.84|4.393|NN|2||
12/31/2021|54|4830002000000|4.393|4.64|NN|2||
12/31/2021|54|4830002000000|4.64|4.86|NN|2||
12/31/2021|54|4830002000000|4.86|4.869|NN|2||
12/31/2021|54|4830002000000|4.869|4.9|NN|2||
12/31/2021|54|4830002000000|4.9|6.65|NN|2||
12/31/2021|54|4830002000000|6.65|8.24|NN|2||
12/31/2021|54|4830002000000|8.24|8.49|NN|2||
12/31/2021|54|4830002000000|8.49|8.67|NN|2||
12/31/2021|54|4830002000000|8.67|8.69|NN|2||
12/31/2021|54|4830002000000|8.69|8.75|NN|2||
12/31/2021|54|4830002000000|8.75|8.82|NN|2||
12/31/2021|54|4830002000000|8.82|8.84|NN|2||
12/31/2021|54|4830002000000|8.84|8.87|NN|2||
12/31/2021|54|4830002000000|8.87|9.09|NN|2||
12/31/2021|54|4830002000000|9.09|9.16|NN|2||
12/31/2021|54|4830002000000|9.16|9.67|NN|2||
12/31/2021|54|4830002000000|9.67|9.88|NN|2||
12/31/2021|54|4830002000000|9.88|9.93|NN|2||
12/31/2021|54|4830002000000|9.93|10.239|NN|2||
12/31/2021|54|4830002000000|10.239|10.25|NN|2||
12/31/2021|54|4830002000000|10.25|12.02|NN|2||
12/31/2021|54|4830002000000|12.02|12.97|NN|2||
12/31/2021|54|4830002000000|12.97|13.02|NN|2||
12/31/2021|54|4830002000000|13.02|13.48|NN|2||
12/31/2021|54|4830002000000|13.48|13.93|NN|2||
12/31/2021|54|5230002000000|0.0|0.67|NN|2||
12/31/2021|54|5230002000000|0.67|0.97|NN|2||
12/31/2021|54|5230002000000|0.97|1.096|NN|2||
12/31/2021|54|5230002000000|1.096|1.254|NN|2||
12/31/2021|54|5230002000000|1.254|2.26|NN|2||
12/31/2021|54|5230002000000|2.26|2.28|NN|2||
12/31/2021|54|5230002000000|2.28|2.34|NN|2||
12/31/2021|54|5230002000000|2.34|2.35|NN|2||
12/31/2021|54|5230002000000|2.35|4.21|NN|2||
12/31/2021|54|5230002000000|4.21|4.442|NN|2||
12/31/2021|54|5230002000000|4.442|4.855|NN|2||
12/31/2021|54|5230002000000|4.855|5.19|NN|2||
12/31/2021|54|5230002000000|5.19|5.24|NN|2||
12/31/2021|54|5230002000000|5.24|5.29|NN|2||
12/31/2021|54|5230002000000|5.29|5.69|NN|2||
12/31/2021|54|5230002000000|5.69|6.08|NN|2||
12/31/2021|54|5230002000000|6.08|6.45|NN|2||
12/31/2021|54|5230002000000|6.45|6.5|NN|2||
12/31/2021|54|5230002000000|6.5|6.59|NN|2||
12/31/2021|54|5230002000000|6.59|6.72|NN|2||
12/31/2021|54|5230002000000|6.72|6.95|NN|2||
12/31/2021|54|5230002000000|6.95|7.09|NN|2||
12/31/2021|54|5230002000000|7.09|7.19|NN|2||
12/31/2021|54|5230002000000|7.19|7.29|NN|2||
12/31/2021|54|5230002000000|7.29|7.84|NN|2||
12/31/2021|54|5230002000000|7.84|8.08|NN|2||
12/31/2021|54|5230002000000|8.08|8.35|NN|2||
12/31/2021|54|5230002000000|8.35|8.6|NN|2||
12/31/2021|54|5230002000000|8.6|9.24|NN|2||
12/31/2021|54|5230002000000|9.24|9.43|NN|2||
12/31/2021|54|5230002000000|9.43|9.435|NN|2||
12/31/2021|54|5230002000000|9.435|11.02|NN|2||
12/31/2021|54|5230002000000|11.02|11.11|NN|2||
12/31/2021|54|5230002000000|11.11|11.3|NN|2||
12/31/2021|54|5230002000000|11.3|11.35|NN|2||
12/31/2021|54|5230002000000|11.35|11.655|NN|2||
12/31/2021|54|5230002000000|11.655|11.75|NN|2||
12/31/2021|54|5230002000000|11.75|12.12|NN|2||
12/31/2021|54|5230007000000|0.0|0.2|NN|2||
12/31/2021|54|5230007000000|0.2|0.285|NN|2||
12/31/2021|54|5230007000000|0.285|0.36|NN|2||
12/31/2021|54|5230007000000|0.36|0.4|NN|2||
12/31/2021|54|5430002000000|22.7|23.06|NN|2||
12/31/2021|54|5430002000000|23.06|23.91|NN|2||
12/31/2021|54|5430002000000|23.91|24.0|NN|2||
12/31/2021|54|5430002000000|24.0|24.15|NN|2||
12/31/2021|54|5430002000000|24.15|25.275|NN|2||
12/31/2021|54|5430002000000|25.275|25.29|NN|2||
12/31/2021|54|5430002000000|25.29|26.07|NN|2||
12/31/2021|54|5430002000000|26.07|26.21|NN|2||
12/31/2021|54|5430002000000|26.21|26.35|NN|2||
12/31/2021|54|5430002000000|26.35|26.795|NN|2||
12/31/2021|54|5430002000000|26.795|28.76|NN|2||
12/31/2021|54|5430002000000|28.76|29.46|NN|2||
12/31/2021|54|5430047000000|0.0|0.45|NN|2||
12/31/2021|54|5430047000000|0.45|0.56|NN|2||
12/31/2021|54|5430047000000|0.56|0.58|NN|2||
12/31/2021|54|5430047000000|0.58|0.6|NN|2||
12/31/2021|54|5430047000000|0.6|0.602|NN|2||
12/31/2021|54|5430047000000|0.602|1.72|NN|2||
12/31/2021|54|5430047000000|1.72|2.64|NN|2||
12/31/2021|54|5430047000000|2.64|2.87|NN|2||
12/31/2021|54|5430068000000|0.0|0.07|NN|2||
12/31/2021|54|5430068000000|0.07|0.14|NN|2||
12/31/2021|54|5430068000000|0.14|0.35|NN|2||
12/31/2021|54|5430068000000|0.35|1.87|NN|2||
12/31/2021|54|5430068000000|1.87|4.61|NN|2||
12/31/2021|54|5430068000000|4.61|4.65|NN|2||
12/31/2021|54|5430068000000|4.65|9.35|NN|2||
12/31/2021|54|5430068000000|9.35|10.861|NN|2||
12/31/2021|54|5430068000000|10.861|10.9|NN|2||
12/31/2021|54|5430068000000|10.9|11.35|NN|2||
12/31/2021|54|5430068000000|11.35|12.95|NN|2||
12/31/2021|54|5430068000000|12.95|13.92|NN|2||
12/31/2021|54|5430068000000|13.92|14.46|NN|2||
12/31/2021|54|5430095000000|0.0|0.03|NN|2||
12/31/2021|54|5430095000000|0.03|0.07|NN|2||
12/31/2021|54|5430095000000|0.07|0.12|NN|2||
12/31/2021|54|5430095000000|0.12|0.16|NN|2||
12/31/2021|54|5430095000000|0.16|0.18|NN|2||
12/31/2021|54|5430095000000|0.18|0.28|NN|2||
12/31/2021|54|5430095000000|0.28|0.36|NN|2||
12/31/2021|54|5430095000000|0.36|1.3|NN|2||
12/31/2021|54|5430095000000|1.3|1.47|NN|2||
12/31/2021|54|5430095000000|1.47|1.885|NN|2||
12/31/2021|54|5430095000000|1.885|2.85|NN|2||
12/31/2021|54|5430095000000|2.85|3.19|NN|2||
12/31/2021|54|5430095000000|3.69|3.77|NN|2||
12/31/2021|54|5430095000000|3.77|3.99|NN|2||
12/31/2021|54|5430095000000|3.99|4.2|NN|2||
12/31/2021|54|5430095000000|4.2|6.12|NN|2||
12/31/2021|54|5430095000000|6.12|6.29|NN|2||
12/31/2021|54|5430095000000|6.29|6.44|NN|2||
12/31/2021|54|5430095000000|6.44|6.58|NN|2||
12/31/2021|54|5430892000000|2.81|4.73|NN|2||
12/31/2021|54|5430892000000|4.73|5.12|NN|2||
12/31/2021|54|5430892000000|5.12|6.1|NN|2||
12/31/2021|54|5430892000000|6.1|7.02|NN|2||
12/31/2021|54|5430892000000|7.02|8.1|NN|2||
12/31/2021|54|5430892000000|8.1|8.55|NN|2||
12/31/2021|54|5430892000000|8.55|9.46|NN|2||
12/31/2021|54|5430892000000|9.46|9.9|NN|2||
12/31/2021|54|5430892000000|9.9|9.95|NN|2||
12/31/2021|54|5440021140000|0.0|0.88|NN|2||
12/31/2021|54|5440032000000|2.24|2.33|NN|2||
12/31/2021|54|5440032000000|2.33|2.55|NN|2||
12/31/2021|54|5440032000000|2.55|2.6|NN|2||
12/31/2021|54|01200330000EB|0.0|1.87|NN|2||
12/31/2021|54|01200330000EB|1.87|4.11|NN|2||
12/31/2021|54|01200330000EB|4.11|4.43|NN|2||
