BeginDate|StateID|RouteID|BeginPoint|EndPoint|DataItem|Value_Numeric|Value_Date|Value_Text
12/31/2021|54|17200190000NB|18.61|20.62|BASE_TYPE|6||
12/31/2021|54|17200500000EB|0.0|1.53|BASE_TYPE|2||
12/31/2021|54|17200500000EB|1.53|3.37|BASE_TYPE|2||
12/31/2021|54|17200500000EB|3.42|3.8|BASE_TYPE|2||
12/31/2021|54|17200500000EB|6.11|7.16|BASE_TYPE|2||
12/31/2021|54|17200500000EB|11.38|12.29|BASE_TYPE|2||
12/31/2021|54|17200500000EB|12.29|12.88|BASE_TYPE|2||
12/31/2021|54|17200500000EB|13.25|13.78|BASE_TYPE|2||
12/31/2021|54|17200500000EB|13.78|14.03|BASE_TYPE|2||
12/31/2021|54|17200500000EB|14.03|14.25|BASE_TYPE|2||
12/31/2021|54|17200500000EB|14.324|14.64|BASE_TYPE|2||
12/31/2021|54|17200500000EB|14.96|15.31|BASE_TYPE|2||
12/31/2021|54|17200500000EB|15.465|15.57|BASE_TYPE|7||
12/31/2021|54|17200500000EB|15.68|16.24|BASE_TYPE|2||
12/31/2021|54|17200500000EB|16.27|17.79|BASE_TYPE|2||
12/31/2021|54|17200500000EB|17.79|18.0|BASE_TYPE|2||
12/31/2021|54|17200500000EB|18.0|18.32|BASE_TYPE|2||
12/31/2021|54|17200500000EB|18.32|18.45|BASE_TYPE|2||
12/31/2021|54|17200500000EB|18.45|18.52|BASE_TYPE|2||
12/31/2021|54|17200500000EB|18.52|18.8|BASE_TYPE|2||
12/31/2021|54|17200500000EB|18.85|19.21|BASE_TYPE|2||
12/31/2021|54|1730020002300|0.0|0.13|BASE_TYPE|6||
12/31/2021|54|1730020000000|7.22|7.414|BASE_TYPE|6||
12/31/2021|54|2540250180000|0.08|0.85|BASE_TYPE|1||
12/31/2021|54|2540250310000|0.0|0.55|BASE_TYPE|1||
12/31/2021|54|2540250550000|0.045|0.29|BASE_TYPE|2||
12/31/2021|54|2540031010000|1.72|2.03|BASE_TYPE|2||
12/31/2021|54|2540054000000|0.0|0.183|BASE_TYPE|2||
12/31/2021|54|2540064020000|0.0|0.24|BASE_TYPE|2||
12/31/2021|54|2540072020000|0.0|0.5|BASE_TYPE|1||
12/31/2021|54|2540072020000|0.5|0.72|BASE_TYPE|2||
12/31/2021|54|2540072020000|0.72|1.17|BASE_TYPE|1||
12/31/2021|54|2540072020000|1.17|1.71|BASE_TYPE|1||
12/31/2021|54|2540072020000|1.76|1.93|BASE_TYPE|1||
12/31/2021|54|2540072040000|0.0|0.13|BASE_TYPE|2||
12/31/2021|54|25100790000NB|130.53|133.37|BASE_TYPE|2||
12/31/2021|54|25100790000NB|133.37|134.97|BASE_TYPE|6||
12/31/2021|54|25100790000NB|136.64|139.1|BASE_TYPE|2||
12/31/2021|54|25100790000NB|139.1|139.82|BASE_TYPE|2||
12/31/2021|54|25100790000NB|139.82|140.352|BASE_TYPE|2||
12/31/2021|54|2530310000000|7.16|7.808|BASE_TYPE|2||
12/31/2021|54|3140019240000|2.77|3.08|BASE_TYPE|1||
12/31/2021|54|3140049000000|0.66|1.25|BASE_TYPE|1||
12/31/2021|54|3140057000000|1.21|1.33|BASE_TYPE|2||
12/31/2021|54|3140059000000|0.0|0.33|BASE_TYPE|2||
12/31/2021|54|3140059020000|0.0|0.44|BASE_TYPE|2||
12/31/2021|54|3140060000000|0.0|0.85|BASE_TYPE|1||
12/31/2021|54|3140060000000|0.85|1.75|BASE_TYPE|1||
12/31/2021|54|3140061010000|0.0|0.37|BASE_TYPE|1||
12/31/2021|54|3140061010000|0.41|0.52|BASE_TYPE|1||
12/31/2021|54|3140067000000|6.22|7.97|BASE_TYPE|2||
12/31/2021|54|3140067000000|7.97|8.36|BASE_TYPE|2||
12/31/2021|54|3140067000000|8.36|8.55|BASE_TYPE|2||
12/31/2021|54|3140067010000|0.0|0.65|BASE_TYPE|1||
12/31/2021|54|3140007210000|0.0|1.11|BASE_TYPE|2||
12/31/2021|54|3140070000000|0.0|0.38|BASE_TYPE|2||
12/31/2021|54|3140072000000|3.772|3.78|BASE_TYPE|1||
12/31/2021|54|3140073730000|0.0|0.58|BASE_TYPE|2||
12/31/2021|54|3140081000000|7.25|8.03|BASE_TYPE|2||
12/31/2021|54|3140082000000|0.0|1.88|BASE_TYPE|1||
12/31/2021|54|31201190000NB|7.81|9.82|BASE_TYPE|2||
12/31/2021|54|31201190000NB|11.9|12.06|BASE_TYPE|6||
12/31/2021|54|31201190000NB|13.78|13.99|BASE_TYPE|6||
12/31/2021|54|31201190000NB|13.99|14.1|BASE_TYPE|6||
12/31/2021|54|31201190000NB|14.1|14.22|BASE_TYPE|6||
12/31/2021|54|31201190000NB|14.42|14.62|BASE_TYPE|6||
12/31/2021|54|31201190000NB|14.85|15.15|BASE_TYPE|6||
12/31/2021|54|31201190000NB|15.72|16.0|BASE_TYPE|6||
12/31/2021|54|31201190000NB|16.82|17.35|BASE_TYPE|6||
12/31/2021|54|31201190000NB|17.44|18.2|BASE_TYPE|6||
12/31/2021|54|31201190000NB|18.2|19.66|BASE_TYPE|6||
12/31/2021|54|31201190000NB|19.66|20.0|BASE_TYPE|6||
12/31/2021|54|31201190000NB|20.0|20.47|BASE_TYPE|6||
12/31/2021|54|31200190000NB|8.29|8.806|BASE_TYPE|6||
12/31/2021|54|31200190000NB|8.99|9.16|BASE_TYPE|2||
12/31/2021|54|31200190000NB|9.54|9.94|BASE_TYPE|6||
12/31/2021|54|31200190000NB|10.59|11.08|BASE_TYPE|6||
12/31/2021|54|31200190000NB|11.51|12.33|BASE_TYPE|6||
12/31/2021|54|31200190000NB|13.74|14.19|BASE_TYPE|2||
12/31/2021|54|31200190000NB|14.25|14.35|BASE_TYPE|6||
12/31/2021|54|31200190000NB|14.44|14.8|BASE_TYPE|2||
12/31/2021|54|31200190000NB|14.8|14.98|BASE_TYPE|2||
12/31/2021|54|31200190000NB|15.62|16.49|BASE_TYPE|2||
12/31/2021|54|31200190000NB|16.49|17.021|BASE_TYPE|2||
12/31/2021|54|3130705000000|0.0|0.51|BASE_TYPE|2||
12/31/2021|54|3130705000000|0.68|1.23|BASE_TYPE|2||
12/31/2021|54|3130705000000|1.23|1.63|BASE_TYPE|2||
12/31/2021|54|3130705000000|1.63|1.81|BASE_TYPE|2||
12/31/2021|54|3940003000000|4.6|7.27|BASE_TYPE|2||
12/31/2021|54|39100680000EB|18.12|23.34|BASE_TYPE|2||
12/31/2021|54|39100680000EB|26.75|28.64|BASE_TYPE|2||
12/31/2021|54|39100680000EB|28.64|29.23|BASE_TYPE|2||
12/31/2021|54|39100680000EB|29.23|31.24|BASE_TYPE|2||
12/31/2021|54|39100680000EB|31.24|31.42|BASE_TYPE|2||
12/31/2021|54|39100680000EB|31.42|32.06|BASE_TYPE|2||
12/31/2021|54|39202190000NB|0.0|0.8|BASE_TYPE|3||
12/31/2021|54|39202190000NB|0.8|3.01|BASE_TYPE|3||
12/31/2021|54|39202190000NB|3.01|3.31|BASE_TYPE|3||
12/31/2021|54|39202190000NB|3.31|4.76|BASE_TYPE|3||
12/31/2021|54|3930072000000|18.42|20.44|BASE_TYPE|2||
12/31/2021|54|1930009000000|0.0|1.45|BASE_TYPE|7||
12/31/2021|54|29202200000NB|12.61|13.26|BASE_TYPE|5||
12/31/2021|54|2930093000000|0.0|3.42|BASE_TYPE|5||
12/31/2021|54|19203400005SB|0.0|0.17|BASE_TYPE|2||
12/31/2021|54|19203400000NB|14.86|15.31|BASE_TYPE|2||
12/31/2021|54|19203400000NB|14.66|14.86|BASE_TYPE|2||
12/31/2021|54|19203400000NB|13.26|13.82|BASE_TYPE|6||
12/31/2021|54|19203400000NB|12.88|13.26|BASE_TYPE|6||
12/31/2021|54|19203400000NB|11.9|12.047|BASE_TYPE|6||
12/31/2021|54|19203400000NB|9.13|9.55|BASE_TYPE|2||
12/31/2021|54|19203400000NB|8.56|9.13|BASE_TYPE|2||
12/31/2021|54|1930051000000|8.66|8.78|BASE_TYPE|2||
12/31/2021|54|19203400005SB|0.371|0.6|BASE_TYPE|2||
12/31/2021|54|19203400005SB|0.17|0.37|BASE_TYPE|2||
12/31/2021|54|1930009000000|14.435|14.96|BASE_TYPE|7||
12/31/2021|54|1930009000000|10.91|11.418|BASE_TYPE|7||
12/31/2021|54|1930009000000|4.97|6.35|BASE_TYPE|7||
12/31/2021|54|1930009000000|1.45|3.94|BASE_TYPE|7||
12/31/2021|54|1230093000000|9.71|13.45|BASE_TYPE|2||
12/31/2021|54|02100810000NB|24.53|26.0|BASE_TYPE|6||
12/31/2021|54|02100810000NB|23.46|24.53|BASE_TYPE|6||
12/31/2021|54|02100810000NB|23.0|23.46|BASE_TYPE|6||
12/31/2021|54|02100810000NB|20.37|23.0|BASE_TYPE|6||
12/31/2021|54|02100810000NB|18.13|20.37|BASE_TYPE|6||
12/31/2021|54|02100810000NB|17.3|18.13|BASE_TYPE|6||
12/31/2021|54|02100810000NB|16.23|17.3|BASE_TYPE|6||
12/31/2021|54|02100810000NB|15.95|16.23|BASE_TYPE|6||
12/31/2021|54|02100810000NB|15.62|15.95|BASE_TYPE|6||
12/31/2021|54|02100810000NB|15.22|15.62|BASE_TYPE|6||
12/31/2021|54|02100810000NB|14.26|15.22|BASE_TYPE|6||
12/31/2021|54|02100810000NB|13.54|14.26|BASE_TYPE|6||
12/31/2021|54|02100810000NB|11.63|13.54|BASE_TYPE|6||
12/31/2021|54|02100810000NB|6.27|11.63|BASE_TYPE|6||
12/31/2021|54|02100810000NB|1.39|6.27|BASE_TYPE|6||
12/31/2021|54|02100810000NB|0.0|1.39|BASE_TYPE|6||
12/31/2021|54|0230009000000|7.584|9.95|BASE_TYPE|5||
12/31/2021|54|0230009000000|6.381|6.47|BASE_TYPE|5||
12/31/2021|54|0230009000000|18.18|20.16|BASE_TYPE|7||
12/31/2021|54|0230009000000|17.07|17.48|BASE_TYPE|7||
12/31/2021|54|0230009000000|15.79|16.09|BASE_TYPE|5||
12/31/2021|54|0230009000000|15.57|15.79|BASE_TYPE|5||
12/31/2021|54|0230009000000|14.55|14.9|BASE_TYPE|5||
12/31/2021|54|0230009000000|10.84|11.15|BASE_TYPE|5||
12/31/2021|54|0230009000000|10.52|10.84|BASE_TYPE|5||
12/31/2021|54|0230009000000|10.12|10.37|BASE_TYPE|7||
12/31/2021|54|0230009000000|6.47|7.58|BASE_TYPE|5||
12/31/2021|54|0230009000000|6.17|6.27|BASE_TYPE|5||
12/31/2021|54|0230009000000|0.35|2.2|BASE_TYPE|5||
12/31/2021|54|0540001000000|0.0|0.12|BASE_TYPE|2||
12/31/2021|54|0540001000000|0.12|0.5|BASE_TYPE|2||
12/31/2021|54|0540001000000|1.07|1.34|BASE_TYPE|2||
12/31/2021|54|0540001000000|3.26|4.01|BASE_TYPE|5||
12/31/2021|54|0540001000000|4.01|4.8|BASE_TYPE|5||
12/31/2021|54|0540001080000|0.81|0.95|BASE_TYPE|2||
12/31/2021|54|0540001080000|0.95|1.45|BASE_TYPE|2||
12/31/2021|54|0540001080000|1.9|2.41|BASE_TYPE|2||
12/31/2021|54|0530002000000|10.14|10.72|BASE_TYPE|5||
12/31/2021|54|0530002000000|12.63|13.08|BASE_TYPE|5||
12/31/2021|54|0530002000000|3.33|3.88|BASE_TYPE|5||
12/31/2021|54|0540002010000|0.0|0.13|BASE_TYPE|2||
12/31/2021|54|0540002010000|0.13|1.03|BASE_TYPE|2||
12/31/2021|54|0540007010000|0.0|0.84|BASE_TYPE|2||
12/31/2021|54|0540007010000|0.84|1.99|BASE_TYPE|2||
12/31/2021|54|0540008000000|0.0|0.75|BASE_TYPE|2||
12/31/2021|54|0540013000000|0.0|0.14|BASE_TYPE|2||
12/31/2021|54|0540018000000|0.0|0.55|BASE_TYPE|2||
12/31/2021|54|05200220000EB|3.17|3.35|BASE_TYPE|2||
12/31/2021|54|05200220000EB|3.35|3.45|BASE_TYPE|2||
12/31/2021|54|05200220000EB|3.45|4.73|BASE_TYPE|2||
12/31/2021|54|05200220000EB|4.73|5.19|BASE_TYPE|2||
12/31/2021|54|05200220000EB|5.19|5.89|BASE_TYPE|2||
12/31/2021|54|0540028000000|0.0|0.198|BASE_TYPE|2||
12/31/2021|54|0530067000000|0.17|0.62|BASE_TYPE|2||
12/31/2021|54|0530067000000|6.14|6.71|BASE_TYPE|2||
12/31/2021|54|0540507000000|0.0|0.25|BASE_TYPE|2||
12/31/2021|54|1530002000000|0.1|0.28|BASE_TYPE|2||
12/31/2021|54|1530002000000|0.28|0.56|BASE_TYPE|2||
12/31/2021|54|1530002000000|1.49|2.3|BASE_TYPE|2||
12/31/2021|54|1530002000000|2.3|2.66|BASE_TYPE|2||
12/31/2021|54|1530002000000|2.66|3.03|BASE_TYPE|5||
12/31/2021|54|1530002000000|4.69|6.69|BASE_TYPE|2||
12/31/2021|54|1530002000000|10.33|10.56|BASE_TYPE|2||
12/31/2021|54|1530002000000|10.8|11.14|BASE_TYPE|5||
12/31/2021|54|1530002000000|11.14|11.45|BASE_TYPE|5||
12/31/2021|54|1530002000000|12.89|13.84|BASE_TYPE|5||
12/31/2021|54|1530002000000|16.52|17.44|BASE_TYPE|2||
12/31/2021|54|1530002000000|17.55|18.12|BASE_TYPE|5||
12/31/2021|54|1530002000000|19.71|20.25|BASE_TYPE|2||
12/31/2021|54|1530105000000|4.14|4.26|BASE_TYPE|5||
12/31/2021|54|1540011000000|0.0|2.31|BASE_TYPE|2||
12/31/2021|54|1540011000000|2.31|2.9|BASE_TYPE|2||
12/31/2021|54|1540011000000|4.91|5.16|BASE_TYPE|2||
12/31/2021|54|1540011000000|5.16|5.35|BASE_TYPE|2||
12/31/2021|54|1540013000000|0.0|0.2|BASE_TYPE|2||
12/31/2021|54|1540013000000|0.2|0.5|BASE_TYPE|2||
12/31/2021|54|1540015000000|0.0|1.44|BASE_TYPE|2||
12/31/2021|54|1540015000000|1.44|1.95|BASE_TYPE|2||
12/31/2021|54|1577261001900|0.0|0.73|BASE_TYPE|2||
12/31/2021|54|1577269001900|0.65|0.97|BASE_TYPE|2||
12/31/2021|54|1577270001900|0.0|0.5|BASE_TYPE|2||
12/31/2021|54|1577271001900|0.4|1.18|BASE_TYPE|2||
12/31/2021|54|1530105000000|0.38|1.14|BASE_TYPE|2||
12/31/2021|54|1530105000000|1.14|3.27|BASE_TYPE|2||
12/31/2021|54|1530105000000|3.27|4.14|BASE_TYPE|5||
12/31/2021|54|1530105000000|4.26|4.58|BASE_TYPE|5||
12/31/2021|54|1530105000000|4.58|4.82|BASE_TYPE|5||
12/31/2021|54|1540208000000|3.21|3.55|BASE_TYPE|2||
12/31/2021|54|1540507000000|0.43|0.92|BASE_TYPE|2||
12/31/2021|54|2640001000000|0.0|0.44|BASE_TYPE|2||
12/31/2021|54|2640001000000|0.49|0.6|BASE_TYPE|2||
12/31/2021|54|2640001000000|0.6|1.209|BASE_TYPE|2||
12/31/2021|54|2630002000000|10.22|11.92|BASE_TYPE|2||
12/31/2021|54|2630002000000|13.46|13.89|BASE_TYPE|2||
12/31/2021|54|2640003000000|0.0|1.31|BASE_TYPE|2||
12/31/2021|54|2640010000000|0.0|0.423|BASE_TYPE|2||
12/31/2021|54|2640017000000|0.0|0.12|BASE_TYPE|2||
12/31/2021|54|26202500000NB|36.47|36.69|BASE_TYPE|2||
12/31/2021|54|2640034000000|1.15|1.61|BASE_TYPE|2||
12/31/2021|54|2640034000000|4.38|5.18|BASE_TYPE|2||
