Year_Record|State_Code|RouteID|BMP|EMP|Section_Length|Value_Numeric|Value_Text|Data_Item|Value_Date|Comments
2021|54|46202500000NB|16.38|16.52|0.14|462500001638||sample||same as 2020
2021|54|4640119300000|0.0|0.6|0.6|461193000000||sample||same as 2020
2021|54|46201190000NB|8.59|9.32|0.73|461190000859||sample||same as 2020
2021|54|46201190000NB|6.05|6.54|0.49|461190000605||sample||same as 2020
2021|54|46200500000EB|12.99|13.65|0.66|460500001299||sample||same as 2020
2021|54|4640044080000|0.33|0.45|0.12|460440800033||sample||same as 2020
2021|54|4640044080000|0.0|0.33|0.33|460440800000||sample||same as 2020
2021|54|4640044000000|1.92|2.03|0.11|460440001920||sample||same as 2020
2021|54|4640044000000|0.24|0.73|0.49|460440000240||sample||same as 2020
2021|54|4640044000000|0.76|1.76|1.0|460440000076||sample||same as 2020
2021|54|4674200001900|0.0|1.05|1.05|460420000000||sample||same as 2020
2021|54|46202500000NB|6.95|7.082|0.132|460250000695||sample||same as 2020
2021|54|4640009000000|1.16|1.59|0.43|460090000116||sample||same as 2020
2021|54|4640009000000|0.82|1.16|0.34|460090000082||sample||same as 2020
2021|54|4640044080000|0.45|0.69|0.24|460044080045||sample||same as 2020
2021|54|4530107000000|0.29|0.76|0.47|451070000029||sample||same as 2020
2021|54|45100640000EB|143.75|147.6|3.85|450640014375||sample||same as 2020
2021|54|45100640000EB|143.2|143.75|0.55|450640014320||sample||same as 2020
2021|54|45100640000EB|138.38|143.2|4.82|450640013838||sample||same as 2020
2021|54|45100640000EB|138.01|138.38|0.37|450640013801||sample||same as 2020
2021|54|4530020000000|25.32|32.14|6.82|450200002532||sample||same as 2020
2021|54|4530020000000|24.94|25.32|0.38|450200002494||sample||same as 2020
2021|54|4530020000000|24.37|24.94|0.57|450200002437||sample||same as 2020
2021|54|4530003000000|9.56|10.91|1.35|450030000956||sample||same as 2020
2021|54|4030034000000|17.018|17.081|0.063|400340001702||sample||New 2021
2021|54|44100790000NB|33.99|36.0|2.01|440790003399||sample||same as 2020
2021|54|44100790000NB|25.79|33.99|8.2|440790002579||sample||same as 2020
2021|54|44100790000NB|21.28|25.79|4.51|440790002128||sample||same as 2020
2021|54|44200330000EB|15.77|17.73|1.96|440330001577||sample||same as 2020
2021|54|44200330000EB|6.75|9.1|2.35|440330000675||sample||same as 2020
2021|54|44200330000EB|4.33|5.61|1.28|440330000433||sample||same as 2020
2021|54|4330053000000|0.0|1.4|1.4|430530000000||sample||same as 2020
2021|54|43200500000EB|13.57|14.78|1.21|430500001357||sample||same as 2020
2021|54|43200500000EB|12.54|12.85|0.31|430500001254||sample||same as 2020
2021|54|43200500000EB|10.83|11.79|0.96|430500001083||sample||same as 2020
2021|54|43200500000EB|8.02|9.99|1.97|430500000802||sample||same as 2020
2021|54|43200500000EB|0.0|2.86|2.86|430500000000||sample||same as 2020
2021|54|4330016000000|19.02|21.98|2.96|430160001902||sample||same as 2020
2021|54|4330016000000|1.45|3.62|2.17|430160000145||sample||same as 2020
2021|54|42202500000NB|9.71|12.45|2.74|422500000971||sample||same as 2020
2021|54|4240219420000|0.0|0.21|0.21|422194200000||sample||same as 2020
2021|54|4240219220000|0.0|0.16|0.16|422192200000||sample||same as 2020
2021|54|42202190000NB|42.36|42.373|0.013|422190004236||sample||same as 2020
2021|54|42202190000NB|36.33|37.87|1.54|422190003633||sample||same as 2020
2021|54|42202190000NB|27.85|30.16|2.31|422190002785||sample||same as 2020
2021|54|42202190000NB|21.48|21.67|0.19|422190002148||sample||same as 2020
2021|54|42202190000NB|19.15|21.44|2.29|422190001915||sample||same as 2020
2021|54|42202190000NB|17.4|19.15|1.75|422190001740||sample||same as 2020
2021|54|42202190000NB|15.89|17.4|1.51|422190001589||sample||same as 2020
2021|54|42202190000NB|12.59|15.89|3.3|422190001259||sample||same as 2020
2021|54|42202190000NB|8.74|9.68|0.94|422190000874||sample||same as 2020
2021|54|42202190000NB|8.55|8.74|0.19|422190000855||sample||same as 2020
2021|54|42202190000NB|0.0|3.24|3.24|422190000000||sample||same as 2020
2021|54|2530310000000|9.67|10.1|0.43|253100000967||sample||New 2021
2021|54|4240033070000|0.0|0.43|0.43|420330700000||sample||same as 2020
2021|54|42200330000EB|10.26|10.99|0.73|420330001026||sample||same as 2020
2021|54|42200330000EB|9.5|9.74|0.24|420330000950||sample||same as 2020
2021|54|42200330000EB|7.76|8.05|0.29|420330000776||sample||same as 2020
2021|54|4240031000000|0.0|1.81|1.81|420310000181||sample||same as 2020
2021|54|4240025030000|0.0|0.005|0.005|420250300000||sample||same as 2020
2021|54|4240025000000|1.73|2.55|0.82|420250001730||sample||same as 2020
