RouteID,BMP,EMP,49_ROUTE_STATUS
"3578259001900",0.000000,0.600000,5
"5000991000000",0.000000,0.147000,5
"1200703000000",0.000000,0.184000,5
"4440022020000",0.000000,1.110000,5
"1500840000000",0.000000,0.131000,5
"5500486000000",0.000000,2.706000,5
"1340009002500001",0.000000,0.002000,5
"1001032000000",0.000000,0.084000,5
"1601224000000",0.000000,0.361000,5
"2002363000000",0.000000,0.022000,5
"3301426000000",0.000000,0.040000,5
"3500935000000",0.000000,0.306000,5
"0100277000000",0.000000,0.091000,5
"3000503000000",0.000000,0.031000,5
"1540003080000",0.000000,0.190000,5
"3840028192500",0.000000,0.002000,5
"3000710000000",0.000000,0.093000,5
"1200864000000",0.000000,0.135000,5
"2040074010000",0.000000,0.140000,5
"0300505000000",0.000000,0.132000,5
"4101932000000",0.000000,0.137000,5
"3500208000000",0.000000,0.289000,5
"2340016400000",0.050000,0.500000,5
"5500985000000",0.000000,0.042000,5
"0500341000000",0.000000,0.260000,5
"28300100025NB001",0.000000,0.005000,5
"4000236000000",0.000000,0.203000,5
"0201793000000",0.000000,0.143000,5
"2900970000000",0.000000,0.072000,5
"4600020000000",0.000000,0.025000,5
"1200074000000",0.000000,0.376000,5
"3040052490000",0.000000,0.500000,5
"3600821000000",0.000000,0.063000,5
"0900211000000",0.000000,0.357000,5
"4001097000000",0.000000,0.154000,5
"1800659000000",0.000000,0.066000,5
"3840039130000",0.000000,0.054000,5
"5401170000000",0.000000,0.666000,5
"1900495000000",0.000000,0.034000,5
"1040060780000",0.000000,0.070000,5
"1900403000000",0.000000,0.127000,5
"1601417000000",0.000000,0.098000,5
"2800627000000",0.000000,0.125000,5
"4900127000000",0.000000,0.084000,5
"3580918000000",0.000000,0.260000,5
"3880928000000",0.000000,0.120000,5
"1500679000000",0.000000,0.411000,5
"2540046000000",0.000000,2.290000,5
"4300359000000",0.000000,0.097000,5
"2900413000000",0.000000,0.054000,5
"1740125080000",0.000000,0.090000,5
"4201646000000",0.000000,0.265000,5
"4900379000000",0.000000,0.435000,5
"2006192000000",0.000000,0.101000,5
"36200330029WB0049C",-0.000000,0.132000,5
"0600806000000",0.000000,0.122000,5
"5200921000000",0.000000,0.541000,5
"3140029060000",0.000000,0.230000,5
"1001008000000",0.000000,0.131000,5
"2501162000000",0.000000,0.067000,5
