tmc|BeginDate|StateID|Travel_Time_Code|F_System|UrbanID|Facility_Type|NHS|Segment_Length|Directionality|DIR_AADT|LOTTR_AMP|TT_AMP50PCT|TT_AMP80PCT|LOTTR_MIDD|TT_MIDD50PCT|TT_MIDD80PCT|LOTTR_PMP|TT_PMP50PCT|TT_PMP80PCT|LOTTR_WE|TT_WE50PCT|TT_WE80PCT|TTTR_AMP|TTT_AMP50PCT|TTT_AMP95PCT|TTTR_MIDD|TTT_MIDD50PCT|TTT_MIDD95PCT|TTTR_PMP|TTT_PMP50PCT|TTT_PMP95PCT|TTTR_OVN|TTT_OVN50PCT|TTT_OVN95PCT|TTTR_WE|TTT_WE50PCT|TTT_WE95PCT|PHED|OCC_FAC|METRIC_SOURCE|Comments
122N06619|12/31/2021|54|122N06619|3|99998|2|-1|0.036|4|7100|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|0|1.7|1|Filled missing data with 1 or 0
122N08127|12/31/2021|54|122N08127|3|59275|2|-1|0.058|2|11932|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|0|1.7|1|Filled missing data with 1 or 0
122N08129|12/31/2021|54|122N08129|3|59275|2|-1|0.035|3|19650|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|0|1.7|1|Filled missing data with 1 or 0
122N19410|12/31/2021|54|122N19410|3|40753|2|1|0.111|2|6750|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|0|1.7|1|Filled missing data with 1 or 0
122N19608|12/31/2021|54|122N19608|3|99999|2|1|0.036|1|1800|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|0|1.7|1|Filled missing data with 1 or 0
122N20539|12/31/2021|54|122N20539|3|99999|2|1|0.034|2|2150|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|0|1.7|1|Filled missing data with 1 or 0
122-19410|12/31/2021|54|122-19410|3|40753|2|1|3.211|2|4706|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|0|1.7|1|Filled missing data with 1 or 0
122-19604|12/31/2021|54|122-19604|3|99999|2|1|1.573|2|1950|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|0|1.7|1|Filled missing data with 1 or 0
122N06646|12/31/2021|54|122N06646|3|99999|2|1|0.017|4|7150|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|0|1.7|1|Filled missing data with 1 or 0
122N08136|12/31/2021|54|122N08136|3|99999|2|1|0.026|4|2350|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|0|1.7|1|Filled missing data with 1 or 0
122N19411|12/31/2021|54|122N19411|3|40753|2|1|0.02|3|4600|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|0|1.7|1|Filled missing data with 1 or 0
122N19598|12/31/2021|54|122N19598|3|15481|2|1|0.02|2|8800|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|0|1.7|1|Filled missing data with 1 or 0
122N19599|12/31/2021|54|122N19599|3|15481|2|1|0.05|2|8800|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|0|1.7|1|Filled missing data with 1 or 0
122N19604|12/31/2021|54|122N19604|3|99999|2|1|0.022|2|1800|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|0|1.7|1|Filled missing data with 1 or 0
122P06646|12/31/2021|54|122P06646|3|99999|2|1|0.017|3|7150|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|0|1.7|1|Filled missing data with 1 or 0
122P06686|12/31/2021|54|122P06686|3|6139|2|1|0.498|1|9050|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|0|1.7|1|Filled missing data with 1 or 0
122P08129|12/31/2021|54|122P08129|3|59275|2|-1|0.035|4|19650|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|0|1.7|1|Filled missing data with 1 or 0
122P08136|12/31/2021|54|122P08136|3|99999|2|1|0.026|3|2350|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|0|1.7|1|Filled missing data with 1 or 0
122P19598|12/31/2021|54|122P19598|3|15481|2|1|0.02|1|8800|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|0|1.7|1|Filled missing data with 1 or 0
122P19624|12/31/2021|54|122P19624|3|6139|2|1|0.681|3|1896|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|0|1.7|1|Filled missing data with 1 or 0
122N06686|12/31/2021|54|122N06686|3|6139|2|1|0.537|2|9050|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|0|1.7|1|Filled missing data with 1 or 0
122N07667|12/31/2021|54|122N07667|3|99999|2|-1|0.012|1|4150|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|0|1.7|1|Filled missing data with 1 or 0
122N08085|12/31/2021|54|122N08085|1|99999|2|-1|0.293|2|9350|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|0|1.7|1|Filled missing data with 1 or 0
122N10397|12/31/2021|54|122N10397|3|59275|2|-1|0.124|4|19650|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|0|1.7|1|Filled missing data with 1 or 0
122N18525|12/31/2021|54|122N18525|3|99998|2|1|0.019|4|100|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|0|1.7|1|Filled missing data with 1 or 0
122N18553|12/31/2021|54|122N18553|3|99999|2|1|0.007|2|4850|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|0|1.7|1|Filled missing data with 1 or 0
122N19609|12/31/2021|54|122N19609|3|99999|2|1|0.025|4|1800|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|0|1.7|1|Filled missing data with 1 or 0
122N19616|12/31/2021|54|122N19616|3|6139|2|1|0.032|3|2350|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|0|1.7|1|Filled missing data with 1 or 0
122P07667|12/31/2021|54|122P07667|3|99999|2|-1|0.028|2|4150|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|0|1.7|1|Filled missing data with 1 or 0
122P07988|12/31/2021|54|122P07988|3|99999|2|1|0.023|1|4500|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|0|1.7|1|Filled missing data with 1 or 0
122P08127|12/31/2021|54|122P08127|3|59275|2|-1|0.058|1|11932|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|0|1.7|1|Filled missing data with 1 or 0
122P08128|12/31/2021|54|122P08128|3|59275|2|-1|0.032|4|19650|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|0|1.7|1|Filled missing data with 1 or 0
122P10307|12/31/2021|54|122P10307|3|99999|2|1|0.023|1|8400|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|0|1.7|1|Filled missing data with 1 or 0
